Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CK0816_S1_L001_R1_001	2.3	35703245	1218197	35703245	2659894537	183046626	2472074220	7.061194133352212
CK0816_S1_L001_R2_001	2.3	35703245	1063214	35703245	2659121764	393230158	2261741069	14.944057860751652
CK0817_S2_L001_R1_001	2.3	30119708	863200	30119708	2244145769	186224390	2054984604	8.429094384732903
CK0817_S2_L001_R2_001	2.3	30119708	432531	30119708	2243667929	403008423	1839232817	18.025622543005117
CK0818_S3_L001_R1_001	2.3	31743539	1101581	31743539	2364678388	163482737	2196901384	7.095129927664395
CK0818_S3_L001_R2_001	2.3	31743539	920795	31743539	2364002699	375613864	1984818864	16.03990702550378
CK0819_S4_L001_R1_001	2.3	79123631	2504587	79123631	5893998717	341129518	5543697281	5.94335785974349
CK0819_S4_L001_R2_001	2.3	79123631	1984590	79123631	5893566546	854809219	5031472344	14.627716430640945
CK0820_S5_L001_R1_001	2.3	73714064	2303424	73714064	5490744973	320398680	5161886806	5.989317817839216
CK0820_S5_L001_R2_001	2.3	73714064	1863320	73714064	5490426852	741819371	4741744160	13.636147282925318
CK0821_S6_L001_R1_001	2.3	78153246	1068772	78153246	5821721894	320145903	5498077599	5.559253789390992
CK0821_S6_L001_R2_001	2.3	78153246	1020232	78153246	5820422864	540250535	5276736753	9.341007066046052
CK0822_S7_L001_R1_001	2.3	69170264	2201242	69170264	5152757250	327051462	4817266490	6.510897830477071
CK0822_S7_L001_R2_001	2.3	69170264	2031965	69170264	5152026711	647722133	4496448559	12.724665239026942
CK0823_S8_L001_R1_001	2.3	67932301	2112945	67932301	5060392435	315139747	4737254095	6.385637954974138
CK0823_S8_L001_R2_001	2.3	67932301	1860852	67932301	5060462374	694842812	4358546875	13.87058033681568
CK0824_S9_L001_R1_001	2.3	71471043	1745963	71471043	5324166801	320843019	4997483219	6.135863022522911
CK0824_S9_L001_R2_001	2.3	71471043	1096986	71471043	5323558737	701688358	4618328753	13.247341089682804
