Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CK0816_S1_L001_R1_001	7.061194133352212					
CK0816_S1_L001_R1_001_val_1		26.23845605075435	41.0	68.4013369837804	9.090909090909092	30481746.0
CK0816_S1_L001_R2_001	14.944057860751652					
CK0816_S1_L001_R2_001_val_2		23.95217901319866	45.0	68.06214762107132	27.27272727272727	30481746.0
CK0817_S2_L001_R1_001	8.429094384732903					
CK0817_S2_L001_R1_001_val_1		25.39732163337493	44.0	67.91183679292516	9.090909090909092	24700939.0
CK0817_S2_L001_R2_001	18.025622543005117					
CK0817_S2_L001_R2_001_val_2		26.257180187191665	48.0	67.62578815323579	27.27272727272727	24700939.0
CK0818_S3_L001_R1_001	7.095129927664395					
CK0818_S3_L001_R1_001_val_1		24.24890117792573	42.0	68.3614786078174	9.090909090909092	26753301.0
CK0818_S3_L001_R2_001	16.03990702550378					
CK0818_S3_L001_R2_001_val_2		24.1715819975376	45.0	67.92812565447531	27.27272727272727	26753301.0
CK0819_S4_L001_R1_001	5.94335785974349					
CK0819_S4_L001_R1_001_val_1		63.17874701251997	39.0	68.95620801460326	27.27272727272727	67817181.0
CK0819_S4_L001_R2_001	14.627716430640945					
CK0819_S4_L001_R2_001_val_2		59.316501797146934	42.0	68.3809600696909	36.36363636363637	67817181.0
CK0820_S5_L001_R1_001	5.989317817839216					
CK0820_S5_L001_R1_001_val_1		61.50621822919255	39.0	68.93651978709804	27.27272727272727	63833135.0
CK0820_S5_L001_R2_001	13.636147282925318					
CK0820_S5_L001_R2_001_val_2		57.8945550126702	42.0	68.4735230378392	36.36363636363637	63833135.0
CK0821_S6_L001_R1_001	5.559253789390992					
CK0821_S6_L001_R1_001_val_1		67.02780664585246	39.0	69.07085210596793	27.27272727272727	70786548.0
CK0821_S6_L001_R2_001	9.341007066046052					
CK0821_S6_L001_R2_001_val_2		63.461410674405805	41.0	69.11847807580615	36.36363636363637	70786548.0
CK0822_S7_L001_R1_001	6.510897830477071					
CK0822_S7_L001_R1_001_val_1		43.60405033366233	40.0	68.67056288163215	18.181818181818183	60517537.0
CK0822_S7_L001_R2_001	12.724665239026942					
CK0822_S7_L001_R2_001_val_2		39.55052923995912	43.0	68.46905864658702	27.27272727272727	60517537.0
CK0823_S8_L001_R1_001	6.385637954974138					
CK0823_S8_L001_R1_001_val_1		49.971528181601734	39.0	68.76114143725714	18.181818181818183	58723438.0
CK0823_S8_L001_R2_001	13.87058033681568					
CK0823_S8_L001_R2_001_val_2		46.157761781780124	43.0	68.33034016162337	27.27272727272727	58723438.0
CK0824_S9_L001_R1_001	6.135863022522911					
CK0824_S9_L001_R1_001_val_1		51.77714954831817	39.0	68.82170053229248	27.27272727272727	62119232.0
CK0824_S9_L001_R2_001	13.247341089682804					
CK0824_S9_L001_R2_001_val_2		48.716215292185424	42.0	68.52568235228665	27.27272727272727	62119232.0
