ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	68/2591	163/17021	2.66967603115342e-16	1.5294573982478e-12	1.42251579681038e-12	CELSR3/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/DSG3/DSG1/MYPN/NECTIN4/HMCN1/CNTN4/IGSF11/PCDH15/CDH12/NEXN/DCHS1/CDH16/PCDHB1/DSG4/DSCAML1/PCDHB9/CDH5/CNTN2/ROBO2/PCDHB13/CDHR4/DCHS2/PCDHB11/PLXNB3/L1CAM/PCDHGA1/PCDHA9/PCDHA5/PCDHA4/PCDHA13/PCDHGC5/PCDHAC1/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGA3/PCDHA3/PECAM1/PCDHGA9/PCDHGB3/PCDHGA4/PCDHB16/PCDHGB5	68
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	91/2591	268/17021	1.34334311065291e-14	3.84800634046527e-11	3.57894885585529e-11	ITGAL/SELE/CELSR3/CD6/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/TGFB2/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/SLITRK3/CEACAM8/FLRT3/CRB1/DSG3/DSG1/MYPN/NECTIN4/HMCN1/CNTN4/IGSF11/CRB2/PCDH15/GRID2/CDH12/CLDN14/ITGB2/JAML/NEXN/VCAM1/CLDN2/DCHS1/CDH16/ITGAM/PCDHB1/SELP/DSG4/DSCAML1/PCDHB9/CDH5/ADIPOQ/CLDN5/CNTN2/ROBO2/PCDHB13/CDHR4/SELL/CLDN4/DCHS2/PCDHB11/MBP/PLXNB3/L1CAM/PCDHGA1/PCDHA9/PCDHA5/PCDHA4/PCDHA13/PCDHGC5/PCDHAC1/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGA3/PCDHA3/PECAM1/PCDHGA9/PCDHGB3/PCDHGA4/MILR1/PCDHB16/PCDHGB5	91
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	75/2591	227/17021	1.28910106576687e-11	2.46175333525947e-08	2.28962441926733e-08	GIPR/CASR/PTGER3/CALCRL/ADCYAP1R1/RGS1/HRH3/VIPR2/ADGRD1/OPRM1/GRM6/ARRDC3/NPR3/PDE4D/GNAT1/CRHR1/ADRA1A/IAPP/ADGRE2/ADM2/MCHR1/ADCY4/GPR12/HRH4/ADGRB3/MRAP2/LHCGR/LGR5/ADGRG7/GPR119/DRD2/ADRA2A/DRD3/GRM1/ADGRF1/GPR26/ADGRG4/HTR5A/CACNA1D/GIP/PTGIR/PTH1R/HTR4/ABCA1/GPR101/TSHR/CHRM1/GPR37L1/GPR37/FSHR/S1PR1/FPR2/FPR1/RXFP1/PTGER4/ADCY5/GPR4/HTR1F/HTR1D/GPHB5/GRM8/AKAP5/ADGRD2/SSTR2/S1PR5/CHRM2/PDE4B/DRD1/CHRM5/MC2R/PDE2A/CNR2/GRM7/ADGRG1/GCGR	75
BP	GO:0003341	cilium movement	59/2591	173/17021	4.82099362700883e-10	5.61268629800522e-07	5.22024015222688e-07	SLC22A16/TEKT2/CACNA1I/EPPIN/RSPH6A/ODAD1/DNAH11/RSPH4A/SLC26A8/NME5/IQCG/ROPN1B/ARMC2/DNAH7/CFAP58/DNAI1/SEMG1/ATP1A4/TTC29/ADCY10/SLC22A14/TCTE1/AKAP4/DDX4/DNAI4/SPAG17/CFAP70/HYDIN/DRC1/CFAP251/CELF3/DRC7/DNAI3/CFAP221/CFAP100/SLC9B1/TEKT1/TTC21A/ZBBX/DNAI2/CFAP46/CFAP53/CATSPERD/DNHD1/TPPP2/SPEM1/CFAP65/HOATZ/CFAP91/DNAH17/CFAP54/FSIP2/CATSPER4/CFAP43/MEIG1/ODAD4/CFAP97D1/GAS2L2/CFAP206	59
BP	GO:0050953	sensory perception of light stimulus	67/2591	208/17021	5.37876950340937e-10	5.61268629800522e-07	5.22024015222688e-07	SPATA7/USH2A/GUCA1A/CNGB1/MYO3B/IMPG2/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/GNAT1/PDC/RPE65/VSX2/ARR3/OPN5/CRYGN/OPN1SW/AIPL1/GUCY2D/TRPM1/CRB1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/CRB2/RGR/PCDH15/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/CRYBA2/CLRN1/CACNB2/CPLX4/FAM161A/CNGB3/BFSP2/CABP4/KCNJ10/PCARE/GRM8/RRH/LRIT3/TACSTD2/SIX6/SLITRK6/PDE6G/KRT12/RD3/ABCA4/RORB/CRYGS/MFRP/CRYBB2	67
BP	GO:0007601	visual perception	66/2591	204/17021	5.87818428836294e-10	5.61268629800522e-07	5.22024015222688e-07	SPATA7/USH2A/GUCA1A/CNGB1/MYO3B/IMPG2/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/GNAT1/PDC/RPE65/VSX2/ARR3/OPN5/CRYGN/OPN1SW/AIPL1/GUCY2D/TRPM1/CRB1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/CRB2/RGR/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/CRYBA2/CLRN1/CACNB2/CPLX4/FAM161A/CNGB3/BFSP2/CABP4/KCNJ10/PCARE/GRM8/RRH/LRIT3/TACSTD2/SIX6/SLITRK6/PDE6G/KRT12/RD3/ABCA4/RORB/CRYGS/MFRP/CRYBB2	66
BP	GO:0006820	anion transport	126/2591	490/17021	7.05481731587656e-10	5.7738640575224e-07	5.37014815834092e-07	SLC4A1/ABCB4/SLC6A13/SLC38A5/SLC11A1/ATP1A2/ABCC2/CASR/BEST2/TG/SLC4A8/KCNQ1/SLC2A3/ABCC9/SLC12A3/SLC12A1/CEACAM1/SLC4A4/LRP2/SLC13A1/SLCO1A2/SLC26A4/SLC26A3/SLC10A1/HRH3/SLC17A9/GLRA2/SLC1A6/SLC5A5/ABCC3/SLC16A6/SLC2A9/FOLR3/SLC6A12/SLC26A8/RHAG/SLC17A2/SLC22A2/SLC4A9/RGS4/FGF23/SLC25A2/TNFSF11/SLC17A3/SLC17A1/WNK4/BEST3/PLA2G5/SLC35D2/GFAP/RTBDN/SLC52A1/NMUR2/SLC37A2/SLC9A5/AGT/SLCO2B1/SLC3A1/PLA2G12B/PRKG2/MTTP/SLC24A4/SLC13A5/SLC16A3/TTYH2/TNFRSF11A/BEST4/SLC4A10/GLRA3/GLRA1/SLC17A4/SLC22A3/CLTRN/SLC26A7/NTRK2/DRD2/SLC22A8/SLC25A31/DRD3/GRM1/PLA2R1/SLC7A7/SLC24A2/CLIC2/SLC34A2/SLC13A3/STC1/ACE/SLC1A7/BSND/SLC9C2/SLC16A14/SLC2A2/SLC6A20/SLC51A/SLC13A4/SLC16A9/CYP7A1/SLC22A11/BDKRB2/PLA2G4F/PTAFR/SLC23A1/SLC26A5/NMUR1/SLC26A9/LEP/KCNJ10/SLC17A8/SLC25A18/GABRR3/PLA2G6/CALHM1/CLCN1/SLC24A5/CLDN4/GRM7/SLC22A25/SLC22A24/SLC22A6/SLC44A4/SLCO6A1/SLC12A8/SLC10A5/SLC5A8/SLC35D2	126
BP	GO:0050906	detection of stimulus involved in sensory perception	99/2591	369/17021	4.6312705729207e-09	3.31656863903283e-06	3.08466995264797e-06	KCNQ1/CNGB1/PPEF1/OR1I1/CACNA1F/HTR2A/HPN/PKD2L1/KCNA1/TULP1/GRM6/GNAT1/RPE65/TAS2R8/TAS2R7/PHF24/TAS2R3/TAS2R4/TAS2R5/CRB1/OR1J1/OR1L4/SLC24A4/OR4D1/OR5C1/TMC2/CACNA2D4/PPEF2/OR3A3/AZGP1/PIGR/TMC1/OR1Q1/OR1K1/OR4K2/LPO/OR1F1/OR2C1/OR13J1/OR10G3/OR5AU1/OR1L6/OR1L8/OR1N2/OR1N1/OR2AT4/OR5B12/OR5B2/OR9I1/OR10AD1/OR5B3/OR1L1/OR7D4/OR52W1/OR11H4/OR11H6/OR4K17/OR4L1/OR4K13/OR4F17/OR2B11/OR6C4/OR56B4/OR56A1/KCNK4/OR2B8P/OR1G1/OR52L1/OR1D2/OR4N5/OR56A3/FFAR4/OR9Q1/OR9Q2/OR7D2/OR8A1/OR52K1/OR11G2/OR6C74/OR5B21/OR1F2P/PJVK/OR5K3/OR1F12/OR4E2/OR9A1P/STRC/OR2AE1/OR52B2/OR4D2/OR6J1/TAS2R38/OR9A4/OR1D5/OR52L2P/OR4E1/PKD1L3/OR1B1/OR1S1	99
BP	GO:0001539	cilium or flagellum-dependent cell motility	47/2591	136/17021	1.70320359917842e-08	9.75765341969319e-06	9.0753859147802e-06	SLC22A16/TEKT2/CACNA1I/EPPIN/RSPH6A/DNAH11/RSPH4A/SLC26A8/IQCG/ROPN1B/DNAH6/ARMC2/DNAH7/CFAP58/DNAI1/SEMG1/DNAH8/ATP1A4/SLC22A14/TCTE1/AKAP4/DDX4/DRC1/CFAP251/CELF3/DRC7/DNAI3/SLC9B1/TEKT1/TTC21A/CFAP46/CATSPERD/TPPP2/SPEM1/CFAP65/HOATZ/EFHC2/DNAH2/DNAH17/CFAP54/FSIP2/CATSPER4/CFAP43/MEIG1/CFAP97D1/GAS2L2/CFAP206	47
BP	GO:0060285	cilium-dependent cell motility	47/2591	136/17021	1.70320359917842e-08	9.75765341969319e-06	9.0753859147802e-06	SLC22A16/TEKT2/CACNA1I/EPPIN/RSPH6A/DNAH11/RSPH4A/SLC26A8/IQCG/ROPN1B/DNAH6/ARMC2/DNAH7/CFAP58/DNAI1/SEMG1/DNAH8/ATP1A4/SLC22A14/TCTE1/AKAP4/DDX4/DRC1/CFAP251/CELF3/DRC7/DNAI3/SLC9B1/TEKT1/TTC21A/CFAP46/CATSPERD/TPPP2/SPEM1/CFAP65/HOATZ/EFHC2/DNAH2/DNAH17/CFAP54/FSIP2/CATSPER4/CFAP43/MEIG1/CFAP97D1/GAS2L2/CFAP206	47
