ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	105/3719	147/17097	4.68264295735277e-38	2.88029368306769e-34	2.40885011921926e-34	RPS20/RPL26L1/YBX3/RPL18/ZC3H15/PKM/DHX29/FTSJ1/EIF2B3/RPL31/RPS5/EIF3I/RPL6/RPLP0/AARS1/RPL3/EIF5/FMR1/GSPT1/EIF3J/EIF3E/RPS16/RPS19/RPL18A/EIF3B/EIF4H/EIF3A/RPL28/RPL19/RPL34/RPS13/RPS12/RPL24/EIF4G1/RPS15/RPL22/RPS25/ETF1/RPL21/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF2S3/EIF3G/RPL27/DPH2/RPS15A/DHX9/RPL35/RPS6/RPLP1/RPS24/DENR/RPS11/RPL13A/RPS8/RPS27A/RPL32/RPS3A/RPL10/RPL7/EIF3H/RPL7A/EIF3M/RPS3/RPL30/RPL8/RPL26/RPL29/RPL22L1/RPL9/RPS14/RPL27A/RPL13/EEF2/RPSA/CNBP/RPS9/RPS21/RPS7/RPL4/RPL15/EIF3F/RPLP2/RPS27/EIF3K/RPL35A/DRG1/RPS23/RPS26/RPL37A/RPL12/RPS4X/RPL23A/MTOR/RPL39/RPLP0P6/RPS29/UBA52/RPL41/RPS18/TMA7/RPS28	105
BP	GO:0022613	ribonucleoprotein complex biogenesis	217/3719	447/17097	6.8865069540727e-37	2.11794521372506e-33	1.77128207813438e-33	RPUSD1/TSR3/UTP18/STRAP/RPL26L1/NOP16/CELF2/RRP12/RIOK2/WDR18/DHX29/BUD23/XAB2/EXOSC5/XRCC5/DDX1/HSP90AA1/NUFIP1/RPS5/WBP11/EIF3I/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/GEMIN2/AGO1/HSP90AB1/SF3A1/SNRPD3/PES1/SNU13/RPL3/PRMT5/SRSF5/EIF5/PRPF6/CRNKL1/EIF3J/EIF3E/PIH1D1/POP4/RPS16/FBL/YJU2/RPS19/NOP53/PRPF31/EIF3B/EIF4H/SETX/EIF3A/NPM3/NUP88/C1QBP/FTSJ3/GAR1/PRPF19/PTGES3/KRR1/SRSF9/USP4/RPL24/RRP9/RPS15/SF3B1/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/UTP20/COIL/GTF3A/MRPS2/RPL5/DDX54/SRSF6/DDX27/SNRPC/RIOK1/RPP40/MRPS7/SNRPD2/SNRPB/EIF2S2/SBDS/EMG1/NGDN/NSUN5/LSM4/EIF2S3/EIF3G/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/NIP7/MPHOSPH6/GLUL/DHX9/PWP1/IMP4/RPL35/RPS6/RSL24D1/RPS24/SCAF11/SNRPF/TARBP2/DENR/CUL4A/UTP4/EIF4A3/TXNL4A/RPL13A/RPS8/SNRPG/SNRNP200/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/EIF3H/REXO4/RPL7A/RPP30/PDCD11/EIF3M/CPSF7/DHX37/HEATR3/NIFK/UTP14A/TSR2/RRP1B/ADAR/RPL26/NOL9/TFB2M/WDR43/ABCE1/NSA2/RPS14/SLU7/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/RPSA/SF1/MRPL1/RAMAC/RIOX2/MRPL36/EXOSC10/RPS21/MRM3/RPS7/POP7/CLP1/TRMT112/ZNF622/PRPF8/DDX23/EIF3F/SART1/RUVBL1/RBIS/RPS27/IMP3/EIF3K/RRS1/PUF60/NPM1/SNRPE/NOP10/RPL35A/RUVBL2/SF3A3/UTP11/TBL3/NOC4L/NOC2L/RRP7A/NOP9/RPL23A/SDAD1/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/ISY1/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/TAF9/AATF/DDX52	217
BP	GO:0009060	aerobic respiration	111/3719	185/17097	1.38258920320716e-29	2.83476872964241e-26	2.37077664423628e-26	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/NNT/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/NDUFB10/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/SDHD/ARL2/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	111
BP	GO:0042254	ribosome biogenesis	150/3719	293/17097	6.20438250656582e-29	9.5407891994716e-26	7.97916244989136e-26	RPUSD1/TSR3/UTP18/RPL26L1/NOP16/RRP12/RIOK2/WDR18/DHX29/BUD23/EXOSC5/XRCC5/RPS5/WBP11/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/PES1/SNU13/RPL3/PIH1D1/POP4/RPS16/FBL/RPS19/NOP53/NPM3/NUP88/C1QBP/FTSJ3/GAR1/KRR1/RPL24/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/UTP20/GTF3A/MRPS2/RPL5/DDX54/DDX27/RIOK1/RPP40/MRPS7/SBDS/EMG1/NGDN/NSUN5/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/NIP7/MPHOSPH6/GLUL/PWP1/IMP4/RPL35/RPS6/RSL24D1/RPS24/CUL4A/UTP4/EIF4A3/RPS8/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/HEATR3/NIFK/UTP14A/TSR2/RRP1B/RPL26/NOL9/TFB2M/WDR43/ABCE1/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/RPSA/MRPL1/RIOX2/MRPL36/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/ZNF622/SART1/RBIS/RPS27/IMP3/RRS1/NPM1/NOP10/RPL35A/UTP11/TBL3/NOC4L/NOC2L/RRP7A/NOP9/RPL23A/SDAD1/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/AATF/DDX52	150
BP	GO:0045333	cellular respiration	123/3719	226/17097	4.13697867151642e-27	5.0893111616995e-24	4.25629784583174e-24	NDUFAB1/SLC25A13/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/NNT/DGUOK/GPD2/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/MYBBP1A/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/PNPT1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/GBA/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/SDHD/ARL2/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	123
BP	GO:0006119	oxidative phosphorylation	86/3719	138/17097	7.57436475274664e-25	7.76498626569077e-22	6.49402114853909e-22	NDUFAB1/UQCRC1/BID/NDUFB4/RHOA/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NIPSNAP2/NDUFB9/NDUFC2/ATP5F1A/ATP5PF/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/SDHD/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	86
BP	GO:0015980	energy derivation by oxidation of organic compounds	146/3719	311/17097	2.61359439034078e-23	2.29660272785516e-20	1.92069711061585e-20	NDUFAB1/SLC25A13/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/PHKA1/RHOA/IDH3G/ACADVL/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/HIF1A/PYGB/IDH3B/SLC25A14/ANTKMT/GYS1/NOP53/GSK3A/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/PTGES3/COX6A1/COX7A2/NNT/PCDH12/DGUOK/GPD2/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/PER2/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/PNPT1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PHKG2/PINK1/NDUFS2/AGL/GYG1/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/GBA/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/PPP1CC/NDUFA4/HMGB1/STK40/GFPT1/ND5/MTOR/SDHD/ARL2/NDUFS3/PPP1CB/UQCRHL/ATP5MF/ATP5PO/CHCHD10	146
BP	GO:0007005	mitochondrion organization	204/3719	500/17097	1.64921819293028e-22	1.26804263808927e-19	1.06049069853293e-19	GCLC/BAD/POLDIP2/NDUFAB1/SLC25A5/RALA/GGCT/BID/RALBP1/GCLM/TOMM34/MIPEP/BAK1/NDUFB4/MTFR1/VPS35/FUNDC1/TFRC/HSD17B10/MARK2/HSP90AA1/CTTN/BAX/AURKA/NDUFB2/TMEM14A/SH3GLB1/ATP5F1D/NDUFB7/TIMM13/TOMM22/FBXO7/TSPO/SAMM50/HIF1A/RAB5IF/PSMD10/TSC2/ARMC1/PPP2CB/PDCD5/TIMM50/DMAC2/MYH14/GSK3A/CHCHD2/MAPK8/PITRM1/TFAM/PPIF/VAT1/UBE2D3/NDUFC1/GRPEL1/ATG2A/AIP/NDUFS8/CAMKK2/WASF1/COX7A2/CERT1/THG1L/GOLPH3/NDUFS7/COX7A2L/PARK7/MFN2/RAB29/RAB32/NDUFB3/NDUFA8/SLIRP/IFIT2/CLU/OPTN/ATPAF1/NDUFAF4/NDUFA1/ALKBH7/ROMO1/BECN1/TIMM17B/TIMM8A/NDUFA5/NECTIN2/TOMM40/ATP5IF1/NDUFA2/CLUH/TIMM17A/TIMM10/HRK/NMT1/NDUFB5/YME1L1/DMAC1/PNPT1/COX17/PIF1/MAP1LC3B/NDUFB10/NPEPPS/PMAIP1/AKT1/SAE1/HAX1/PARP1/HSPD1/SNCA/CISD2/HIGD2A/DYNLT1/NIPSNAP2/NDUFB11/NDUFB9/MIGA2/TIMM8B/NDUFC2/SLC25A4/BAG3/CXADR/FLCN/OXA1L/SUPV3L1/AIFM1/WIPI2/PINK1/NDUFS2/ATP13A2/THEM4/CALM3/ATAD3B/LMNA/SELENON/BAP1/NDUFS4/CDK5/FXN/NDUFB6/STOML2/VDAC2/PRDX3/GHITM/PMPCA/FUNDC2/NDUFB8/PHB/ACAA2/WDR81/NDUFS5/LETM1/UQCRFS1/PRELID1/STAT2/HSPA4/TRIAP1/NDUFA3/ATPAF2/MTX1/MICOS10/TOMM20/HAP1/NDUFA11/MICOS13/PARL/TMEM70/ULK1/TIMM22/GBA/NDUFAF3/COX14/HIGD1A/NDUFB1/COA3/NDUFA12/NDUFA6/UBE2L3/BCAP31/NDUFA13/BLOC1S2/SDHAF3/TOMM7/WDR45/ATAD3A/MARCHF5/UBL5/CALM1/ND5/OPA1/PRMT6/SREBF2/ATG9A/INF2/HSPA1A/NDUFS3/SLC35F6/RTL10/NDUFAF8/PET100/PET117/GPX1/CHCHD10/TIMM23/RCC1L	204
BP	GO:0006091	generation of precursor metabolites and energy	196/3719	480/17097	1.02474371700459e-21	7.00355400366138e-19	5.85721935087887e-19	NDUFAB1/SLC25A13/CIAPIN1/CYB561/UQCRC1/MDH1/BID/GLRX2/CYBA/CS/PDIA5/NDUFB4/MTFR1/FECH/PHKA1/PKM/RHOA/IDH3G/P4HA2/ACADVL/ENO1/ACAT1/AACS/ME2/OXCT1/AKR1B1/NDUFB2/DLD/FH/PHGDH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/HIF1A/DHRS2/PYGB/IDH3B/SLC25A14/PGK1/ANTKMT/GSR/GYS1/GPI/NOP53/GSK3A/OGDH/CHCHD2/PPIF/GIT1/NDUFC1/NDUFS8/ATP5F1B/PTGES3/ALDH2/TPI1/COX6A1/PPARD/COX7A2/NNT/GNPDA1/PCDH12/DGUOK/GPD2/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/CISD1/ATP5F1E/NQO2/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/POR/NDUFA5/PGLS/ATP5IF1/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/PER2/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/FDX1/PNPT1/COX17/ETFA/NDUFB10/PFKL/IFNAR1/AKT1/PGD/SDHC/DEGS1/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/QDPR/SLC25A4/ATP5F1A/RPIA/ATP5PF/OXA1L/UQCRB/HK1/PHKG2/PRXL2C/PINK1/NDUFS2/ADPGK/ALDH4A1/G6PD/JMJD8/AGL/GYG1/NDUFS4/UQCRQ/FOXK1/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/ENOX2/GHITM/NDUFB8/COX11/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/TALDO1/GBA/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/NDUFA13/PPP1CC/NDUFA4/HMGB1/STK40/ADH5/GFPT1/ND5/MTOR/SDHD/ARL2/NDUFS3/PPP1CB/UQCRHL/ATP5MF/ATP5PO/EIF6/CHCHD10	196
BP	GO:0022900	electron transport chain	94/3719	172/17097	3.36374093404067e-21	2.06903704852841e-18	1.73037915206913e-18	NDUFAB1/SLC25A13/CIAPIN1/CYB561/UQCRC1/BID/GLRX2/CYBA/PDIA5/NDUFB4/P4HA2/ME2/AKR1B1/NDUFB2/DLD/PHGDH/NDUFB7/DHRS2/IDH3B/GSR/CHCHD2/NDUFC1/NDUFS8/ALDH2/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/SDHB/NDUFB3/NDUFA8/NQO2/NDUFA1/COX6B1/COX7C/UQCR11/POR/NDUFA5/COX4I1/COX7B/NDUFA2/MYBBP1A/CCNB1/COX5B/ISCU/NDUFB5/FDX1/ETFA/NDUFB10/SDHC/DEGS1/SNCA/NDUFS6/NDUFB9/NDUFC2/QDPR/UQCRB/PINK1/NDUFS2/ALDH4A1/NDUFS4/UQCRQ/COX6C/NDUFB6/ENOX2/GHITM/NDUFB8/COX11/NDUFV1/COA6/NDUFS5/UQCRFS1/CDK1/NDUFA3/CYCS/UQCRH/COX8A/GBA/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA13/NDUFA4/ADH5/ND5/SDHD/NDUFS3/UQCRHL	94
