ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	62/2411	163/17098	2.4418760979454e-14	1.37965999533915e-10	1.27594452107379e-10	CELSR3/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/DSG3/DSG1/MYPN/PCDH10/NECTIN4/HMCN1/PCDH15/DCHS1/CDH16/PCDHB1/DSG4/DSCAML1/PCDHB9/CDH5/CNTN2/PCDH9/ROBO2/PCDHB13/CDHR4/DCHS2/PCDHB11/PLXNB3/PCDHGA1/PCDHA9/PCDHA4/PCDHA13/PCDHGC5/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGA3/PCDHA3/PECAM1/PCDHGB3/PCDHGA4/PCDHB16	62
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	83/2411	265/17098	4.04811871412312e-13	1.14359353673978e-09	1.05762427878459e-09	ITGAL/SELE/CELSR3/CLDN11/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/ICAM1/TGFB2/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/SLITRK3/CEACAM8/FLRT3/GATA5/DSG3/DSG1/MYPN/PCDH10/NECTIN4/HMCN1/PCDH15/GRID2/CLDN14/JAML/VCAM1/CLDN19/DCHS1/CDH16/ITGAM/CLDN20/PCDHB1/SELP/DSG4/DSCAML1/PCDHB9/CDH5/CLDN5/CNTN2/PCDH9/ROBO2/PCDHB13/CDHR4/SELL/DCHS2/PCDHB11/MBP/PLXNB3/PCDHGA1/PCDHA9/PCDHA4/PCDHA13/PCDHGC5/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGA3/PCDHA3/PECAM1/PCDHGB3/PCDHGA4/MILR1/PCDHB16	83
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	70/2411	230/17098	1.18023233724778e-10	1.66833946479874e-07	1.54292260889817e-07	GIPR/CASR/PTGER3/CALCRL/ADCYAP1R1/GNAO1/RGS1/HRH3/VIPR2/ADGRD1/OPRM1/GRM6/ARRDC3/NPR3/PDE4D/CRHR1/GRM4/AVPR2/ADGRE2/ADM2/MCHR1/GALR3/ADCY4/GPR12/HRH4/ADGRB3/MRAP2/LHCGR/LGR5/ADGRG7/GPR119/DRD2/DRD3/GPR26/ADGRG4/HTR5A/CACNA1D/GIP/PTGIR/PTH1R/HTR4/ABCA1/GPR101/TSHR/CHRM1/GPR37/FSHR/S1PR1/FPR2/RXFP1/PTGER4/ADCY5/GPR4/HTR1F/HTR1D/GPHB5/AKAP5/ADGRD2/SSTR2/S1PR5/CHRM2/PTGDR2/PDE4B/DRD1/CHRM5/CNR2/GRM7/ADGRG1/GCGR/ADRA2B	70
BP	GO:0050900	leukocyte migration	93/2411	342/17098	1.18112528481327e-10	1.66833946479874e-07	1.54292260889817e-07	ITGAL/ITGA2B/SELE/DPEP1/CD74/DAPK2/F7/SPI1/TBX21/CXCL2/ICAM1/CD200/TGFB2/HSD3B7/MADCAM1/HMOX1/PDGFB/ASB2/BST1/SELPLG/RIPOR2/IL17A/CCR6/IL1R1/CSF3R/PGF/NKX2-3/TNFSF11/EPX/NCKAP1L/XG/TREM1/ADGRE2/RIPK3/FOXJ1/LBP/PLVAP/TRPM4/CCL25/VAV3/C5AR2/IL6/MYO1G/CCL21/TRPM2/NLRP12/ECM1/PTPRO/CCL28/JAM2/MMP14/IL34/FCER1G/JAML/VCAM1/TAFA4/CD200R1/CXCL3/CXCL1/GREM1/CD300A/CX3CR1/RHOH/ROR2/PTAFR/CXCL8/S1PR1/FPR2/PTGER4/C3AR1/IL16/CCL19/SELP/CMKLR1/LEP/LCK/CSF1/PDE4B/C10orf99/SELL/CNR2/S100A14/CXCL17/ELANE/AGER/GPSM3/KLRK1/TNF/PRSS56/PECAM1/MMP28/CCL16/CCL14	93
BP	GO:0050953	sensory perception of light stimulus	63/2411	208/17098	1.22888692455925e-09	1.38864222475195e-06	1.2842515144236e-06	USH1C/USH2A/CNGB1/MYO3B/PAX2/IMPG2/SEMA5B/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/EFEMP1/PDC/RPE65/VSX2/OPN5/CRYGN/AIPL1/GUCY2D/PDE6A/TRPM1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/RGR/PCDH15/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/BBS5/CLRN1/CLDN19/CPLX4/FAM161A/BFSP2/CABP4/KCNJ10/PCARE/RRH/USH1G/LRIT3/RP1L1/TACSTD2/SLITRK6/PDE6G/KRT12/ABCA4/RORB/PRCD/MFRP/GPR179	63
BP	GO:0006820	anion transport	117/2411	492/17098	4.06167543975421e-09	3.82474437243521e-06	3.53722050577893e-06	CFTR/SLC4A1/SLC6A13/SLC11A1/ATP1A2/CASR/BEST2/TG/SLC2A3/ABCC9/SLC12A3/SLC12A1/CEACAM1/LRP2/SLC13A1/SLCO1A2/SLC26A4/SLC26A3/SLC10A1/HRH3/SLC17A9/SLC5A5/ABCC3/SLC16A6/FOLR3/SLC6A12/SLC26A8/RHAG/SLC17A2/SLC22A2/SLC4A9/RGS4/ARG1/FGF23/SLC25A2/TNFSF11/SLC17A3/SLC17A1/SLC10A2/WNK4/BEST3/SLC35D2/GFAP/RTBDN/SLC52A1/NMUR2/SLC37A2/SLC9A5/SLCO2B1/SLC3A1/PLA2G12B/MTTP/SLCO1C1/SLC24A4/SLC13A5/SLC16A3/TTYH2/BEST4/SLC4A10/GLRA3/GLRA1/SLC17A4/GABRR1/SLC22A3/SLC26A7/NTRK2/SLC5A12/DRD2/SLC22A8/SLC25A31/DRD3/PLA2R1/SLC7A7/SLC24A2/SLC34A2/STC1/ACE/SLC1A7/SLC9C2/SLC16A14/SLC6A20/SLC51A/NPY5R/SLC13A4/SLC25A32/SLC16A9/FOLR2/SLC22A11/BDKRB2/PLA2G4F/PTAFR/TCAF2/SLC23A1/SLC26A5/P2RY6/SLC2A14/SLC26A9/LEP/KCNJ10/SLC17A8/SLC25A18/GABRR3/PLA2G6/SLC22A10/CALHM1/CLCN1/SLC24A5/GRM7/SLC22A25/SLC22A24/SLC9A8/SLC22A6/SLC34A3/SLC44A4/SLCO6A1/SLC12A8/SLC35D2	117
BP	GO:0007601	visual perception	60/2411	204/17098	1.0318609018707e-08	8.32859156509919e-06	7.7024925065957e-06	USH2A/CNGB1/MYO3B/PAX2/IMPG2/SEMA5B/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/EFEMP1/PDC/RPE65/VSX2/OPN5/CRYGN/AIPL1/GUCY2D/PDE6A/TRPM1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/RGR/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/BBS5/CLRN1/CLDN19/CPLX4/FAM161A/BFSP2/CABP4/KCNJ10/PCARE/RRH/LRIT3/RP1L1/TACSTD2/SLITRK6/PDE6G/KRT12/ABCA4/RORB/PRCD/MFRP/GPR179	60
BP	GO:0050778	positive regulation of immune response	114/2411	489/17098	2.08313914747079e-08	1.47121702290124e-05	1.36061878000592e-05	CD38/CD79B/MASP2/CD4/BTK/SLC11A1/CD74/C8B/BTN3A1/SPI1/IFI35/TBX21/CEACAM1/PTPRC/LAT2/NLRC4/TGFB2/BLNK/IL12RB1/SLA2/NFATC2/BMX/TNFSF13B/LPXN/HPX/BTN3A3/IL17A/IL17F/C7/IL12B/BTNL8/PDE4D/CD86/HHLA2/IL1R1/TNFSF4/COLEC11/MYB/ARG1/CD80/NCKAP1L/C4BPB/PCK1/BTN2A2/EREG/C3/LBP/THEMIS2/PRAM1/VAV3/PTPN22/VTCN1/CFHR5/KLRD1/C5AR2/HAVCR2/IL6/MYO1G/SKAP1/GPR32/FCN3/NFKBIZ/CD226/BANK1/GBP5/MS4A1/C8A/FCER1G/IL23R/TRAT1/ERMAP/RAET1E/C2/CD300A/INPP5D/IL13/PTAFR/ITGAM/FPR2/C3AR1/RASGRP1/CCL19/GPR151/CMKLR1/A2M/CD28/C1S/LCK/SH2D1A/PLA2G6/PDE4B/FPR3/FYB2/C17orf99/ELANE/CR1L/SH2D1B/CD247/BTNL2/NCR3/CFI/KLRC2/KLRK1/HLA-DPB1/C4B/LTA/TNF/NFAM1/IRGM/HLA-DMB/CFB/MMP12/IFNL4/RAET1E	114
BP	GO:0003341	cilium movement	52/2411	174/17098	5.46027503948107e-08	3.4278393303409e-05	3.17015266619697e-05	SLC22A16/ZMYND10/TEKT2/CACNA1I/EPPIN/RSPH6A/ODAD1/GAPDHS/DNAH11/SEPTIN4/RSPH4A/SLC26A8/CCR6/NME5/IQCG/DNAI1/SEMG2/ATP1A4/TTC29/ADCY10/SLC22A14/TCTE1/DDX4/DNAI4/SPAG17/CFAP70/HYDIN/DRC1/CELF3/DNAI3/CFAP221/SLC9B1/TEKT1/ZBBX/DNAI2/CFAP46/CFAP53/CATSPERD/CATSPER1/DNHD1/TPPP2/SPEM1/CFAP65/CFAP91/CFAP54/CATSPER4/CFAP43/MEIG1/ODAD3/ODAD4/CFAP97D1/CFAP206	52
BP	GO:0045123	cellular extravasation	27/2411	68/17098	1.74767376816735e-07	9.87435679014552e-05	9.13205535282391e-05	ITGAL/SELE/ICAM1/MADCAM1/BST1/SELPLG/RIPOR2/IL1R1/XG/RIPK3/PLVAP/CCL25/CCL21/CCL28/JAM2/JAML/VCAM1/CX3CR1/PTAFR/PTGER4/SELP/LEP/SELL/ELANE/AGER/TNF/PECAM1	27
