ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051607	defense response to virus	11/114	260/17197	1.24416736014578e-06	0.0012024877535809	0.0011020703511186	PLA2G10/IL12B/IFIH1/IFIT3/IFIT2/RSAD2/OASL/DDX60/IFI44L/IL23R/IFIT1	11
BP	GO:0140546	defense response to symbiont	11/114	260/17197	1.24416736014578e-06	0.0012024877535809	0.0011020703511186	PLA2G10/IL12B/IFIH1/IFIT3/IFIT2/RSAD2/OASL/DDX60/IFI44L/IL23R/IFIT1	11
BP	GO:0009615	response to virus	12/114	355/17197	4.15553188487366e-06	0.00267754771115359	0.00245395093412013	PLA2G10/IL12B/IFIH1/IFIT3/IFIT2/TPT1/RSAD2/OASL/DDX60/IFI44L/IL23R/IFIT1	12
BP	GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	3/114	11/17197	4.50356498817461e-05	0.0217634778053538	0.0199460523028891	ATP1A2/ATP1A4/SLC22A1	3
MF	GO:0015294	solute:cation symporter activity	6/114	104/17367	6.30441284190584e-05	0.0100872181664126	0.00953256534307023	SLC1A6/SLC2A9/SLC5A7/SLC6A20/SLC22A1/SLC10A5	6
MF	GO:0015081	sodium ion transmembrane transporter activity	7/114	152/17367	6.44550681559909e-05	0.0100872181664126	0.00953256534307023	ATP1A2/SLC1A6/SLC5A7/ATP1A4/SLC6A20/SLC22A1/SLC10A5	7
MF	GO:0015370	solute:sodium symporter activity	5/114	73/17367	0.000117452162860987	0.0122541756584963	0.0115803711452412	SLC1A6/SLC5A7/SLC6A20/SLC22A1/SLC10A5	5
MF	GO:0022853	active ion transmembrane transporter activity	8/114	262/17367	0.000334544677867475	0.0234437140239253	0.0221546448317572	ATP1A2/SLC1A6/SLC2A9/SLC5A7/ATP1A4/SLC6A20/SLC22A1/SLC10A5	8
MF	GO:0015293	symporter activity	6/114	144/17367	0.000374500224024365	0.0234437140239253	0.0221546448317572	SLC1A6/SLC2A9/SLC5A7/SLC6A20/SLC22A1/SLC10A5	6
MF	GO:0015101	organic cation transmembrane transporter activity	3/114	28/17367	0.000800646437295882	0.0417670558122685	0.0394704647158146	SLC5A7/SLC6A20/SLC22A1	3
MF	GO:0005343	organic acid:sodium symporter activity	3/114	30/17367	0.000982830075902238	0.0439465448224858	0.0415301129817337	SLC1A6/SLC6A20/SLC10A5	3
