ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006334	nucleosome assembly	8/54	118/17197	3.09135811977803e-09	2.63383711805088e-06	2.37871872163973e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0031497	chromatin assembly	8/54	140/17197	1.19717704810052e-08	5.09997422490823e-06	4.60598116927096e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0034728	nucleosome organization	8/54	156/17197	2.79739894180777e-08	7.94461299473407e-06	7.17508289986485e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0006333	chromatin assembly or disassembly	8/54	166/17197	4.54038143585451e-08	9.6710124583701e-06	8.73426007792012e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0006323	DNA packaging	8/54	188/17197	1.18980847722633e-07	1.75999064420439e-05	1.58951465395776e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0065004	protein-DNA complex assembly	8/54	189/17197	1.23943003112985e-07	1.75999064420439e-05	1.58951465395776e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0000395	mRNA 5'-splice site recognition	4/54	20/17197	4.05227071427617e-07	4.93219235509042e-05	4.45445096561786e-05	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
BP	GO:0071824	protein-DNA complex subunit organization	8/54	229/17197	5.37255969045771e-07	5.72177607033746e-05	5.16755412332182e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0006338	chromatin remodeling	8/54	244/17197	8.67686151370562e-07	8.21409556630799e-05	7.41846288481732e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0071103	DNA conformation change	8/54	276/17197	2.18342764967209e-06	0.000186028035752062	0.000168009011780032	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0045292	mRNA cis splicing, via spliceosome	4/54	38/17197	5.92056384120901e-06	0.000458574581155462	0.000414156188318066	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
BP	GO:0006376	mRNA splice site selection	4/54	45/17197	1.17576956323909e-05	0.000834796389899754	0.00075393644800682	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
BP	GO:0006325	chromatin organization	8/54	398/17197	3.14508487085984e-05	0.00206124023844045	0.00186158464825793	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	4/54	63/17197	4.50806036922733e-05	0.00274347673898692	0.00247773844353773	CXCL2/CXCL1/H2BC21/H2BC7	4
BP	GO:0000245	spliceosomal complex assembly	4/54	73/17197	8.04831759502038e-05	0.00457144439397158	0.00412864572769116	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
BP	GO:0019730	antimicrobial humoral response	4/54	101/17197	0.000282925775746693	0.0150657975585114	0.0136064961888706	CXCL2/CXCL1/H2BC21/H2BC7	4
BP	GO:0022618	ribonucleoprotein complex assembly	5/54	210/17197	0.000503545076692221	0.0252364944318689	0.0227920403134374	RPL3L/RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	5
BP	GO:0071826	ribonucleoprotein complex subunit organization	5/54	217/17197	0.000584416950012941	0.0276624023006126	0.0249829702023076	RPL3L/RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	5
CC	GO:0000786	nucleosome	8/56	100/18071	7.54950974596887e-10	9.66923613293479e-08	8.1130127736295e-08	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
CC	GO:0044815	DNA packaging complex	8/56	108/18071	1.40133856999055e-09	9.66923613293479e-08	8.1130127736295e-08	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
CC	GO:0032993	protein-DNA complex	9/56	190/18071	6.4263260436698e-09	2.95610998008811e-07	2.4803363677322e-07	FOS/H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	9
CC	GO:0005685	U1 snRNP	3/56	28/18071	8.74039176386418e-05	0.00301543515853314	0.0025301134053291	RNVU1-15/RNVU1-4/RNVU1-8	3
CC	GO:0097525	spliceosomal snRNP complex	4/56	81/18071	0.000115235336222653	0.00318049527974523	0.00266860778620881	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
CC	GO:0030532	small nuclear ribonucleoprotein complex	4/56	90/18071	0.000173361137681157	0.00398730616666661	0.00334556581489952	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
CC	GO:0120114	Sm-like protein family complex	4/56	101/18071	0.000270110047814086	0.00532502665690627	0.00446798575331571	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
MF	GO:0030627	pre-mRNA 5'-splice site binding	4/57	15/17367	1.38524256232792e-07	1.57917652105383e-05	1.35607956101575e-05	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
MF	GO:0046982	protein heterodimerization activity	8/57	315/17367	8.17858728982071e-06	0.00046617947551978	0.000400320325238593	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
MF	GO:0036002	pre-mRNA binding	4/57	52/17367	2.51013285046938e-05	0.000953850483178364	0.000819095982784744	RNVU1-15/RNU4ATAC/RNVU1-4/RNVU1-8	4
MF	GO:0045236	CXCR chemokine receptor binding	2/57	14/17367	0.000939025105368671	0.0267622155030071	0.0229814038945491	CXCL2/CXCL1	2
