Ensembl	Mock_1_TPM	Mock_2_TPM	Mock_3_TPM	NT_1_TPM	NT_2_TPM	NT_3_TPM	T_1_TPM	T_2_TPM	T_3_TPM	Gene	Mock_1_FPKM	Mock_2_FPKM	Mock_3_FPKM	NT_1_FPKM	NT_2_FPKM	NT_3_FPKM	T_1_FPKM	T_2_FPKM	T_3_FPKM	Mock_1_ReadCount	Mock_2_ReadCount	Mock_3_ReadCount	NT_1_ReadCount	NT_2_ReadCount	NT_3_ReadCount	T_1_ReadCount	T_2_ReadCount	T_3_ReadCount
ENSSASG00005000002	22526.832031	17497.898438	19798.871094	14354.670898	15124.71582	14645.113281	22793.820312	24064.257812	24776.396484	ORF1ab	19391.380859	15352.529297	15648.347656	11720.810547	11979.445312	11800.103516	14435.141602	14505.040039	14715.53418	321	310	351	17755727	16922263	20706022	10670708	13893475	15627894
ENSSASG00005000003	7955.394043	14089.69043	17665.607422	21168.292969	22732.072266	22710.941406	28544.287109	32684.189453	33063.445312	ORF1ab	6848.103027	12362.193359	13962.289062	17284.240234	18004.808594	18299.037109	18076.867188	19700.8125	19637.490234	71	155	194	16256280	15790661	19935595	8296318	11715645	12947935
ENSSASG00005000004	31961.908203	46604.152344	40563.621094	34037.484375	35138.511719	34454.894531	45587.640625	47919.5	48431.546875	S	27513.210938	40890.148438	32060.09375	27792.132812	27831.259766	27761.568359	28870.283203	28884.09375	28765.123047	82	148	129	7558189	7057804	8745203	3831231	4966675	5484104
ENSSASG00005000005	129014.578125	107802.03125	134127.90625	143325.71875	137889.765625	140204.109375	141203.171875	134794.09375	139597.8125	ORF3a	111057.367188	94584.726562	106010.101562	117027.679688	109214.804688	112967.578125	89422.828125	81248.859375	82911.828125	109	113	141	10492144	9130575	11731663	3912150	4605790	5211177
ENSSASG00005000006	34007.425781	44598.953125	51380.769531	40792.804688	39663.636719	40639.65625	49262.832031	49852.867188	50861.921875	E	29274.019531	39130.796875	40609.597656	33307.960938	31415.357422	32744.857422	31197.751953	30049.453125	30208.603516	19	31	36	1962382	1725911	2234646	896913	1119395	1247699
ENSSASG00005000007	53284.011719	57286.648438	62968.417969	68485.304688	64421.164062	65264.03125	70845.609375	72978.617188	75465.71875	M	45867.546875	50262.894531	49768.078125	55919.320312	51024.417969	52585.617188	44865.949219	43988.796875	44821.625	24	32	35	2661909	2264907	2899535	1042173	1323990	1495762
ENSSASG00005000008	100015.265625	94666.75	100228.257812	104651.390625	106166.28125	113026.0625	118076.242188	111092.085938	111952.421875	ORF6	86094.390625	83059.929688	79216.96875	85449.484375	84088.398438	91069.234375	74776.734375	66962.171875	66492.304688	25	29	31	2225337	2042036	2747186	950264	1102623	1213952
ENSSASG00005000009	101820.5625	84982.304688	84604.710938	100189.320312	98008.539062	100622.773438	95502.625	94071.007812	95568.757812	ORF7a	87648.421875	74562.867188	66868.664062	81806.132812	77627.109375	81075.453125	60481.039062	56702.5	56761.492188	25	26	26	2130454	1885127	2445714	768594	933684	1036296
ENSSASG00005000010	58684.683594	30069.080078	48936.746094	50007.28125	49133.277344	51127.023438	61139.039062	62563.664062	62206.089844	ORF7b	50516.511719	26382.394531	38677.925781	40831.722656	38915.734375	41194.910156	38718.859375	37711.050781	36946.285156	9	6	10	662427	588717	774130	306517	386830	420199
ENSSASG00005000011	140329.03125	95211.570312	87002.6875	117978.867188	121679.09375	115398.609375	115747.1875	120153.875	113504.484375	ORF8	120796.992188	83537.945312	68763.945312	96331.578125	96375.234375	92980.882812	73301.765625	72424.289062	67414.125	18	15	14	1274932	1189391	1425417	473396	606057	625479
ENSSASG00005000012	54300.160156	89371.976562	86252.320312	102234.9375	96181.164062	100125.945312	97111.429688	94311.953125	94200.53125	N	46742.261719	78414.328125	68170.875	83476.40625	76179.75	80675.132812	61499.886719	56847.738281	55948.859375	5	10	10	784049	667206	877706	281868	337601	368396
ENSSASG00005000013	266100.15625	317818.96875	266470.09375	202773.9375	213861.78125	201780.84375	154186.109375	155513.90625	150370.875	ORF10	229062.359375	278852.0625	210608.8125	165568.0625	169388.015625	162582.203125	97644.820312	93738	89310.3125	21	31	26	1378376	1314967	1567813	396672	493422	521239
