gene_id,CK0816,	gene_id	CK0816	CK0817	CK0818	CK0819	CK0820	CK0821	CK0822	CK0823	CK0824
ENSG00000223972	ENSG00000223972|DDX11L1	0	0	0	0	0	0	0	0	0
ENSG00000243485	ENSG00000243485|MIR1302-2HG	4	3	2	5	7	8	10	10	8
ENSG00000284332	ENSG00000284332|MIR1302-2	0	0	1	1	1	1	1	1	1
ENSG00000237613	ENSG00000237613|FAM138A	1	0	2	6	8	6	8	5	12
ENSG00000290826	ENSG00000290826	0	0	1	11	14	16	7	20	9
ENSG00000240361	ENSG00000240361|OR4G11P	0	0	0	1	2	1	2	2	2
ENSG00000239945	ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000238009	ENSG00000238009	31	26	26	35	49	36	63	65	65
ENSG00000241860	ENSG00000241860	123	92	109	157	172	139	266	173	204
ENSG00000290825	ENSG00000290825|DDX11L2	8	9	9	11	13	11	24	21	25
ENSG00000227232	ENSG00000227232|WASH7P	288	209	333	272	185	207	395	291	264
ENSG00000278267	ENSG00000278267|MIR6859-1	15	13	14	10	9	10	16	10	7
ENSG00000268020	ENSG00000268020|OR4G4P	4	1	1	11	10	13	11	13	18
ENSG00000186092	ENSG00000186092|OR4F5	4	2	1	17	31	28	22	36	35
ENSG00000233750	ENSG00000233750|CICP27	31	34	29	25	34	39	33	47	46
ENSG00000268903	ENSG00000268903	16	16	18	18	10	13	32	17	18
ENSG00000269981	ENSG00000269981	4	6	5	3	4	4	7	4	5
ENSG00000239906	ENSG00000239906	5	8	6	7	4	7	12	8	7
ENSG00000222623	ENSG00000222623|RNU6-1100P	2	1	2	2	2	1	2	3	1
ENSG00000241599	ENSG00000241599	2	2	1	3	2	2	3	4	1
ENSG00000279928	ENSG00000279928|DDX11L17	3	0	3	3	6	3	4	7	6
ENSG00000279457	ENSG00000279457|WASH9P	366	283	433	377	290	288	631	354	344
ENSG00000273874	ENSG00000273874|MIR6859-2	14	9	14	9	8	9	14	10	7
ENSG00000228463	ENSG00000228463	71	58	69	81	90	84	115	113	104
ENSG00000236601	ENSG00000236601	1	0	1	3	0	2	2	4	2
ENSG00000290385	ENSG00000290385	154	163	161	163	179	154	359	273	291
ENSG00000286448	ENSG00000286448	1	4	1	2	2	1	2	3	2
ENSG00000236679	ENSG00000236679|RPL23AP24	9	8	8	7	4	6	9	10	8
ENSG00000269732	ENSG00000269732|WBP1LP7	3	1	4	2	7	8	7	9	10
ENSG00000284733	ENSG00000284733|OR4F29	12	6	13	26	41	27	49	41	52
ENSG00000237094	ENSG00000237094	1	1	1	1	1	1	2	1	1
ENSG00000233653	ENSG00000233653|CICP7	24	24	22	18	26	24	24	32	41
ENSG00000250575	ENSG00000250575	33	47	42	32	18	30	62	44	40
ENSG00000278757	ENSG00000278757|U6	2	1	1	1	1	1	2	3	1
ENSG00000187583	ENSG00000187583|PLEKHN1	0	9	0	15	14	14	11	24	36
ENSG00000187642	ENSG00000187642|PERM1	3	4	9	19	21	30	10	37	37
ENSG00000272512	ENSG00000272512	73	65	39	37	57	66	85	149	152
ENSG00000187961	ENSG00000187961|KLHL17	359	268	416	220	200	212	398	274	325
ENSG00000176022	ENSG00000176022|B3GALT6	203	210	293	123	130	161	279	261	238
ENSG00000184163	ENSG00000184163|C1QTNF12	33	27	19	38	22	31	63	26	65
ENSG00000260179	ENSG00000260179	25	23	14	55	32	24	60	58	44
ENSG00000207730	ENSG00000207730|MIR200B	0	0	0	0	0	0	0	0	0
ENSG00000207607	ENSG00000207607|MIR200A	0	0	0	0	1	0	0	2	2
ENSG00000198976	ENSG00000198976|MIR429	0	0	0	0	0	0	0	0	0
ENSG00000272141	ENSG00000272141	0	0	0	0	2	4	0	3	5
ENSG00000205231	ENSG00000205231|TTLL10-AS1	0	0	0	6	10	7	0	10	6
ENSG00000162571	ENSG00000162571|TTLL10	0	0	0	7	6	5	7	6	11
ENSG00000186891	ENSG00000186891|TNFRSF18	0	0	0	3	0	0	0	4	0
ENSG00000186827	ENSG00000186827|TNFRSF4	0	2	0	6	4	0	4	6	6
ENSG00000078808	ENSG00000078808|SDF4	932	733	992	411	356	431	749	590	609
ENSG00000187608	ENSG00000187608|ISG15	214	181	206	84	130	120	154	178	164
ENSG00000188157	ENSG00000188157|AGRN	660	562	704	403	521	534	791	686	833
ENSG00000242590	ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000291156	ENSG00000291156	45	27	66	8	17	23	29	29	19
ENSG00000131591	ENSG00000131591|C1orf159	291	276	340	184	171	173	341	244	278
ENSG00000188290	ENSG00000188290|HES4	376	358	425	215	144	145	517	255	265
ENSG00000231702	ENSG00000231702	9	5	7	5	13	6	10	12	15
ENSG00000224969	ENSG00000224969	15	25	19	26	45	26	52	60	48
ENSG00000273443	ENSG00000273443	4	6	21	0	0	0	7	4	5
ENSG00000217801	ENSG00000217801	6	7	14	0	0	0	3	1	4
ENSG00000237330	ENSG00000237330|RNF223	3	0	5	3	3	0	5	9	10
ENSG00000285812	ENSG00000285812	72	66	53	49	30	46	65	85	82
ENSG00000230021	ENSG00000230021	31	29	36	65	65	63	106	87	90
ENSG00000235146	ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000278791	ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000237491	ENSG00000237491|LINC01409	221	163	192	236	245	171	382	349	337
ENSG00000228794	ENSG00000228794|LINC01128	729	552	596	296	406	349	524	607	674
ENSG00000288531	ENSG00000288531	7	10	6	13	12	9	13	29	35
ENSG00000230368	ENSG00000230368|FAM41C	4	9	2	14	19	10	15	29	18
ENSG00000283040	ENSG00000283040	0	0	0	0	0	0	0	0	3
ENSG00000241180	ENSG00000241180	0	0	0	0	0	0	0	0	1
ENSG00000223764	ENSG00000223764|LINC02593	536	388	838	273	292	267	387	438	507
ENSG00000187634	ENSG00000187634|SAMD11	667	526	991	345	414	453	677	546	662
ENSG00000225972	ENSG00000225972|MTND1P23	95	133	40	41	48	48	93	80	100
ENSG00000225630	ENSG00000225630|MTND2P28	719	1343	347	293	315	343	523	510	592
ENSG00000237973	ENSG00000237973|MTCO1P12	5264	6069	3690	3726	3283	3582	5855	4792	5576
ENSG00000229344	ENSG00000229344|MTCO2P12	179	238	128	116	89	76	149	131	173
ENSG00000240409	ENSG00000240409|MTATP8P1	1	2	1	1	1	1	2	3	1
ENSG00000248527	ENSG00000248527|MTATP6P1	575	934	323	281	294	345	549	519	537
ENSG00000198744	ENSG00000198744|MTCO3P12	263	274	197	176	113	122	225	193	225
ENSG00000268663	ENSG00000268663|WBP1LP6	4	1	6	9	11	11	12	15	20
ENSG00000284662	ENSG00000284662|OR4F16	12	5	11	26	41	30	53	43	54
ENSG00000229376	ENSG00000229376|CICP3	33	32	37	25	39	33	36	52	52
ENSG00000291215	ENSG00000291215	289	337	331	334	272	301	548	424	478
ENSG00000223181	ENSG00000223181|RNU6-1199P	3	1	3	2	3	6	2	9	5
ENSG00000229905	ENSG00000229905	2	4	3	5	8	5	11	11	7
ENSG00000228327	ENSG00000228327	2	2	2	0	0	0	4	3	1
ENSG00000285268	ENSG00000285268	1	1	1	1	1	1	2	1	1
ENSG00000290784	ENSG00000290784	8	11	7	18	22	14	11	20	24
ENSG00000230092	ENSG00000230092	10	11	0	10	15	13	22	14	19
ENSG00000177757	ENSG00000177757|FAM87B	8	10	9	14	28	31	42	35	17
ENSG00000225880	ENSG00000225880|LINC00115	70	45	68	86	82	113	125	114	149
ENSG00000234711	ENSG00000234711|TUBB8P11	3	0	1	7	4	5	4	7	4
ENSG00000272438	ENSG00000272438	2	0	0	3	12	8	0	10	8
ENSG00000230699	ENSG00000230699	17	31	30	45	58	57	76	105	97
ENSG00000188976	ENSG00000188976|NOC2L	2498	1586	2220	951	921	889	1655	1266	1440
ENSG00000160087	ENSG00000160087|UBE2J2	627	675	721	401	326	323	718	596	664
ENSG00000230415	ENSG00000230415|LINC01786	10	11	8	23	6	9	18	5	14
ENSG00000162572	ENSG00000162572|SCNN1D	85	74	175	89	77	74	159	110	124
ENSG00000131584	ENSG00000131584|ACAP3	748	622	996	394	393	449	752	642	674
ENSG00000127054	ENSG00000127054|INTS11	1421	1226	1389	773	622	746	1415	1207	1409
ENSG00000278073	ENSG00000278073|MIR6726	1	0	1	3	2	0	0	0	1
ENSG00000169972	ENSG00000169972|PUSL1	466	422	456	307	303	281	526	370	433
ENSG00000283712	ENSG00000283712|MIR6727	1	1	1	1	1	1	1	1	1
ENSG00000240731	ENSG00000240731	93	89	93	75	85	71	120	106	98
ENSG00000224051	ENSG00000224051|CPTP	174	146	156	139	123	115	216	185	216
ENSG00000205116	ENSG00000205116|TMEM88B	0	3	0	2	5	11	4	10	7
ENSG00000225285	ENSG00000225285|LINC01770	0	0	0	8	2	0	8	0	4
ENSG00000235098	ENSG00000235098|ANKRD65	4	4	5	13	3	12	9	16	17
ENSG00000225905	ENSG00000225905|ANKRD65-AS1	0	0	0	0	0	0	2	0	0
ENSG00000107404	ENSG00000107404|DVL1	1109	801	1166	638	565	600	1244	730	833
ENSG00000284372	ENSG00000284372|MIR6808	0	0	1	0	1	0	1	0	1
ENSG00000162576	ENSG00000162576|MXRA8	41	26	70	72	82	57	98	92	116
ENSG00000175756	ENSG00000175756|AURKAIP1	675	547	646	196	175	209	376	297	353
ENSG00000221978	ENSG00000221978|CCNL2	4508	3010	4340	2315	2153	2216	3951	2983	3128
ENSG00000224870	ENSG00000224870|MRPL20-AS1	385	323	499	174	224	253	421	345	298
ENSG00000242485	ENSG00000242485|MRPL20	1073	761	1086	457	408	402	717	591	652
ENSG00000169962	ENSG00000169962|TAS1R3	62	64	38	68	58	70	82	103	133
ENSG00000223663	ENSG00000223663|NDUFB4P8	2	1	2	21	16	10	8	8	8
ENSG00000264293	ENSG00000264293|RN7SL657P	1	1	1	3	3	1	2	1	1
ENSG00000272455	ENSG00000272455|MRPL20-DT	81	65	93	69	74	75	138	129	104
ENSG00000228594	ENSG00000228594|FNDC10	29	35	39	15	16	12	44	37	32
ENSG00000286989	ENSG00000286989	8	8	15	11	9	12	15	23	19
ENSG00000179403	ENSG00000179403|VWA1	37	42	47	46	31	36	66	35	70
ENSG00000215915	ENSG00000215915|ATAD3C	66	47	71	194	22	28	357	56	63
ENSG00000160072	ENSG00000160072|ATAD3B	1773	1408	1663	838	733	891	1453	1235	1442
ENSG00000197785	ENSG00000197785|ATAD3A	1221	996	1252	590	463	499	1008	717	872
ENSG00000205090	ENSG00000205090|TMEM240	12	7	6	16	12	11	10	17	15
ENSG00000290916	ENSG00000290916	29	22	20	34	13	15	23	31	27
ENSG00000284740	ENSG00000284740	3	0	0	2	2	0	0	0	2
ENSG00000160075	ENSG00000160075|SSU72	1589	1227	1340	777	727	800	1296	1091	1208
ENSG00000215014	ENSG00000215014	35	40	42	61	63	74	128	135	123
ENSG00000274481	ENSG00000274481	1	0	2	0	0	1	4	5	3
ENSG00000197530	ENSG00000197530|MIB2	557	515	552	217	257	254	399	345	389
ENSG00000189409	ENSG00000189409|MMP23B	10	10	16	6	8	9	8	18	6
ENSG00000248333	ENSG00000248333|CDK11B	761	572	820	415	399	389	591	543	597
ENSG00000215914	ENSG00000215914|MMP23A	0	0	8	4	0	5	4	7	0
ENSG00000008128	ENSG00000008128|CDK11A	665	228	556	369	243	311	257	541	328
ENSG00000268575	ENSG00000268575	0	423	335	187	337	318	565	0	448
ENSG00000215790	ENSG00000215790|SLC35E2A	0	0	0	0	0	4	28	0	30
ENSG00000227775	ENSG00000227775	106	96	182	74	81	88	152	135	131
ENSG00000272106	ENSG00000272106	30	32	63	51	26	21	96	55	77
ENSG00000272004	ENSG00000272004	4	1	3	4	1	0	3	1	4
ENSG00000189339	ENSG00000189339|SLC35E2B	1060	1036	1407	761	760	769	1345	979	1083
ENSG00000269737	ENSG00000269737	68	48	74	67	80	85	114	94	104
ENSG00000290854	ENSG00000290854	191	152	226	148	119	143	187	216	190
ENSG00000169885	ENSG00000169885|CALML6	0	0	10	3	11	17	22	5	20
ENSG00000178821	ENSG00000178821|TMEM52	16	15	17	7	8	9	35	11	17
ENSG00000142609	ENSG00000142609|CFAP74	0	4	5	14	8	10	5	11	11
ENSG00000187730	ENSG00000187730|GABRD	7	5	11	16	10	9	32	17	30
ENSG00000008130	ENSG00000008130|NADK	1305	1135	1389	673	599	553	1174	870	912
ENSG00000078369	ENSG00000078369|GNB1	2661	2180	2498	965	952	974	1811	1314	1396
ENSG00000231050	ENSG00000231050|GNB1-DT	0	8	9	4	0	3	8	3	4
ENSG00000149527	ENSG00000149527|PLCH2	29	31	16	43	32	57	31	102	73
ENSG00000224387	ENSG00000224387	0	0	0	0	0	12	0	6	0
ENSG00000229393	ENSG00000229393	0	0	4	0	3	3	0	5	7
ENSG00000197921	ENSG00000197921|HES5	0	5	0	4	0	6	9	6	8
ENSG00000272449	ENSG00000272449	4	9	3	4	2	4	3	13	8
ENSG00000289610	ENSG00000289610	3	0	2	0	2	5	1	4	1
ENSG00000238164	ENSG00000238164|TNFRSF14-AS1	0	5	0	12	15	8	4	11	15
ENSG00000157873	ENSG00000157873|TNFRSF14	0	0	0	6	5	3	13	8	6
ENSG00000231630	ENSG00000231630	0	0	0	0	0	0	0	0	0
ENSG00000287396	ENSG00000287396	2	7	17	2	0	0	3	2	0
ENSG00000157881	ENSG00000157881|PANK4	466	382	408	286	243	257	542	352	404
ENSG00000157870	ENSG00000157870|PRXL2B	55	71	109	47	31	30	69	45	41
ENSG00000142606	ENSG00000142606|MMEL1	0	0	2	0	0	0	4	4	0
ENSG00000237058	ENSG00000237058|MMEL1-AS1	3	0	0	0	0	2	0	0	0
ENSG00000215912	ENSG00000215912|TTC34	11	15	8	10	10	7	27	19	23
ENSG00000285945	ENSG00000285945	0	0	0	0	0	0	0	0	0
ENSG00000283259	ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000272088	ENSG00000272088	2	3	2	0	4	1	1	0	3
ENSG00000130762	ENSG00000130762|ARHGEF16	95	73	104	43	46	40	72	59	64
ENSG00000238260	ENSG00000238260	7	4	0	4	10	4	5	4	10
ENSG00000162591	ENSG00000162591|MEGF6	72	46	118	55	55	69	110	79	110
ENSG00000207776	ENSG00000207776|MIR551A	0	0	0	1	0	0	0	0	1
ENSG00000177133	ENSG00000177133|PRDM16-DT	15	11	10	6	11	3	13	15	12
ENSG00000142611	ENSG00000142611|PRDM16	86	69	54	112	79	94	127	91	127
ENSG00000286518	ENSG00000286518	0	12	2	6	6	6	4	7	0
ENSG00000283572	ENSG00000283572|MIR4251	1	1	0	0	0	0	0	0	1
ENSG00000226286	ENSG00000226286	4	0	0	0	0	0	3	7	0
ENSG00000279839	ENSG00000279839	6	10	6	8	5	10	8	9	12
ENSG00000272235	ENSG00000272235	16	15	4	8	13	11	22	24	18
ENSG00000287828	ENSG00000287828	1	5	3	0	5	2	3	2	4
ENSG00000067606	ENSG00000067606|PRKCZ	315	269	323	228	205	215	363	238	257
ENSG00000182873	ENSG00000182873|PRKCZ-AS1	21	17	33	45	19	20	31	27	34
ENSG00000162585	ENSG00000162585|FAAP20	183	208	203	160	113	148	246	196	209
ENSG00000234396	ENSG00000234396	0	0	3	0	0	0	0	0	0
ENSG00000157933	ENSG00000157933|SKI	800	1159	696	346	368	333	637	469	554
ENSG00000287356	ENSG00000287356	17	11	26	32	35	32	45	57	44
ENSG00000116151	ENSG00000116151|MORN1	156	191	292	198	199	178	285	319	346
ENSG00000272161	ENSG00000272161	0	1	2	2	1	0	1	1	2
ENSG00000157916	ENSG00000157916|RER1	1125	784	1242	466	477	513	929	724	773
ENSG00000157911	ENSG00000157911|PEX10	263	167	272	155	135	150	280	182	260
ENSG00000271806	ENSG00000271806	41	35	28	29	15	28	27	26	36
ENSG00000269896	ENSG00000269896	13	23	28	22	24	23	30	50	58
ENSG00000272420	ENSG00000272420	4	8	11	9	10	25	14	5	13
ENSG00000235169	ENSG00000235169|SMIM1	5	1	6	3	5	3	0	5	6
ENSG00000158109	ENSG00000158109|TPRG1L	160	145	145	52	90	105	98	139	102
ENSG00000116213	ENSG00000116213|WRAP73	563	409	622	358	307	302	600	406	428
ENSG00000078900	ENSG00000078900|TP73	199	204	253	148	134	155	223	167	202
ENSG00000227589	ENSG00000227589|TP73-AS3	0	11	9	9	5	0	13	14	7
ENSG00000235131	ENSG00000235131|TP73-AS2	0	3	5	5	4	3	0	6	4
ENSG00000227372	ENSG00000227372|TP73-AS1	795	641	934	576	514	432	918	654	750
ENSG00000162592	ENSG00000162592|CCDC27	0	0	0	15	10	19	8	11	8
ENSG00000276189	ENSG00000276189	1	1	1	1	1	1	1	1	1
ENSG00000284703	ENSG00000284703	1	3	0	3	5	10	15	8	17
ENSG00000198912	ENSG00000198912|C1orf174	354	301	369	249	244	227	417	297	328
ENSG00000236423	ENSG00000236423|LINC01134	26	31	31	11	10	11	16	11	11
ENSG00000284668	ENSG00000284668|LINC02780	0	0	0	0	0	0	0	0	0
ENSG00000235054	ENSG00000235054|LINC01777	0	0	0	0	0	0	0	0	0
ENSG00000116198	ENSG00000116198|CEP104	917	726	857	516	460	466	806	558	587
ENSG00000169598	ENSG00000169598|DFFB	273	174	225	114	120	109	229	172	220
ENSG00000130764	ENSG00000130764|LRRC47	728	688	782	464	454	399	722	601	674
ENSG00000266075	ENSG00000266075|RN7SL574P	5	1	2	3	3	0	4	2	1
ENSG00000272153	ENSG00000272153	24	18	36	32	22	19	38	31	34
ENSG00000158292	ENSG00000158292|GPR153	46	31	79	50	32	36	77	35	57
ENSG00000204859	ENSG00000204859|ZBTB48	308	286	437	405	312	336	531	425	461
ENSG00000162413	ENSG00000162413|KLHL21	678	653	690	239	211	263	418	298	425
ENSG00000116273	ENSG00000116273|PHF13	450	415	359	397	333	418	492	446	460
ENSG00000131697	ENSG00000131697|NPHP4	327	331	403	263	230	253	392	305	348
ENSG00000069424	ENSG00000069424|KCNAB2	79	50	83	44	62	43	119	57	64
ENSG00000116254	ENSG00000116254|CHD5	65	72	97	117	96	98	154	110	116
ENSG00000285629	ENSG00000285629	0	0	0	0	0	0	0	5	0
ENSG00000116251	ENSG00000116251|RPL22	4829	3233	4672	2106	1958	2073	4412	2873	3120
ENSG00000226944	ENSG00000226944|RNF207-AS1	0	0	0	0	0	0	0	6	3
ENSG00000158286	ENSG00000158286|RNF207	187	110	226	121	113	154	173	172	231
ENSG00000116237	ENSG00000116237|ICMT	2351	1688	2554	1257	1356	1527	2205	2002	2091
ENSG00000225077	ENSG00000225077|ICMT-DT	14	19	33	17	38	6	31	23	26
ENSG00000097021	ENSG00000097021|ACOT7	324	340	356	105	115	85	208	136	153
ENSG00000271746	ENSG00000271746	0	3	3	4	0	2	4	8	6
ENSG00000069812	ENSG00000069812|HES2	0	6	0	2	0	7	9	6	18
ENSG00000187017	ENSG00000187017|ESPN	0	4	0	0	0	0	0	0	0
ENSG00000265392	ENSG00000265392|MIR4252	0	0	0	0	0	0	0	0	0
ENSG00000231868	ENSG00000231868	0	1	0	1	0	1	2	0	1
ENSG00000215788	ENSG00000215788|TNFRSF25	59	41	53	27	42	14	76	59	74
ENSG00000171680	ENSG00000171680|PLEKHG5	86	72	131	111	83	83	168	97	143
ENSG00000162408	ENSG00000162408|NOL9	2323	1700	2213	1203	1123	1299	1829	1540	1677
ENSG00000173662	ENSG00000173662|TAS1R1	0	0	0	7	8	5	18	10	9
ENSG00000253022	ENSG00000253022|RNU6-731P	2	5	2	2	5	1	4	4	4
ENSG00000229519	ENSG00000229519	37	20	21	15	15	21	30	28	22
ENSG00000237436	ENSG00000237436|CAMTA1-DT	0	0	8	12	13	11	14	21	27
ENSG00000041988	ENSG00000041988|THAP3	226	206	269	247	133	136	399	240	257
ENSG00000007923	ENSG00000007923|DNAJC11	1690	1369	1725	1060	920	927	1842	1268	1461
ENSG00000228750	ENSG00000228750|LINC01672	0	0	0	0	3	9	6	10	6
ENSG00000049249	ENSG00000049249|TNFRSF9	39	30	37	28	45	45	72	122	101
ENSG00000270330	ENSG00000270330	0	0	0	0	0	0	0	0	0
ENSG00000049246	ENSG00000049246|PER3	115	94	126	109	84	102	133	128	162
ENSG00000236266	ENSG00000236266	0	4	0	2	4	0	4	6	0
ENSG00000049247	ENSG00000049247|UTS2	0	0	0	0	12	0	0	5	0
ENSG00000049245	ENSG00000049245|VAMP3	1198	769	1414	447	538	585	830	750	778
ENSG00000269925	ENSG00000269925	14	4	6	14	17	10	8	14	20
ENSG00000251977	ENSG00000251977|RNU6-991P	0	0	0	0	0	1	1	0	0
ENSG00000162426	ENSG00000162426|SLC45A1	2	0	4	2	5	3	11	4	2
ENSG00000252254	ENSG00000252254|Y_RNA	0	0	0	0	0	1	0	1	0
ENSG00000238290	ENSG00000238290|ERRFI1-DT	0	0	0	6	0	0	4	11	3
ENSG00000232848	ENSG00000232848|RPL7AP18	0	1	0	3	6	3	4	5	4
ENSG00000229305	ENSG00000229305	0	0	0	0	0	0	0	0	0
ENSG00000288816	ENSG00000288816	0	0	0	0	0	0	4	2	5
ENSG00000227634	ENSG00000227634|LINC01714	0	0	0	0	0	9	0	0	0
ENSG00000200975	ENSG00000200975|RNU1-7P	0	1	0	1	0	0	0	0	0
ENSG00000233645	ENSG00000233645	0	0	0	0	0	0	0	0	0
ENSG00000116288	ENSG00000116288|PARK7	1280	892	1440	383	355	416	778	551	534
ENSG00000284716	ENSG00000284716	0	7	4	8	5	7	9	9	17
ENSG00000116285	ENSG00000116285|ERRFI1	695	526	563	380	280	373	600	454	516
ENSG00000200344	ENSG00000200344|Y_RNA	5	3	2	2	3	7	6	5	3
ENSG00000284747	ENSG00000284747	67	74	70	100	100	105	131	136	132
ENSG00000171735	ENSG00000171735|CAMTA1	969	556	655	882	812	826	1215	774	973
ENSG00000225126	ENSG00000225126|CAMTA1-AS1	0	3	2	2	4	1	4	1	4
ENSG00000270035	ENSG00000270035	0	0	5	2	3	10	13	4	8
ENSG00000227950	ENSG00000227950	16	10	12	7	7	10	20	6	18
ENSG00000237365	ENSG00000237365|CAMTA1-AS3	1	3	5	1	1	0	2	1	2
ENSG00000207056	ENSG00000207056|RNU1-8P	1	0	0	1	2	0	3	2	1
ENSG00000237402	ENSG00000237402|CAMTA1-IT1	5	2	3	2	3	2	10	6	5
ENSG00000237728	ENSG00000237728|CAMTA1-AS2	7	6	6	3	5	1	3	7	4
ENSG00000270171	ENSG00000270171	5	6	5	6	12	15	23	22	30
ENSG00000269978	ENSG00000269978	4	2	3	6	10	18	18	6	11
ENSG00000238249	ENSG00000238249|HMGN2P17	6	4	3	2	5	2	6	2	4
ENSG00000197241	ENSG00000197241|SLC2A7	0	0	0	0	0	0	0	0	0
ENSG00000232663	ENSG00000232663	0	0	0	0	0	0	0	0	0
ENSG00000131686	ENSG00000131686|CA6	0	0	0	0	0	0	0	1	0
ENSG00000290109	ENSG00000290109	0	0	0	1	0	0	0	1	1
ENSG00000232208	ENSG00000232208	2	2	3	1	1	1	3	2	3
ENSG00000265141	ENSG00000265141|RN7SL451P	3	3	2	3	3	3	4	3	4
ENSG00000049239	ENSG00000049239|H6PD	246	329	641	284	155	209	357	327	389
ENSG00000142583	ENSG00000142583|SLC2A5	0	0	0	12	3	8	5	5	7
ENSG00000252404	ENSG00000252404	0	0	0	1	0	1	2	0	0
ENSG00000180758	ENSG00000180758|GPR157	259	178	324	179	146	166	355	232	199
ENSG00000284357	ENSG00000284357|MIR34A	0	0	1	1	1	0	1	1	1
ENSG00000234546	ENSG00000234546|LNCTAM34A	6	0	10	0	11	22	22	30	25
ENSG00000228526	ENSG00000228526|MIR34AHG	94	43	4	116	152	150	23	175	190
ENSG00000289914	ENSG00000289914	4	4	5	7	12	13	11	14	16
ENSG00000171621	ENSG00000171621|SPSB1	60	44	48	27	34	42	87	45	69
ENSG00000284652	ENSG00000284652	0	0	0	0	0	0	1	2	9
ENSG00000284693	ENSG00000284693|LINC02606	5	14	12	13	7	12	19	24	16
ENSG00000252956	ENSG00000252956|RNA5SP40	0	0	0	1	2	0	0	0	2
ENSG00000235263	ENSG00000235263	0	0	0	0	0	0	0	0	0
ENSG00000171612	ENSG00000171612|SLC25A33	420	215	374	227	245	298	418	302	397
ENSG00000231181	ENSG00000231181	20	13	16	16	6	21	16	16	29
ENSG00000188807	ENSG00000188807|TMEM201	422	462	358	255	234	243	399	330	372
ENSG00000162441	ENSG00000162441|LZIC	819	587	882	388	460	456	754	650	628
ENSG00000173614	ENSG00000173614|NMNAT1	205	140	250	203	181	191	255	204	248
ENSG00000283611	ENSG00000283611|TMEM274P	0	0	11	10	0	0	17	20	20
ENSG00000265521	ENSG00000265521|MIR5697	0	2	1	2	0	2	1	1	4
ENSG00000241326	ENSG00000241326	0	0	0	0	0	0	0	0	0
ENSG00000228150	ENSG00000228150	8	7	8	7	11	10	19	20	13
ENSG00000202415	ENSG00000202415|RN7SKP269	8	8	8	8	5	5	11	9	8
ENSG00000171608	ENSG00000171608|PIK3CD	95	83	136	106	96	110	167	99	128
ENSG00000179840	ENSG00000179840|PIK3CD-AS1	0	0	0	3	2	0	5	0	0
ENSG00000233268	ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000171603	ENSG00000171603|CLSTN1	1142	1138	1148	628	624	667	1232	812	988
ENSG00000280113	ENSG00000280113	1	1	2	6	6	4	15	7	12
ENSG00000223989	ENSG00000223989	0	0	0	0	0	0	0	0	0
ENSG00000178585	ENSG00000178585|CTNNBIP1	155	81	181	91	86	79	146	100	84
ENSG00000285701	ENSG00000285701	0	3	15	9	9	12	9	11	12
ENSG00000231789	ENSG00000231789|PIK3CD-AS2	39	24	42	48	36	39	86	37	56
ENSG00000271264	ENSG00000271264|MZT1P1	5	7	9	0	0	0	0	0	0
