Ensembl	Mock1_Qun	Mock2_Qun	Mock3_Qun	NT1_Qun	NT2_Qun	NT3_Qun	T1_Qun	T2_Qun	T3_Qun
ENSSASG00005000002	54	59	62	5931577	5694731	6934586	3614753	4684463	5228844
ENSSASG00005000003	0	0	0	0	0	0	0	0	0
ENSSASG00005000004	30	60	46	4190804	3953663	4921834	2160173	2773657	3021329
ENSSASG00005000006	6	10	7	1024577	916795	1164690	476368	589453	639800
ENSSASG00005000010	2	2	5	368760	339897	420948	173473	214964	227091
ENSSASG00005000007	11	12	12	1406400	1228129	1542042	568766	714572	787735
ENSSASG00005000011	4	3	5	526964	502264	535910	194643	249875	247084
ENSSASG00005000009	8	11	8	1088460	974942	1237086	395161	477069	494401
ENSSASG00005000012	0	2	0	220050	193903	209823	79110	95352	97057
ENSSASG00005000008	10	4	10	1092004	1018139	1299191	473006	541707	569131
ENSSASG00005000005	43	38	39	5921961	5282154	6839075	2231743	2623044	2895152
ENSSASG00005000013	9	13	7	1226926	1210427	1432069	363814	462960	454410
ENSG00000279928	2	0	2	3	3	1	0	2	2
ENSG00000228037	0	3	6	8	8	4	7	9	9
ENSG00000142611	52	39	31	68	49	59	81	71	76
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000157911	123	76	120	82	69	79	132	87	130
ENSG00000269896	7	12	17	12	14	13	17	30	32
ENSG00000228463	3	2	4	1	4	6	6	3	8
ENSG00000260972	0	0	0	0	0	0	0	1	0
ENSG00000224340	1	2	7	3	4	7	6	7	4
ENSG00000226374	0	0	0	0	0	2	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0
ENSG00000142655	130	120	136	84	68	68	127	105	109
ENSG00000232596	0	0	2	0	0	0	0	0	0
ENSG00000235054	1	0	0	0	0	1	1	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0
ENSG00000149527	18	18	18	28	46	37	23	83	56
ENSG00000284739	0	0	0	0	0	0	0	0	0
ENSG00000171621	34	26	29	16	20	27	49	27	41
ENSG00000272235	9	8	2	4	7	6	16	13	10
