Ensembl	Mock_1_TPM	Mock_2_TPM	Mock_3_TPM	NT_1_TPM	NT_2_TPM	NT_3_TPM	T_1_TPM	T_2_TPM	T_3_TPM	Gene	Mock_1_FPKM	Mock_2_FPKM	Mock_3_FPKM	NT_1_FPKM	NT_2_FPKM	NT_3_FPKM	T_1_FPKM	T_2_FPKM	T_3_FPKM	Mock_1_ExpectedCount	Mock_2_ExpectedCount	Mock_3_ExpectedCount	NT_1_ExpectedCount	NT_2_ExpectedCount	NT_3_ExpectedCount	T_1_ExpectedCount	T_2_ExpectedCount	T_3_ExpectedCount
ENSSASG00005000002	49957.5	39939.22	41981.94	22351.58	23809.97	23608.98	36785.96	37683.35	39241.38	NA	29578.81	25521.5	26944.9	23791.04	24099.94	23575.01	28185.7	28032.83	28552.95	125	135.87	146.2	15056313.74	14507714.16	11069400.57	9252145.23	11955554.09	13331269.82
ENSSASG00005000003	0.01	5774.2	12005.95	7436.36	8593.32	9645.4	7340.83	9869.74	9292.89	NA	0.01	3689.76	7705.67	7915.27	8697.97	9631.52	5624.6	7342.15	6761.72	0	12.13	25.8	3091123.26	3231416.37	2789294.41	1139428.78	1932248.91	1947691.21
ENSSASG00005000004	62264.02	90002.41	66591.15	32925.5	34444.11	35032.92	45650.28	46451.2	47211.16	NA	36865.25	57512.3	42739.61	35045.93	34863.59	34982.51	34977.62	34555.28	34351.94	27	53	40	3831390	3627471	2827472	1984043.67	2545003	2764555
ENSSASG00005000005	191930.14	130449.14	134768.2	134600.86	131186.64	136979.42	135917.06	125758.28	130016.81	NA	113637.91	83358.1	86497.08	143269.28	132784.29	136782.32	104140.74	93552.21	94603.26	25	23	24	4664293.02	4120690.84	3259340	1760315	2049698	2252577.78
ENSSASG00005000006	63211.08	56206.66	65527.12	39088.24	38749.52	40504.52	48634	47599.18	48549.25	NA	37425.99	35916.53	42056.69	41605.56	39221.43	40446.24	37263.76	35409.27	35325.57	5	6	7	815952	734281	575065	379676	466882	503595
ENSSASG00005000007	116140.31	123236	62035.31	69445.65	66162.14	68442.23	75990.91	75971.15	80333.91	NA	68764.31	78748.84	39815.57	73918.01	66967.89	68343.75	58224.85	56515.32	58452.82	7	10	5	1097501	950289	729969	449363.12	563704	627741
ENSSASG00005000008	204559.04	123283.08	63763.72	96294.06	100822.69	112246.47	116268.87	105361.7	104658.9	NA	121115.23	78778.93	40924.9	102495.48	102050.56	112084.96	89086.15	78379.09	76152.26	5	4	2	594425	569610	447847	269391	303822	310897
ENSSASG00005000009	204559.04	184924.62	127527.43	79305.93	77590.87	85607.65	75945.45	72548.59	72189.75	NA	121115.23	118168.39	81849.81	84413.31	78535.81	85484.47	58190.01	53969.25	52526.95	5	6	4	489557	438359	341562	175963	209201.8	214445
ENSSASG00005000010	107378.87	86416.95	89755.54	51692.87	52857.25	56704.21	68170.82	68006.75	68208.19	NA	63576.83	55221.16	57607.01	55021.94	53500.97	56622.62	52233.03	50590.56	49629.87	1	1	1	109135	102869	73452	54547	66685	67518
ENSSASG00005000011	0	159767.7	336043.65	156470.01	176182.31	171023.44	153549.68	169986.5	160530.85	NA	0	102092.9	215679.93	166546.83	178327.93	170777.36	117651	126453.8	116805.99	0	1	2	173621	180538	113701	65211.2	87411	82887
ENSSASG00005000012	0	0	0	69440.81	67186.52	62416.09	54690.72	64745.31	58750.7	NA	0	0	0	73912.86	68004.75	62326.28	41904.47	48164.35	42748.38	0	0	0	16022	14362	8261	4964	6847	6263
ENSSASG00005000013	0	0	0	240948.14	222414.65	197788.68	181055.42	176018.25	181016.2	NA	0	0	0	256465.42	225123.32	197504.08	138726.12	130940.85	131711.6	0	0	0	25027	21455	11567	7500	8309	8677
