gene_id	CK0816_S1.htseq.count	CK0817_S2.htseq.count	CK0818_S3.htseq.count	CK0819_S4.htseq.count	CK0820_S5.htseq.count	CK0821_S6.htseq.count	CK0822_S7.htseq.count	CK0823_S8.htseq.count	CK0824_S9.htseq.count
ENSG00000000003	2133	1062	2670	779	701	694	1333	1067	1097
ENSG00000000005	24	6	8	19	14	16	12	22	8
ENSG00000000419	1963	1298	1999	1195	1212	1219	2274	1770	1688
ENSG00000000457	798	618	791	820	740	751	1190	971	964
ENSG00000000460	1783	1174	2038	1418	1358	1246	2062	1733	1799
ENSG00000000938	0	1	0	2	3	1	6	3	2
ENSG00000000971	1	6	2	5	5	3	5	5	11
ENSG00000001036	1660	1369	1892	576	510	426	1120	818	807
ENSG00000001084	1284	935	1151	517	492	538	877	615	680
ENSG00000001167	2121	1428	1533	836	868	858	1621	1239	1240
ENSG00000001460	139	149	231	180	123	149	330	195	168
ENSG00000001461	931	820	750	422	298	366	627	432	460
ENSG00000001497	2112	1591	1965	1277	925	979	2321	1477	1537
ENSG00000001561	915	578	1061	733	580	661	1108	810	803
ENSG00000001617	53	64	85	100	80	58	194	116	101
ENSG00000001626	7	5	2	12	7	8	25	29	21
ENSG00000001629	2027	1393	1992	1592	1490	1504	2362	1648	1685
ENSG00000001630	133	124	126	68	53	78	161	104	104
ENSG00000001631	1906	1378	1615	1551	1665	1604	2415	2045	2061
ENSG00000002016	744	458	806	1040	861	963	1657	963	1036
ENSG00000002079	7	15	10	84	93	86	93	106	92
ENSG00000002330	210	183	260	105	76	91	189	146	138
ENSG00000002549	1407	701	1443	498	522	555	983	766	776
ENSG00000002586	0	0	0	0	2	1	0	0	1
ENSG00000002587	16	7	11	11	22	25	18	13	27
ENSG00000002726	1	1	6	2	1	1	2	2	2
ENSG00000002745	34	15	20	25	37	16	39	33	54
ENSG00000002746	28	24	18	57	52	59	71	87	56
ENSG00000002822	102	111	99	59	52	52	121	118	101
ENSG00000002834	614	620	698	306	227	337	598	452	485
ENSG00000002919	504	326	529	363	280	290	698	433	413
ENSG00000002933	0	0	0	2	1	0	2	0	2
ENSG00000003056	1256	844	1176	574	540	661	1169	818	890
ENSG00000003096	721	465	825	475	367	400	846	592	577
ENSG00000003137	71	109	96	113	127	139	156	130	147
ENSG00000003147	132	99	192	96	107	92	264	93	132
ENSG00000003249	314	211	282	161	164	155	381	236	279
ENSG00000003393	3017	2028	2910	2658	2427	2328	3975	2935	3162
ENSG00000003400	388	314	445	685	656	680	1113	758	826
ENSG00000003402	686	597	847	527	606	585	1058	833	870
ENSG00000003436	547	372	436	313	231	197	571	390	398
ENSG00000003509	988	604	1005	668	653	602	1280	775	788
ENSG00000003756	6494	4458	5800	4014	3672	3746	6797	4960	5351
ENSG00000003987	243	158	252	224	220	216	352	289	275
ENSG00000003989	1458	917	1291	982	753	847	1730	1111	1315
ENSG00000004059	711	608	1082	329	287	364	696	413	559
ENSG00000004139	369	343	342	324	324	336	560	525	556
ENSG00000004142	1518	1283	1636	792	687	712	1541	1044	1087
ENSG00000004399	185	241	168	194	196	180	368	261	246
ENSG00000004455	9524	6272	8711	5363	4557	4573	10538	6559	6706
ENSG00000004468	5	7	11	71	47	58	96	62	106
ENSG00000004478	3644	2629	2879	1447	1187	1375	3018	1972	2252
ENSG00000004487	4229	2618	3665	2377	2130	2044	4270	2889	2970
ENSG00000004534	4225	2624	3944	3177	2922	2820	5453	3447	3888
ENSG00000004660	362	283	432	185	191	243	435	258	320
ENSG00000004700	1307	837	1645	650	664	641	1076	682	755
ENSG00000004766	1597	986	1566	898	943	1038	1371	1082	1166
ENSG00000004776	7	14	3	7	4	9	6	16	28
ENSG00000004777	97	103	111	84	78	69	193	135	139
