Geneid	mock1	mock2	cov1	cov2
DDX11L1	0	1	0	0
WASH7P	4	4	2	3
MIR6859-3	0	0	0	0
MIR6859-2	0	0	0	0
MIR6859-1	0	0	0	0
MIR6859-4	0	0	0	0
MIR1302-2	0	0	0	0
MIR1302-11	0	0	0	0
MIR1302-9	0	0	0	0
MIR1302-10	0	0	0	0
FAM138A	0	0	0	0
FAM138C	0	0	0	0
FAM138F	0	0	0	0
OR4F5	0	0	0	0
LOC729737	2	1	1	0
FAM138D	0	0	0	0
OR4F29	0	0	0	0
OR4F3	0	0	0	0
OR4F16	0	0	0	0
LOC100132287	0	0	0	0
LOC100132062	0	0	0	0
LOC101928626	0	0	0	0
MIR6723	86	40	26	29
LOC100133331	18	18	10	7
LOC100288069	6	5	4	6
FAM87B	18	20	9	13
LINC00115	17	24	17	11
LINC01128	201	182	136	155
FAM41C	2	0	0	4
LOC100130417	101	87	71	62
SAMD11	218	199	138	135
NOC2L	944	939	748	818
KLHL17	256	227	136	143
PLEKHN1	6	7	9	5
PERM1	3	1	6	2
HES4	800	825	239	285
ISG15	33	38	12	28
AGRN	488	464	302	350
RNF223	1	2	1	1
C1orf159	84	83	63	49
LINC01342	0	0	0	1
MIR200B	0	1	2	3
MIR200A	0	0	0	0
MIR429	1	0	0	0
TTLL10	0	0	0	1
TNFRSF18	0	0	0	2
TNFRSF4	0	1	0	0
SDF4	802	743	507	566
B3GALT6	497	432	310	360
FAM132A	18	10	8	4
UBE2J2	495	506	392	382
SCNN1D	100	124	42	25
ACAP3	291	266	122	113
MIR6726	0	0	0	0
PUSL1	353	320	193	193
CPSF3L	604	606	317	351
MIR6727	1	0	0	0
CPTP	184	156	121	106
TAS1R3	12	22	10	2
DVL1	1061	1003	507	562
MIR6808	0	0	1	0
MXRA8	78	95	37	26
AURKAIP1	786	786	479	486
CCNL2	2013	1907	1057	1270
LOC148413	338	292	200	214
MRPL20	568	577	447	487
ANKRD65	5	7	0	2
TMEM88B	1	0	0	0
LOC102724312	11	13	6	4
VWA1	100	113	72	93
ATAD3C	14	10	12	7
ATAD3B	216	205	268	293
ATAD3A	353	338	278	314
TMEM240	5	2	2	2
