Ensembl	Gene
ENSG00000002016	RAD52
ENSG00000003400	CASP10
ENSG00000005243	COPZ2
ENSG00000006534	ALDH3B1
ENSG00000006837	CDKL3
ENSG00000009413	REV3L
ENSG00000010379	SLC6A13
ENSG00000010626	LRRC23
ENSG00000010818	HIVEP2
ENSG00000011422	PLAUR
ENSG00000012171	SEMA3B
ENSG00000014914	MTMR11
ENSG00000021645	NRXN3
ENSG00000023839	ABCC2
ENSG00000023892	DEF6
ENSG00000026950	BTN3A1
ENSG00000030419	IKZF2
ENSG00000031081	ARHGAP31
ENSG00000035720	STAP1
ENSG00000038427	VCAN
ENSG00000042317	SPATA7
ENSG00000047662	FAM184B
ENSG00000048462	TNFRSF17
ENSG00000049192	ADAMTS6
ENSG00000049769	PPP1R3F
ENSG00000050628	PTGER3
ENSG00000056487	PHF21B
ENSG00000057468	MSH4
ENSG00000057704	TMCC3
ENSG00000060140	STYK1
ENSG00000061455	PRDM6
ENSG00000066382	MPPED2
ENSG00000068079	IFI35
ENSG00000068137	PLEKHH3
ENSG00000069493	CLEC2D
ENSG00000070190	DAPP1
ENSG00000070526	ST6GALNAC1
ENSG00000071282	LMCD1
ENSG00000073849	ST6GAL1
ENSG00000075213	SEMA3A
ENSG00000075290	WNT8B
ENSG00000077616	NAALAD2
ENSG00000077935	SMC1B
ENSG00000077943	ITGA8
ENSG00000079385	CEACAM1
ENSG00000080224	EPHA6
ENSG00000080493	SLC4A4
ENSG00000080618	CPB2
ENSG00000081052	COL4A4
ENSG00000081148	IMPG2
ENSG00000081479	LRP2
ENSG00000083067	TRPM3
ENSG00000083290	ULK2
ENSG00000086730	LAT2
ENSG00000087589	CASS4
ENSG00000089775	ZBTB25
ENSG00000089820	ARHGAP4
ENSG00000089847	ANKRD24
ENSG00000091106	NLRC4
ENSG00000091137	SLC26A4
ENSG00000091138	SLC26A3
ENSG00000091844	RGS17
ENSG00000092607	TBX15
ENSG00000092969	TGFB2
ENSG00000095303	PTGS1
ENSG00000095587	TLL2
ENSG00000095951	HIVEP1
ENSG00000096654	ZNF184
ENSG00000100027	YPEL1
ENSG00000100100	PIK3IP1
ENSG00000100302	RASD2
ENSG00000100314	CABP7
ENSG00000100557	CCDC198
ENSG00000100814	CCNB1IP1
ENSG00000100906	NFKBIA
ENSG00000101049	SGK2
ENSG00000101236	RNF24
ENSG00000101265	RASSF2
ENSG00000101958	GLRA2
ENSG00000101977	MCF2
ENSG00000102387	TAF7L
ENSG00000103599	IQCH
ENSG00000103832	GOLGA8UP
ENSG00000104381	GDAP1
ENSG00000104808	DHDH
ENSG00000104856	RELB
ENSG00000104883	PEX11G
ENSG00000105261	OVOL3
ENSG00000105270	CLIP3
ENSG00000105613	MAST1
ENSG00000105641	SLC5A5
ENSG00000105708	ZNF14
ENSG00000105808	RASA4
ENSG00000105991	HOXA1
ENSG00000106258	CYP3A5
