Mock_mean_up	NT_mean_up	T_mean_up	Check_Mock_NT_up	Check_Mock_T_up	Checkreverse
ENSG00000002016	-1.11195193107453	0.825553741391885	0.286398189682642	1	1	1
ENSG00000003400	-1.13670207080804	0.744224005656814	0.392478065151222	1	1	1
ENSG00000005243	-1.13353440469016	0.757357902637092	0.376176502053064	1	1	1
ENSG00000005961	-1.14774977247705	0.464317390674975	0.683432381802077	1	1	0
ENSG00000006534	-1.06063244234532	0.925656728436275	0.134975713909044	1	1	1
ENSG00000006837	-1.13628571787996	0.746022243654768	0.390263474225197	1	1	1
ENSG00000007264	-1.1209759579315	0.320572001372205	0.800403956559295	1	1	0
ENSG00000007933	-1.13490856988236	0.38309891207212	0.751809657810236	1	1	0
ENSG00000008300	-1.14781317151665	0.464848378961814	0.682964792554834	1	1	0
ENSG00000009413	-1.04105799967311	0.953135843272336	0.0879221564007722	1	1	1
ENSG00000010030	-0.97527034750442	-0.0477486249930971	1.02301897249752	1	1	0
ENSG00000010379	-1.1252171227588	0.787141008896014	0.338076113862789	1	1	1
ENSG00000010626	-1.14507499945029	0.70138793327286	0.443687066177432	1	1	1
ENSG00000010818	-1.10900118651817	0.833045520023104	0.275955666495063	1	1	1
ENSG00000011422	-1.11649859215052	0.813343730147091	0.303154862003431	1	1	1
ENSG00000012171	-1.14874905389129	0.675773286247214	0.472975767644077	1	1	1
ENSG00000013364	-1.11708102269707	0.305365687269297	0.811715335427772	1	1	0
ENSG00000014914	-1.04147363127014	0.952592701929034	0.0888809293411025	1	1	1
ENSG00000015520	-1.15457220553788	0.562377492855701	0.59219471268218	1	1	0
ENSG00000019582	-1.15366761612701	0.534545823660558	0.619121792466453	1	1	0
ENSG00000020181	-0.994767425275756	-0.0103842729694096	1.00515169824517	1	1	0
ENSG00000021645	-1.15439238060126	0.600297569205883	0.554094811395372	1	1	1
ENSG00000023839	-1.09634449158434	0.862053699257499	0.234290792326839	1	1	1
ENSG00000023892	-1.11531438494361	0.81660770329075	0.298706681652859	1	1	1
ENSG00000026950	-1.1368682370773	0.743499702373853	0.39336853470345	1	1	1
ENSG00000030419	-1.00755958627421	0.992264961878396	0.0152946243958135	1	1	1
ENSG00000031081	-1.14109155959569	0.723622686823691	0.417468872772003	1	1	1
ENSG00000035720	-0.952533947612694	1.04151851868175	-0.0889845710690585	1	1	1
ENSG00000038427	-1.15209158623529	0.643230111930874	0.508861474304411	1	1	1
ENSG00000039068	-1.11644873397033	0.302966324385053	0.813482409585275	1	1	0
ENSG00000042317	-1.10753653480667	0.836650076736014	0.270886458070653	1	1	1
ENSG00000047662	-1.09341360793984	0.868164439559722	0.225249168380119	1	1	1
ENSG00000048462	-1.11580691539147	0.815257679874861	0.300549235516614	1	1	1
ENSG00000049192	-1.11365899550931	0.82106941012766	0.292589585381651	1	1	1
ENSG00000049769	-1.12966305505665	0.77194511117281	0.357717943883837	1	1	1
ENSG00000049883	-1.15306248811911	0.523284893297949	0.62977759482116	1	1	0
ENSG00000050628	-0.908462981368202	1.07150068529266	-0.163037703924457	1	1	1
ENSG00000056487	-1.14969055726537	0.667897505371937	0.481793051893432	1	1	1
ENSG00000056558	-1.13121060813398	0.364926655392399	0.766283952741583	1	1	0
ENSG00000057468	-1.15364546477199	0.619561546223835	0.534083918548155	1	1	1
ENSG00000057704	-1.15468622017104	0.582323040842328	0.572363179328709	1	1	1
