ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	cytoplasmic translation	109/3876	141/11271	1.17006242515049e-25	6.06209342470467e-22	5.18152907642957e-22	RPS20/RPL26L1/YBX3/RPL18/ZC3H15/PKM/FTSJ1/EIF2B3/RPL31/RPS5/EIF3I/RPL6/RPLP0/AARS1/EIF3L/RPL3/EIF5/GSPT1/EIF3J/EIF3E/RPS16/RPS19/RPL18A/EIF3B/EIF4H/EIF3A/RPL28/RPL19/DRG2/RPL34/RPS13/RPS12/RPL24/EIF4G1/RPS15/RPL22/RPS25/ETF1/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF2S3/EIF3G/RPL27/DPH2/RPS15A/RPL35/RPS6/RPLP1/RPS24/DENR/RPS11/RPL13A/RPS8/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/EIF3H/RPL7A/EIF3M/RPS3/DPH3/RPL30/RPL8/RPL26/RPL29/RPL22L1/RPL9/RPS14/METTL3/RPL27A/RPL13/EEF2/CNBP/RPS9/RPS21/RPS7/RPL4/RPL15/EIF3F/RPLP2/RPS27/EIF3K/RPS17/RPL35A/DRG1/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/MTOR/RPL39/RPLP0P6/RPS29/UBA52/RPL41/RPS18/TMA7/RPS28	109
GO:0009060	aerobic respiration	119/3876	169/11271	7.41280031877391e-22	1.92028592257838e-18	1.64135004953062e-18	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	119
GO:0006119	oxidative phosphorylation	93/3876	125/11271	4.91826971847488e-20	8.49385180380612e-17	7.26005638793818e-17	NDUFAB1/UQCRC1/BID/NDUFB4/RHOA/SDHA/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/UQCC2/NDUFB10/SDHC/SNCA/NDUFS6/NIPSNAP2/NDUFB9/NDUFC2/ATP5F1A/ATP5PF/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/ATP5MG/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	93
GO:0006091	generation of precursor metabolites and energy	214/3876	381/11271	7.7305601837748e-19	1.00130080780343e-15	8.55854386661594e-16	NDUFAB1/CIAPIN1/CYB561/UQCRC1/MDH1/BID/GLRX2/H6PD/CYBA/AKR7A2/CS/SPHK2/PDIA5/NDUFB4/MTFR1/FECH/PFKP/PHKA1/PKM/RHOA/IDH3G/P4HA2/ACADVL/SDHA/ENO1/ACAT1/AACS/ME2/OXCT1/AKR1B1/NDUFB2/DLD/FH/PHGDH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/DHRS2/PYGB/IDH3B/SLC25A14/PGK1/ANTKMT/GSR/GYS1/GPI/NOP53/GSK3A/OGDH/CHCHD2/PPIF/GIT1/NDUFC1/NDUFS8/ATP5F1B/PTGES3/ALDH2/GAPDH/TPI1/COX6A1/PPARD/COX7A2/GNPDA1/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/AKR1A1/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NQO2/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/POR/NDUFA5/PGLS/ATP5IF1/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/FDX1/KHK/IDH1/COX17/ETFA/NDUFB10/NCOR1/TP53/PFKL/IFNAR1/APP/AKT1/PGD/SDHC/DEGS1/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/QDPR/SLC25A4/ATP5F1A/RPIA/ATP5PF/OXA1L/UQCRB/HK1/PHKG2/PRXL2C/PINK1/NDUFS2/ALDH4A1/G6PD/JMJD8/AGL/GYG1/TKT/UQCRQ/FOXK1/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/ENOX2/GHITM/NDUFB8/COX11/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/TALDO1/GBA/PLEC/GLDC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/NDUFA13/PPP1CC/LYRM7/NDUFA4/HMGB1/STK40/ADH5/GFPT1/ND6/ND5/MTOR/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/PHB2/ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/CEBPA/CHCHD10	214
GO:0045333	cellular respiration	130/3876	202/11271	1.96290385387008e-18	2.03396097338017e-15	1.73851295015398e-15	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/GBA/PLEC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/LYRM7/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	130
GO:0015980	energy derivation by oxidation of organic compounds	153/3876	256/11271	4.70732934188299e-17	4.06477888671596e-14	3.47433939321083e-14	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/PHKA1/RHOA/IDH3G/ACADVL/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/PYGB/IDH3B/SLC25A14/ANTKMT/GYS1/NOP53/GSK3A/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/PTGES3/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/KHK/IDH1/NDUFB10/TP53/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PHKG2/PINK1/NDUFS2/AGL/GYG1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/GBA/PLEC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/PPP1CC/LYRM7/NDUFA4/HMGB1/STK40/GFPT1/ND6/ND5/MTOR/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	153
GO:0022900	electron transport chain	100/3876	149/11271	2.64156664360425e-16	1.95513668293052e-13	1.67113847663806e-13	NDUFAB1/CIAPIN1/CYB561/UQCRC1/BID/GLRX2/CYBA/AKR7A2/PDIA5/NDUFB4/P4HA2/SDHA/ME2/AKR1B1/NDUFB2/DLD/PHGDH/NDUFB7/DHRS2/IDH3B/GSR/CHCHD2/NDUFC1/NDUFS8/ALDH2/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/SDHB/AKR1A1/NDUFB3/NDUFA8/NQO2/NDUFA1/COX6B1/COX7C/UQCR11/POR/NDUFA5/COX4I1/COX7B/NDUFA2/MYBBP1A/CCNB1/COX5B/ISCU/NDUFB5/FDX1/ETFA/NDUFB10/SDHC/DEGS1/SNCA/NDUFS6/NDUFB9/NDUFC2/QDPR/UQCRB/PINK1/NDUFS2/ALDH4A1/UQCRQ/COX6C/NDUFB6/ENOX2/GHITM/NDUFB8/COX11/NDUFV1/COA6/NDUFS5/UQCRFS1/CDK1/NDUFA3/CYCS/UQCRH/COX8A/GBA/PLEC/GLDC/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA13/NDUFA4/ADH5/ND6/ND5/ND4/SDHD/ND4L/NDUFS3/UQCRHL	100
GO:0046034	ATP metabolic process	134/3876	223/11271	2.33220152216184e-15	1.51039201079006e-12	1.29099628996512e-12	BAD/AK2/NDUFAB1/NADK/UQCRC1/BID/CTNS/SPHK2/NDUFB4/PFKP/PKM/RHOA/SDHA/ENO1/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/TSPO/PGK1/ANTKMT/GPI/OGDH/CHCHD2/PPIF/GIT1/NDUFC1/HSPA8/NDUFS8/ATP5F1B/GAPDH/TPI1/COX6A1/COX7A2/ATP6V1A/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/DMAC2L/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/ATP5IF1/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/UQCC2/NDUFB10/NCOR1/TP53/PFKL/APP/SDHC/GUK1/PARP1/SNCA/NDUFS6/NIPSNAP2/ATP6V1B2/NDUFB9/NDUFC2/ATP5F1A/ATP5MC3/ATP5PF/FLCN/UQCRB/HK1/PRXL2C/PINK1/NDUFS2/ATP5MC1/JMJD8/UQCRQ/FOXK1/COX6C/FXN/NDUFB6/VCP/STOML2/NUDT5/ATP5F1C/GHITM/NDUFB8/CLPX/ATP5MG/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/ATP6V0C/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/HSPA1B/HSPA1A/TMSB4X/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/CHCHD10	134
GO:0042773	ATP synthesis coupled electron transport	65/3876	86/11271	5.68840261026749e-15	2.94716139237959e-12	2.5190641875153e-12	NDUFAB1/UQCRC1/BID/NDUFB4/SDHA/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/NDUFS8/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/NDUFA5/COX4I1/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NDUFB9/NDUFC2/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/SDHD/ND4L/NDUFS3/UQCRHL	65
GO:0042775	mitochondrial ATP synthesis coupled electron transport	65/3876	86/11271	5.68840261026749e-15	2.94716139237959e-12	2.5190641875153e-12	NDUFAB1/UQCRC1/BID/NDUFB4/SDHA/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/NDUFS8/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/NDUFA5/COX4I1/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NDUFB9/NDUFC2/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/SDHD/ND4L/NDUFS3/UQCRHL	65
