ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006119	oxidative phosphorylation	65/1485	125/11271	1.60961739944082e-25	7.91287913565106e-22	6.91118881296747e-22	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL/ATP5MF/CHCHD10	65
GO:0009060	aerobic respiration	76/1485	169/11271	1.91500369463752e-24	4.70707908141901e-21	4.11121056338233e-21	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/IDH3B/ANTKMT/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10	76
GO:0046034	ATP metabolic process	83/1485	223/11271	4.5141306736073e-20	4.522049246773e-17	3.94960363101945e-17	BAD/NDUFAB1/UQCRC1/BID/CTNS/ENO1/NDUFB2/DLD/ATP5F1D/NDUFB7/TSPO/ANTKMT/CHCHD2/PPIF/GIT1/NDUFC1/HSPA8/ATP5F1B/TPI1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/ATP5IF1/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/GUK1/PARP1/NDUFS6/NDUFC2/ATP5F1A/ATP5MC3/ATP5PF/PRXL2C/PINK1/ATP5MC1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/ATP6V0C/NDUFA4/SDHD/HSPA1B/TMSB4X/ARL2/UQCRHL/ATP5MF/EIF6/CHCHD10	83
GO:0045333	cellular respiration	78/1485	202/11271	4.69784245892493e-20	4.522049246773e-17	3.94960363101945e-17	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/IDH3B/ANTKMT/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/PRELID1/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10	78
GO:0042773	ATP synthesis coupled electron transport	47/1485	86/11271	5.5191813426847e-20	4.522049246773e-17	3.94960363101945e-17	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL	47
GO:0042775	mitochondrial ATP synthesis coupled electron transport	47/1485	86/11271	5.5191813426847e-20	4.522049246773e-17	3.94960363101945e-17	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL	47
GO:0002181	cytoplasmic translation	61/1485	141/11271	8.02152292806432e-19	5.63340095919489e-16	4.92026947722923e-16	RPS20/RPL26L1/RPL18/FTSJ1/RPL31/RPS5/EIF3I/RPL6/RPLP0/RPL3/RPS16/RPS19/RPL18A/EIF3B/RPL28/RPL19/RPL34/RPL24/EIF4G1/RPS15/RPS25/RPL5/RPL36/EIF3G/RPL27/DPH2/RPL35/RPS6/RPLP1/RPS24/RPS11/RPS8/RPS3A/RPL10/RPL7/RPL7A/RPS3/RPL30/RPL8/RPL29/RPL9/RPS14/RPL13/CNBP/RPS9/RPS21/RPS7/RPLP2/RPL35A/RPS23/RPS26/RPL37A/RPS4X/RPL23A/RPL39/RPLP0P6/UBA52/RPL41/RPS18/TMA7/RPS28	61
GO:0022900	electron transport chain	62/1485	149/11271	4.39869685480539e-18	2.70299921727791e-15	2.36082690404621e-15	NDUFAB1/UQCRC1/BID/CYBA/PDIA5/AKR1B1/NDUFB2/DLD/PHGDH/NDUFB7/DHRS2/IDH3B/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/SDHB/NDUFB3/NDUFA8/NDUFA1/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/DEGS1/NDUFS6/NDUFC2/QDPR/PINK1/ALDH4A1/UQCRQ/COX6C/NDUFB6/ENOX2/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA13/NDUFA4/ADH5/SDHD/UQCRHL	62
GO:0015980	energy derivation by oxidation of organic compounds	85/1485	256/11271	6.0096693221755e-17	3.28261493197942e-14	2.86706914212326e-14	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/ACADVL/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/PYGB/IDH3B/ANTKMT/GYS1/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/PTGES3/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/PRELID1/CYCS/PPP1CA/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/HMGB1/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10	85
GO:0019646	aerobic electron transport chain	41/1485	78/11271	8.62080185410388e-17	4.23798619147747e-14	3.70150008030418e-14	NDUFAB1/UQCRC1/NDUFB2/DLD/NDUFB7/NDUFC1/COX6A1/COX7A2/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/NDUFB8/NDUFV1/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL	41
