ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007186	G protein-coupled receptor signaling pathway	72/964	359/11271	3.87434564834658e-12	1.61715187361986e-08	1.57910172109452e-08	CELSR3/ADGRA2/PTGER3/ADCYAP1R1/RGS17/GLRA2/GNRHR/ARRDC3/NPR3/PDE4D/PDC/RGS4/PRLHR/HCRTR1/PHF24/GPR83/RGS13/TAS2R3/TAS2R4/TAS2R5/OPN1SW/ACKR4/KLK14/PYY/HRH4/ADGRB3/MRAP2/OR1L4/PLCE1/LGR5/GPR32/RGS5/RGS16/GLRA1/HTR2C/GPR61/OR1K1/TSHR/TAC3/OR5AU1/PTAFR/OR1L6/PTGER4/OR2AT4/OR10AD1/GPR151/OR52W1/GPR156/OR11H4/CDK5R1/VN1R1/AKAP5/RRH/SSTR2/OR2B8P/HCAR2/GPR19/CNTN2/PDE6G/TAS2R42/BECN2/HCAR1/GPRASP1/RORB/OR1F2P/OR1F12/NPY6R/RGS5/OR9A1P/HCAR3/TAS2R38/OR9A4	72
GO:0007600	sensory perception	55/964	266/11271	4.49532638345791e-10	9.38174616227666e-07	9.16100197723633e-07	SPATA7/IMPG2/LRP2/TRPM3/SLC26A4/RPGRIP1/PDE6C/RAB3A/HOXA1/CRYBA1/TECTA/GUCA1B/PDC/PHF24/TAS2R3/TAS2R4/TAS2R5/OPN1SW/SPX/OR1L4/RGS16/GLRA1/RETREG1/DHRS3/OR1K1/CACNB2/TMEM100/MYO1A/OR5AU1/PTAFR/FAM161A/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/KCNJ10/SLC17A8/RRH/OR2B8P/LRIT3/SLITRK6/PDE6G/LHFPL3/RORB/OR1F2P/COL11A2/PJVK/CRYGS/OR1F12/OR9A1P/CRYBB2/TAS2R38/OR9A4/PKD1L3	55
GO:0003341	cilium movement	28/964	91/11271	1.00262882706398e-09	1.34525830116979e-06	1.31360556379831e-06	TEKT2/DNAH11/RSPH4A/NME5/IQCG/ARMC2/DNAH7/ATP1A4/ADCY10/DNAI4/SPAG17/CFAP70/DRC1/CFAP251/DNAI3/SLC9B1/TTC21A/ZBBX/CFAP53/CATSPERD/DNHD1/DNAH17/CFAP54/FSIP2/CFAP43/MEIG1/ODAD4/CFAP206	28
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	13/964	21/11271	1.28917901405826e-09	1.34525830116979e-06	1.31360556379831e-06	OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR1F12/OR9A1P/OR9A4	13
GO:0050907	detection of chemical stimulus involved in sensory perception	18/964	42/11271	2.51181170629363e-09	2.09686041241392e-06	2.04752314247767e-06	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR1F12/OR9A1P/TAS2R38/OR9A4/PKD1L3	18
GO:0035082	axoneme assembly	18/964	49/11271	4.60369228553795e-08	3.20263526663924e-05	3.1272800929128e-05	TEKT2/RSPH4A/IQCG/ARMC2/DNAH7/LRRC49/DNAI4/LRGUK/SPAG17/DRC1/DNAI3/DNAJB13/DNAH17/FSIP2/CFAP43/MEIG1/ODAD4/CFAP206	18
GO:0009593	detection of chemical stimulus	19/964	55/11271	6.1793750990163e-08	3.68467309475629e-05	3.59797599750242e-05	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/KCNMB2/OR1F2P/OR1F12/OR9A1P/TAS2R38/OR9A4/PKD1L3	19
GO:0050906	detection of stimulus involved in sensory perception	20/964	64/11271	1.86019822757056e-07	9.7055842523494e-05	9.47722044362264e-05	PHF24/TAS2R3/TAS2R4/TAS2R5/OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/PJVK/OR1F12/OR9A1P/TAS2R38/OR9A4/PKD1L3	20
GO:0007608	sensory perception of smell	13/964	30/11271	3.6502064253723e-07	0.000162721902402302	0.000158893200035738	OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR1F12/OR9A1P/OR9A4	13
GO:0001539	cilium or flagellum-dependent cell motility	20/964	67/11271	4.28831079641908e-07	0.000162721902402302	0.000158893200035738	TEKT2/DNAH11/RSPH4A/IQCG/DNAH6/ARMC2/DNAH7/ATP1A4/DRC1/CFAP251/DNAI3/SLC9B1/TTC21A/CATSPERD/DNAH17/CFAP54/FSIP2/CFAP43/MEIG1/CFAP206	20
GO:0060285	cilium-dependent cell motility	20/964	67/11271	4.28831079641908e-07	0.000162721902402302	0.000158893200035738	TEKT2/DNAH11/RSPH4A/IQCG/DNAH6/ARMC2/DNAH7/ATP1A4/DRC1/CFAP251/DNAI3/SLC9B1/TTC21A/CATSPERD/DNAH17/CFAP54/FSIP2/CFAP43/MEIG1/CFAP206	20
GO:0051606	detection of stimulus	31/964	139/11271	5.24669755842521e-07	0.00018249763007389	0.000178203622335284	TRPM3/NLRC4/PDE6C/PDC/PHF24/SOX4/TAS2R3/TAS2R4/TAS2R5/OPN1SW/PKDREJ/OR1L4/PKD1L1/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/RRH/OR2B8P/KCNMB2/OR1F2P/PJVK/OR1F12/OR9A1P/TAS2R38/OR9A4/DACH1/PKD1L3	31
GO:0007606	sensory perception of chemical stimulus	18/964	62/11271	2.52536126517033e-06	0.000810835224678536	0.000791756989371622	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR1K1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR1F12/OR9A1P/TAS2R38/OR9A4/PKD1L3	18
