ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007186	G protein-coupled receptor signaling pathway	55/544	359/11271	1.31820248470677e-14	4.63875454368313e-11	4.44858649049464e-11	CELSR3/PTGER3/ADCYAP1R1/RGS17/ARRDC3/NPR3/PDE4D/PDC/RGS4/PRLHR/HCRTR1/PHF24/GPR83/RGS13/TAS2R3/TAS2R4/TAS2R5/OPN1SW/PYY/HRH4/MRAP2/OR1L4/LGR5/GPR32/RGS5/GLRA1/HTR2C/GPR61/TSHR/TAC3/OR5AU1/PTAFR/OR1L6/PTGER4/OR2AT4/OR10AD1/GPR151/OR52W1/GPR156/OR11H4/CDK5R1/RRH/OR2B8P/GPR19/CNTN2/PDE6G/TAS2R42/BECN2/HCAR1/RORB/OR1F2P/NPY6R/OR9A1P/TAS2R38/OR9A4	55
GO:0007600	sensory perception	45/544	266/11271	1.04487698066768e-13	1.83846104748478e-10	1.76309242106346e-10	IMPG2/LRP2/TRPM3/SLC26A4/RPGRIP1/PDE6C/HOXA1/CRYBA1/TECTA/GUCA1B/PDC/PHF24/TAS2R3/TAS2R4/TAS2R5/OPN1SW/SPX/OR1L4/GLRA1/DHRS3/MYO1A/OR5AU1/PTAFR/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/KCNJ10/SLC17A8/RRH/OR2B8P/LRIT3/SLITRK6/PDE6G/LHFPL3/RORB/OR1F2P/COL11A2/PJVK/OR9A1P/CRYBB2/TAS2R38/OR9A4/PKD1L3	45
GO:0050907	detection of chemical stimulus involved in sensory perception	16/544	42/11271	3.61549153006609e-11	4.24097156476753e-08	4.06711082294452e-08	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3	16
GO:0051606	detection of stimulus	28/544	139/11271	8.20695186785765e-11	7.22006590574777e-08	6.92407570746095e-08	TRPM3/NLRC4/PDE6C/PDC/PHF24/SOX4/TAS2R3/TAS2R4/TAS2R5/OPN1SW/PKDREJ/OR1L4/PKD1L1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/RRH/OR2B8P/KCNMB2/OR1F2P/PJVK/OR9A1P/TAS2R38/OR9A4/PKD1L3	28
GO:0009593	detection of chemical stimulus	17/544	55/11271	4.03570172446045e-10	2.84032687367526e-07	2.72388625865688e-07	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/KCNMB2/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3	17
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	11/544	21/11271	6.80628705017811e-10	3.48315390590542e-07	3.34036027649386e-07	OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/OR9A4	11
GO:0050906	detection of stimulus involved in sensory perception	18/544	64/11271	6.92869489665756e-10	3.48315390590542e-07	3.34036027649386e-07	PHF24/TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/PJVK/OR9A1P/TAS2R38/OR9A4/PKD1L3	18
GO:0007606	sensory perception of chemical stimulus	16/544	62/11271	2.41274807665602e-08	1.06130756021907e-05	1.01779872812621e-05	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3	16
GO:0007608	sensory perception of smell	11/544	30/11271	7.08147687184868e-08	2.76885745689283e-05	2.65534676621601e-05	OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/OR9A4	11
GO:0003341	cilium movement	17/544	91/11271	1.34344358487275e-06	0.000472757797516722	0.000453376856116005	DNAH11/RSPH4A/NME5/ATP1A4/ADCY10/DNAI4/CFAP70/DRC1/DNAI3/SLC9B1/ZBBX/CFAP53/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206	17
GO:0006820	anion transport	32/544	269/11271	2.09604831171829e-06	0.000670544909903334	0.000643055587308024	SLC6A13/SLC2A3/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC5A5/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/SLC37A2/PLA2G12B/MTTP/BEST4/GLRA1/SLC26A7/SLC25A31/SLC9C2/SLC16A14/SLC13A4/SLC16A9/PTAFR/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC24A5/SLC12A8/SLC10A5/SLC35D2	32
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	13/544	58/11271	2.84943006830822e-06	0.000835595367531386	0.000801339719210189	CELSR3/CEACAM1/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16	13
