ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	104/3704	145/14395	2.94571094058527e-31	1.72324090024238e-27	1.47781666766625e-27	RPS20/RPL26L1/YBX3/RPL18/ZC3H15/PKM/DHX29/FTSJ1/EIF2B3/RPL31/RPS5/EIF3I/RPL6/RPLP0/AARS1/RPL3/EIF5/FMR1/GSPT1/EIF3J/EIF3E/RPS16/RPS19/RPL18A/EIF3B/EIF4H/EIF3A/RPL28/RPL19/RPL34/RPS13/RPS12/RPL24/EIF4G1/RPS15/RPL22/RPS25/ETF1/RPL21/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF2S3/EIF3G/RPL27/DPH2/RPS15A/DHX9/RPL35/RPS6/RPLP1/RPS24/DENR/RPS11/RPL13A/RPS8/RPS27A/RPL32/RPS3A/RPL10/RPL7/EIF3H/RPL7A/EIF3M/RPS3/RPL30/RPL8/RPL26/RPL29/RPL22L1/RPL9/RPS14/RPL27A/RPL13/RPSA/CNBP/RPS9/RPS21/RPS7/RPL4/RPL15/EIF3F/RPLP2/RPS27/EIF3K/RPL35A/DRG1/RPS23/RPS26/RPL37A/RPL12/RPS4X/RPL23A/MTOR/RPL39/RPLP0P6/RPS29/UBA52/RPL41/RPS18/TMA7/RPS28	104
BP	GO:0022613	ribonucleoprotein complex biogenesis	216/3704	439/14395	7.5758696155051e-27	2.21594186253524e-23	1.90034708355249e-23	RPUSD1/TSR3/UTP18/STRAP/RPL26L1/NOP16/CELF2/RRP12/RIOK2/WDR18/DHX29/BUD23/XAB2/EXOSC5/XRCC5/DDX1/HSP90AA1/NUFIP1/RPS5/WBP11/EIF3I/NOP14/DDX18/XRN2/RPL6/RPLP0/GEMIN2/AGO1/HSP90AB1/SF3A1/SNRPD3/PES1/SNU13/RPL3/PRMT5/SRSF5/EIF5/PRPF6/CRNKL1/EIF3J/EIF3E/PIH1D1/POP4/RPS16/FBL/YJU2/RPS19/NOP53/PRPF31/EIF3B/EIF4H/SETX/EIF3A/NPM3/NUP88/C1QBP/FTSJ3/GAR1/PRPF19/PTGES3/KRR1/SRSF9/USP4/RPL24/RRP9/RPS15/SF3B1/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/UTP20/COIL/GTF3A/MRPS2/RPL5/DDX54/SRSF6/DDX27/SNRPC/RIOK1/RPP40/MRPS7/SNRPD2/SNRPB/EIF2S2/SBDS/EMG1/NGDN/NSUN5/LSM4/EIF2S3/EIF3G/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/NIP7/MPHOSPH6/GLUL/DHX9/PWP1/IMP4/RPL35/RPS6/RSL24D1/RPS24/SCAF11/SNRPF/TARBP2/DENR/CUL4A/UTP4/EIF4A3/TXNL4A/RPL13A/RPS8/SNRPG/SNRNP200/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/EIF3H/REXO4/RPL7A/RPP30/PDCD11/EIF3M/CPSF7/DHX37/HEATR3/NIFK/UTP14A/TSR2/RRP1B/ADAR/RPL26/NOL9/TFB2M/WDR43/ABCE1/NSA2/RPS14/SLU7/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/RPSA/SF1/MRPL1/RAMAC/RIOX2/MRPL36/EXOSC10/RPS21/MRM3/RPS7/POP7/CLP1/TRMT112/ZNF622/PRPF8/DDX23/EIF3F/SART1/RUVBL1/RBIS/RPS27/IMP3/EIF3K/RRS1/PUF60/NPM1/SNRPE/NOP10/RPL35A/RUVBL2/SF3A3/UTP11/TBL3/NOC4L/NOC2L/RRP7A/NOP9/RPL23A/SDAD1/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/ISY1/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/TAF9/AATF/DDX52	216
BP	GO:0009060	aerobic respiration	113/3704	178/14395	1.77684984620778e-26	3.46485720010517e-23	2.97139170772852e-23	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/NNT/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/NDUFB10/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/ATP6/SDHD/ND4L/ARL2/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	113
BP	GO:0006119	oxidative phosphorylation	88/3704	131/14395	1.94721625174024e-23	2.79194302919068e-20	2.39431407595551e-20	NDUFAB1/UQCRC1/BID/NDUFB4/RHOA/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NIPSNAP2/NDUFB9/NDUFC2/ATP5F1A/ATP5PF/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/ATP6/SDHD/ND4L/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	88
BP	GO:0045333	cellular respiration	125/3704	218/14395	2.38627609332536e-23	2.79194302919068e-20	2.39431407595551e-20	NDUFAB1/SLC25A13/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/NNT/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/MYBBP1A/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/PNPT1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/MTLN/COX8A/GBA/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/ATP6/SDHD/ND4L/ARL2/NDUFS3/UQCRHL/ATP5MF/ATP5PO/CHCHD10	125
BP	GO:0042254	ribosome biogenesis	149/3704	291/14395	5.94563021858046e-21	5.79698946311595e-18	4.97138133714991e-18	RPUSD1/TSR3/UTP18/RPL26L1/NOP16/RRP12/RIOK2/WDR18/DHX29/BUD23/EXOSC5/XRCC5/RPS5/WBP11/NOP14/DDX18/XRN2/RPL6/RPLP0/PES1/SNU13/RPL3/PIH1D1/POP4/RPS16/FBL/RPS19/NOP53/NPM3/NUP88/C1QBP/FTSJ3/GAR1/KRR1/RPL24/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/UTP20/GTF3A/MRPS2/RPL5/DDX54/DDX27/RIOK1/RPP40/MRPS7/SBDS/EMG1/NGDN/NSUN5/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/NIP7/MPHOSPH6/GLUL/PWP1/IMP4/RPL35/RPS6/RSL24D1/RPS24/CUL4A/UTP4/EIF4A3/RPS8/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/HEATR3/NIFK/UTP14A/TSR2/RRP1B/RPL26/NOL9/TFB2M/WDR43/ABCE1/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/RPSA/MRPL1/RIOX2/MRPL36/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/ZNF622/SART1/RBIS/RPS27/IMP3/RRS1/NPM1/NOP10/RPL35A/UTP11/TBL3/NOC4L/NOC2L/RRP7A/NOP9/RPL23A/SDAD1/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/AATF/DDX52	149
BP	GO:0015980	energy derivation by oxidation of organic compounds	148/3704	291/14395	1.84985993008254e-20	1.54595437014041e-17	1.32577931229675e-17	NDUFAB1/SLC25A13/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/PHKA1/RHOA/IDH3G/ACADVL/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/HIF1A/PYGB/IDH3B/SLC25A14/ANTKMT/GYS1/NOP53/GSK3A/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/PTGES3/COX6A1/COX7A2/NNT/PCDH12/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/PER2/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/PNPT1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PHKG2/PINK1/NDUFS2/AGL/GYG1/NDUFS4/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/MTLN/COX8A/GBA/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/PPP1CC/NDUFA4/HMGB1/STK40/GFPT1/ND5/MTOR/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/UQCRHL/ATP5MF/ATP5PO/CHCHD10	148
BP	GO:0042773	ATP synthesis coupled electron transport	63/3704	88/14395	2.20982878822912e-19	1.43638871234893e-16	1.23181801224561e-16	NDUFAB1/UQCRC1/BID/NDUFB4/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/NDUFS8/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/NDUFA5/COX4I1/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NDUFB9/NDUFC2/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/SDHD/ND4L/NDUFS3/UQCRHL	63
BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	63/3704	88/14395	2.20982878822912e-19	1.43638871234893e-16	1.23181801224561e-16	NDUFAB1/UQCRC1/BID/NDUFB4/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/NDUFS8/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/NDUFA5/COX4I1/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/NDUFB10/SDHC/SNCA/NDUFS6/NDUFB9/NDUFC2/UQCRB/PINK1/NDUFS2/NDUFS4/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND5/SDHD/ND4L/NDUFS3/UQCRHL	63
BP	GO:0022900	electron transport chain	94/3704	162/14395	2.30272356691506e-18	1.34709328664531e-15	1.15524005472813e-15	NDUFAB1/SLC25A13/CIAPIN1/CYB561/UQCRC1/BID/CYBA/PDIA5/NDUFB4/P4HA2/ME2/AKR1B1/NDUFB2/DLD/PHGDH/NDUFB7/DHRS2/IDH3B/GSR/CHCHD2/NDUFC1/NDUFS8/ALDH2/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/SDHB/NDUFB3/NDUFA8/NQO2/NDUFA1/COX6B1/COX7C/UQCR11/POR/NDUFA5/COX4I1/COX7B/NDUFA2/MYBBP1A/CCNB1/COX5B/ISCU/NDUFB5/FDX1/ETFA/NDUFB10/SDHC/DEGS1/SNCA/NDUFS6/NDUFB9/NDUFC2/QDPR/UQCRB/PINK1/NDUFS2/ALDH4A1/NDUFS4/UQCRQ/COX6C/NDUFB6/ENOX2/GHITM/NDUFB8/COX11/NDUFV1/COA6/NDUFS5/UQCRFS1/CDK1/NDUFA3/CYCS/UQCRH/COX8A/GBA/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA13/NDUFA4/ADH5/ND5/SDHD/ND4L/NDUFS3/UQCRHL	94
