ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	63/2399	163/17092	5.00600696100067e-15	2.82388852670048e-11	2.61577037414814e-11	CELSR3/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/CEACAM6/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/DSG3/DSG1/MYPN/PCDH10/NECTIN4/HMCN1/PCDH15/DCHS1/CDH16/PCDHB1/DSG4/DSCAML1/PCDHB9/CDH5/CNTN2/PCDH9/ROBO2/PCDHB13/CDHR4/DCHS2/PCDHB11/PLXNB3/PCDHGA1/PCDHA9/PCDHA4/PCDHA13/PCDHGC5/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGA3/PCDHA3/PECAM1/PCDHGB3/PCDHGA4/PCDHB16	63
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	84/2399	265/17092	1.07418168173745e-13	3.02972943334048e-10	2.80644098323406e-10	ITGAL/SELE/CELSR3/CLDN11/CDH1/CEACAM1/PCDHB4/PCDHA6/PCDHGA2/IGSF9/CEACAM6/ICAM1/TGFB2/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDHB7/PCDHB15/CDH6/PCDHB8/PCDHB10/PCDHB14/PCDHB12/MYOT/SLITRK3/CEACAM8/FLRT3/GATA5/DSG3/DSG1/MYPN/PCDH10/NECTIN4/HMCN1/PCDH15/GRID2/CLDN14/JAML/VCAM1/CLDN19/DCHS1/CDH16/ITGAM/CLDN20/PCDHB1/SELP/DSG4/DSCAML1/PCDHB9/CDH5/CLDN5/CNTN2/PCDH9/ROBO2/PCDHB13/CDHR4/SELL/DCHS2/PCDHB11/MBP/PLXNB3/PCDHGA1/PCDHA9/PCDHA4/PCDHA13/PCDHGC5/PCDHA10/PCDHGA12/PCDHGA5/PCDHGA7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGA3/PCDHA3/PECAM1/PCDHGB3/PCDHGA4/MILR1/PCDHB16	84
BP	GO:0050900	leukocyte migration	94/2399	341/17092	3.21678338496454e-11	4.81593570731767e-08	4.46100539305739e-08	ITGAL/ITGA2B/SELE/DPEP1/CD74/DAPK2/F7/SPI1/TBX21/CXCL2/ICAM1/CD200/TGFB2/HSD3B7/MADCAM1/HMOX1/PDGFB/ASB2/BST1/SELPLG/RIPOR2/IL17A/CCR6/IL1R1/CSF3R/PGF/NKX2-3/TNFSF11/EPX/NCKAP1L/XG/TREM1/ADGRE2/RIPK3/FOXJ1/LBP/PLVAP/TRPM4/VAV3/C5AR2/IL6/MYO1G/CCL21/TRPM2/NLRP12/ECM1/PTPRO/CCL28/JAM2/MMP14/IL34/FCER1G/JAML/VCAM1/TAFA4/CD200R1/CXCL3/CXCL1/GREM1/NOD2/CD300A/CX3CR1/RHOH/ROR2/PTAFR/CXCL8/S1PR1/FPR2/PTGER4/C3AR1/IL16/FUT9/CCL19/SELP/CMKLR1/LEP/LCK/CSF1/PDE4B/C10orf99/SELL/CNR2/S100A14/CXCL17/ELANE/AGER/GPSM3/KLRK1/TNF/PRSS56/PECAM1/MMP28/CCL16/CCL14	94
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	71/2399	230/17092	3.41495175133322e-11	4.81593570731767e-08	4.46100539305739e-08	GIPR/CASR/PTGER3/CALCRL/ADCYAP1R1/GNAO1/RGS1/HRH3/VIPR2/ADGRD1/OPRM1/GRM6/ARRDC3/NPR3/PDE4D/CRHR1/GRM4/PTGER2/AVPR2/ADGRE2/ADM2/MCHR1/GALR3/ADCY4/GPR12/HRH4/ADGRB3/MRAP2/LHCGR/LGR5/ADGRG7/GPR119/DRD2/DRD3/GPR26/ADGRG4/HTR5A/CACNA1D/GIP/PTGIR/PTH1R/HTR4/ABCA1/GPR101/TSHR/CHRM1/GPR37/FSHR/S1PR1/FPR2/RXFP1/PTGER4/ADCY5/GPR4/HTR1F/HTR1D/GPHB5/AKAP5/ADGRD2/SSTR2/S1PR5/CHRM2/PTGDR2/PDE4B/DRD1/CHRM5/CNR2/GRM7/ADGRG1/GCGR/ADRA2B	71
BP	GO:0050953	sensory perception of light stimulus	62/2399	208/17092	2.76917313385325e-09	2.90469058950305e-06	2.69061739450697e-06	USH1C/USH2A/CNGB1/MYO3B/IMPG2/SEMA5B/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/EFEMP1/PDC/RPE65/VSX2/OPN5/CRYGN/AIPL1/GUCY2D/PDE6A/TRPM1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/RGR/PCDH15/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/BBS5/CLRN1/CLDN19/CPLX4/FAM161A/BFSP2/CABP4/KCNJ10/PCARE/RRH/USH1G/LRIT3/RP1L1/TACSTD2/SLITRK6/PDE6G/KRT12/ABCA4/RORB/PRCD/MFRP/GPR179	62
BP	GO:0006820	anion transport	117/2399	492/17092	3.08954857951042e-09	2.90469058950305e-06	2.69061739450697e-06	CFTR/SLC4A1/SLC6A13/SLC11A1/ATP1A2/CASR/BEST2/TG/SLC2A3/ABCC9/SLC12A3/SLC12A1/CEACAM1/LRP2/SLC13A1/SLCO1A2/SLC26A4/SLC26A3/SLC10A1/HRH3/SLC17A9/SLC5A5/ABCC3/SLC16A6/FOLR3/SLC6A12/SLC26A8/RHAG/SLC17A2/SLC22A2/SLC4A9/RGS4/ARG1/FGF23/SLC25A2/TNFSF11/SLC17A3/SLC17A1/SLC10A2/WNK4/BEST3/SLC35D2/GFAP/RTBDN/SLC52A1/NMUR2/SLC37A2/SLC9A5/SLCO2B1/SLC3A1/PLA2G12B/MTTP/SLCO1C1/SLC24A4/SLC13A5/SLC16A3/TTYH2/BEST4/SLC4A10/GLRA3/GLRA1/SLC17A4/GABRR1/SLC22A3/SLC26A7/NTRK2/SLC5A12/DRD2/SLC22A8/SLC25A31/DRD3/PLA2R1/SLC7A7/SLC24A2/SLC34A2/STC1/ACE/SLC1A7/SLC9C2/SLC16A14/SLC6A20/SLC51A/NPY5R/SLC13A4/SLC25A32/SLC16A9/FOLR2/SLC22A11/BDKRB2/PLA2G4F/PTAFR/TCAF2/SLC23A1/SLC26A5/P2RY6/SLC2A14/SLC26A9/LEP/KCNJ10/SLC17A8/SLC25A18/GABRR3/PLA2G6/SLC22A10/CALHM1/CLCN1/SLC24A5/GRM7/SLC22A25/SLC22A24/SLC9A8/SLC22A6/SLC34A3/SLC44A4/SLCO6A1/SLC12A8/SLC35D2	117
BP	GO:0007601	visual perception	59/2399	204/17092	2.25992489679375e-08	1.82117662040194e-05	1.68695747183221e-05	USH2A/CNGB1/MYO3B/IMPG2/SEMA5B/RPGRIP1/PDE6C/GPR143/CACNA1F/TULP2/POU6F2/CRYBA1/TULP1/GUCA1B/IMPG1/GRM6/GRK7/EFEMP1/PDC/RPE65/VSX2/OPN5/CRYGN/AIPL1/GUCY2D/PDE6A/TRPM1/COL2A1/RDH12/HMCN1/SLC4A10/GLRA1/RGR/CACNA2D4/SLC24A2/PPEF2/CABP1/DHRS3/BBS5/CLRN1/CLDN19/CPLX4/FAM161A/BFSP2/CABP4/KCNJ10/PCARE/RRH/LRIT3/RP1L1/TACSTD2/SLITRK6/PDE6G/KRT12/ABCA4/RORB/PRCD/MFRP/GPR179	59
BP	GO:0003341	cilium movement	52/2399	174/17092	4.68118854669335e-08	3.30082307398715e-05	3.05755525602444e-05	SLC22A16/ZMYND10/TEKT2/CACNA1I/EPPIN/RSPH6A/ODAD1/GAPDHS/DNAH11/SEPTIN4/RSPH4A/SLC26A8/CCR6/NME5/IQCG/DNAI1/SEMG2/ATP1A4/TTC29/ADCY10/SLC22A14/TCTE1/DDX4/DNAI4/SPAG17/CFAP70/HYDIN/DRC1/CELF3/DNAI3/CFAP221/SLC9B1/TEKT1/ZBBX/DNAI2/CFAP46/CFAP53/CATSPERD/CATSPER1/DNHD1/TPPP2/SPEM1/CFAP65/CFAP91/CFAP54/CATSPER4/CFAP43/MEIG1/ODAD3/ODAD4/CFAP97D1/CFAP206	52
BP	GO:0050778	positive regulation of immune response	112/2399	489/17092	5.87345939932354e-08	3.68135383017601e-05	3.41004122318621e-05	CD38/CD79B/MASP2/BTK/SLC11A1/CD74/C8B/BTN3A1/SPI1/IFI35/TBX21/CEACAM1/PTPRC/LAT2/NLRC4/TGFB2/BLNK/IL12RB1/SLA2/NFATC2/BMX/LPXN/HPX/BTN3A3/IL17A/IL17F/C7/IL12B/BTNL8/PDE4D/CD86/HHLA2/IL1R1/TNFSF4/COLEC11/MYB/ARG1/CD80/NCKAP1L/C4BPB/PCK1/BTN2A2/EREG/C3/LBP/THEMIS2/PRAM1/VAV3/PTPN22/VTCN1/CFHR5/KLRD1/C5AR2/HAVCR2/IL6/MYO1G/SKAP1/GPR32/FCN3/NFKBIZ/CD226/BANK1/GBP5/MS4A1/C8A/FCER1G/IL23R/TRAT1/ERMAP/RAET1E/C2/NOD2/CD300A/INPP5D/IL13/PTAFR/ITGAM/FPR2/C3AR1/RASGRP1/CCL19/GPR151/CMKLR1/A2M/CD28/C1S/LCK/PLA2G6/PDE4B/FPR3/FYB2/C17orf99/ELANE/CR1L/SH2D1B/CD247/BTNL2/NCR3/CFI/KLRC2/KLRK1/HLA-DPB1/C4B/LTA/TNF/NFAM1/IRGM/HLA-DMB/CFB/MMP12/IFNL4/RAET1E	112
BP	GO:0045123	cellular extravasation	27/2399	68/17092	1.5870661718969e-07	8.95264027567042e-05	8.29283839715391e-05	ITGAL/SELE/ICAM1/MADCAM1/BST1/SELPLG/RIPOR2/IL1R1/XG/RIPK3/PLVAP/CCL21/CCL28/JAM2/JAML/VCAM1/CX3CR1/PTAFR/PTGER4/FUT9/SELP/LEP/SELL/ELANE/AGER/TNF/PECAM1	27
