ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0009615	response to virus	13/90	292/14395	3.06591216597665e-08	4.4644612695426e-05	3.84947713716011e-05	PLA2G10/OAS3/IL12B/IFIH1/IFIT3/IFIT2/TPT1/OASL/DDX60/IFI44L/IFI44/IL23R/IFIT1	13
BP	GO:0051607	defense response to virus	11/90	211/14395	7.8141095732951e-08	4.4644612695426e-05	3.84947713716011e-05	PLA2G10/OAS3/IL12B/IFIH1/IFIT3/IFIT2/OASL/DDX60/IFI44L/IL23R/IFIT1	11
BP	GO:0140546	defense response to symbiont	11/90	211/14395	7.8141095732951e-08	4.4644612695426e-05	3.84947713716011e-05	PLA2G10/OAS3/IL12B/IFIH1/IFIT3/IFIT2/OASL/DDX60/IFI44L/IL23R/IFIT1	11
BP	GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	3/90	10/14395	2.74756515430204e-05	0.0117733166861843	0.0101515302016844	ATP1A2/ATP1A4/SLC22A1	3
BP	GO:0039530	MDA-5 signaling pathway	3/90	11/14395	3.76080384022181e-05	0.0128377040046269	0.0110692970720974	OAS3/IFIH1/DDX60	3
BP	GO:0039528	cytoplasmic pattern recognition receptor signaling pathway in response to virus	4/90	32/14395	4.49394539251817e-05	0.0128377040046269	0.0110692970720974	OAS3/IFIH1/OASL/DDX60	4
BP	GO:0009617	response to bacterium	11/90	434/14395	8.04267961662599e-05	0.0196930755184242	0.016980334107884	TAC1/CD6/STAP1/OAS3/IL12B/IFI44/OCIAD2/IL23R/PTAFR/FER1L6/MRC1	11
BP	GO:0045071	negative regulation of viral genome replication	4/90	42/14395	0.000133364893648066	0.0285734284640982	0.024637409300248	OAS3/IFIH1/OASL/IFIT1	4
BP	GO:0071357	cellular response to type I interferon	4/90	48/14395	0.00022531004529745	0.0406940114918535	0.0350883695477261	SP100/OAS3/DCST1/IFIT1	4
BP	GO:0002831	regulation of response to biotic stimulus	8/90	263/14395	0.000237421303919799	0.0406940114918535	0.0350883695477261	TXK/OAS3/IL12B/OASL/DDX60/IL23R/DCST1/IFIT1	8
MF	GO:0015081	sodium ion transmembrane transporter activity	7/90	130/14716	1.45108374237502e-05	0.00197906041566901	0.00183019863711986	ATP1A2/SLC1A6/SLC5A7/ATP1A4/SLC6A20/SLC22A1/SLC10A5	7
MF	GO:0015294	solute:cation symporter activity	6/90	88/14716	1.60247806936762e-05	0.00197906041566901	0.00183019863711986	SLC1A6/SLC2A9/SLC5A7/SLC6A20/SLC22A1/SLC10A5	6
MF	GO:0015370	solute:sodium symporter activity	5/90	61/14716	3.47389757088406e-05	0.00286017566669455	0.00264503779958541	SLC1A6/SLC5A7/SLC6A20/SLC22A1/SLC10A5	5
MF	GO:0022853	active ion transmembrane transporter activity	8/90	233/14716	8.88910457086949e-05	0.00523219771990494	0.00483864012452321	ATP1A2/SLC1A6/SLC2A9/SLC5A7/ATP1A4/SLC6A20/SLC22A1/SLC10A5	8
MF	GO:0015293	symporter activity	6/90	123/14716	0.000105914933601315	0.00523219771990494	0.00483864012452321	SLC1A6/SLC2A9/SLC5A7/SLC6A20/SLC22A1/SLC10A5	6
MF	GO:0022804	active transmembrane transporter activity	9/90	363/14716	0.000372378130923452	0.0153295663896821	0.0141765007737525	ATP1A2/SLC1A6/SLC2A9/SLC5A7/ATP1A4/ABCA6/SLC6A20/SLC22A1/SLC10A5	9
MF	GO:0005343	organic acid:sodium symporter activity	3/90	25/14716	0.000461535196712135	0.0160375300004806	0.0148312124871267	SLC1A6/SLC6A20/SLC10A5	3
MF	GO:0015101	organic cation transmembrane transporter activity	3/90	26/14716	0.000519434170056052	0.0160375300004806	0.0148312124871267	SLC5A7/SLC6A20/SLC22A1	3
MF	GO:0003725	double-stranded RNA binding	4/90	66/14716	0.00070592834609361	0.0186667366175165	0.0172626543618201	OAS3/IFIH1/OASL/DDX60	4
MF	GO:0022890	inorganic cation transmembrane transporter activity	10/90	486/14716	0.000755738324595811	0.0186667366175165	0.0172626543618201	ATP1A2/SLC1A6/SLC2A9/SLC5A7/ATP1A4/SLC6A20/CALHM4/CNGB3/SLC22A1/SLC10A5	10
MF	GO:0005201	extracellular matrix structural constituent	5/90	139/14716	0.00161636890764622	0.0362948291080561	0.0335647897568642	TECTA/MGP/COL8A1/HMCN2/COL28A1	5
MF	GO:0015291	secondary active transmembrane transporter activity	6/90	210/14716	0.00180931067435142	0.0372416447137334	0.034440387397742	SLC1A6/SLC2A9/SLC5A7/SLC6A20/SLC22A1/SLC10A5	6
MF	GO:0015651	quaternary ammonium group transmembrane transporter activity	2/90	11/14716	0.00196271802500878	0.0372916424751668	0.0344866244070368	SLC6A20/SLC22A1	2
