ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006334	nucleosome assembly	8/46	93/11271	3.19362775518609e-09	2.80719879680857e-06	2.50783821617771e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0031497	chromatin assembly	8/46	111/11271	1.31143693575403e-08	5.76376533263894e-06	5.14911554775002e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0034728	nucleosome organization	8/46	124/11271	3.14415515443935e-08	9.2123746025073e-06	8.22996401828687e-06	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0006333	chromatin assembly or disassembly	8/46	133/11271	5.4456864996294e-08	1.19668960829356e-05	1.06907424440093e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0006323	DNA packaging	8/46	148/11271	1.25104444249509e-07	2.19933612990638e-05	1.96479821916072e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0065004	protein-DNA complex assembly	8/46	161/11271	2.39654484555675e-07	3.51093819874064e-05	3.13653062243041e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0000395	mRNA 5-splice site recognition	4/46	16/11271	4.26367226657133e-07	5.35395417473743e-05	4.78300678325145e-05	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8	4
GO:0071824	protein-DNA complex subunit organization	8/46	194/11271	9.93751979339576e-07	0.000109188498729936	9.75446021825427e-05	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0006338	chromatin remodeling	8/46	204/11271	1.45182353796612e-06	0.000141794765541357	0.000126673726236576	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0071103	DNA conformation change	8/46	234/11271	4.04539390144794e-06	0.000323263749033885	0.000288790799089011	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0045292	mRNA cis splicing, via spliceosome	4/46	33/11271	9.11214806839271e-06	0.000616121396316707	0.000550418012876191	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8	4
GO:0006376	mRNA splice site selection	4/46	37/11271	1.453266008738e-05	0.000912443444057642	0.000815140182344771	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8	4
GO:0006325	chromatin organization	8/46	332/11271	5.11403376280106e-05	0.00299682378500142	0.00267724153477164	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7	8
GO:0000245	spliceosomal complex assembly	4/46	63/11271	0.000121301306791416	0.00666399054185344	0.00595334045173662	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8	4
GO:0099536	synaptic signaling	7/46	386/11271	0.000883288764321747	0.043133934657712	0.0385341180224575	SYNGR1/PRR7/LY6E/RGS14/ADRB2/SEPTIN5/VAMP2	7
GO:0007190	activation of adenylate cyclase activity	2/46	12/11271	0.00104790455159808	0.0484793737291953	0.0433095177557986	ADRB2/P2RY11	2
GO:0022618	ribonucleoprotein complex assembly	5/46	198/11271	0.0012149565482487	0.0493525501416027	0.0440895783553508	RPL3L/RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8	5

