Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	68	2.57673361121637	4.3330727660577946E-41	ENSG00000108107, ENSG00000213741, ENSG00000142937, ENSG00000110700, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000142541, ENSG00000171858, ENSG00000170889, ENSG00000105193, ENSG00000109475, ENSG00000167526, ENSG00000138326, ENSG00000115268, ENSG00000065548, ENSG00000136942, ENSG00000149806, ENSG00000233927, ENSG00000197958, ENSG00000144713, ENSG00000137154, ENSG00000166441, ENSG00000221983, ENSG00000231500, ENSG00000108298, ENSG00000232112, ENSG00000162244, ENSG00000204628, ENSG00000164587, ENSG00000142534, ENSG00000182899, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000037241, ENSG00000197756, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000156482, ENSG00000186468, ENSG00000063177, ENSG00000105372, ENSG00000148303, ENSG00000213553, ENSG00000198034, ENSG00000118181, ENSG00000008988, ENSG00000083845, ENSG00000174444, ENSG00000177954, ENSG00000071082, ENSG00000145425, ENSG00000147604, ENSG00000116251, ENSG00000114391, ENSG00000100316, ENSG00000122406, ENSG00000161970, ENSG00000089157, ENSG00000147403, ENSG00000031698, ENSG00000161016, ENSG00000105640	2439	91	19453	5.959945753303687	2.648374074614524E-37	2.648374074614524E-37	2.581644754017234E-37
GOTERM_BP_DIRECT	GO:0006412~translation	107	4.054566123531641	6.266977328823953E-39	ENSG00000108107, ENSG00000172590, ENSG00000130312, ENSG00000111639, ENSG00000142937, ENSG00000110700, ENSG00000114867, ENSG00000266472, ENSG00000142541, ENSG00000105193, ENSG00000175634, ENSG00000138326, ENSG00000137876, ENSG00000115268, ENSG00000136942, ENSG00000174547, ENSG00000144713, ENSG00000086504, ENSG00000221983, ENSG00000182154, ENSG00000108298, ENSG00000164587, ENSG00000142534, ENSG00000149273, ENSG00000198242, ENSG00000131469, ENSG00000149792, ENSG00000037241, ENSG00000130255, ENSG00000198918, ENSG00000229117, ENSG00000156482, ENSG00000063177, ENSG00000140105, ENSG00000105372, ENSG00000243927, ENSG00000083845, ENSG00000174444, ENSG00000243147, ENSG00000116898, ENSG00000177954, ENSG00000071082, ENSG00000116251, ENSG00000096080, ENSG00000122406, ENSG00000128626, ENSG00000148730, ENSG00000089157, ENSG00000147403, ENSG00000105364, ENSG00000103342, ENSG00000161016, ENSG00000105640, ENSG00000213741, ENSG00000059691, ENSG00000156508, ENSG00000137547, ENSG00000177600, ENSG00000171863, ENSG00000197728, ENSG00000171858, ENSG00000143436, ENSG00000170889, ENSG00000109475, ENSG00000125445, ENSG00000125844, ENSG00000167526, ENSG00000165502, ENSG00000179115, ENSG00000214026, ENSG00000198015, ENSG00000112110, ENSG00000233927, ENSG00000149806, ENSG00000197958, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000162244, ENSG00000204628, ENSG00000182899, ENSG00000180992, ENSG00000106305, ENSG00000172053, ENSG00000242485, ENSG00000204574, ENSG00000197756, ENSG00000114686, ENSG00000116221, ENSG00000174748, ENSG00000124614, ENSG00000089009, ENSG00000186468, ENSG00000148303, ENSG00000198034, ENSG00000118181, ENSG00000196531, ENSG00000008988, ENSG00000145425, ENSG00000115364, ENSG00000147604, ENSG00000114391, ENSG00000258429, ENSG00000100316, ENSG00000166902, ENSG00000161970, ENSG00000031698	2439	219	19453	3.8968568224495033	3.8303765433772003E-35	1.9151882716886001E-35	1.8669325462566557E-35
GOTERM_BP_DIRECT	GO:0042776~mitochondrial ATP synthesis coupled proton transport	41	1.5536187949981053	1.5176901923093358E-20	ENSG00000004779, ENSG00000099624, ENSG00000198786, ENSG00000169020, ENSG00000117118, ENSG00000204370, ENSG00000154723, ENSG00000119421, ENSG00000158864, ENSG00000167863, ENSG00000109390, ENSG00000168653, ENSG00000166136, ENSG00000165283, ENSG00000165264, ENSG00000170906, ENSG00000145494, ENSG00000143252, ENSG00000184983, ENSG00000110717, ENSG00000110955, ENSG00000165629, ENSG00000241468, ENSG00000090266, ENSG00000174886, ENSG00000116459, ENSG00000099795, ENSG00000119013, ENSG00000151366, ENSG00000131495, ENSG00000152234, ENSG00000115286, ENSG00000065518, ENSG00000140990, ENSG00000186010, ENSG00000167792, ENSG00000147123, ENSG00000184752, ENSG00000147684, ENSG00000241837, ENSG00000125356	2439	65	19453	5.030895385876936	9.27612245539466E-17	3.0920408184648866E-17	3.014132721926341E-17
GOTERM_BP_DIRECT	GO:0051301~cell division	111	4.20613868889731	8.1058206741609E-18	ENSG00000079819, ENSG00000175063, ENSG00000072501, ENSG00000108106, ENSG00000113812, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000143479, ENSG00000007080, ENSG00000142945, ENSG00000164611, ENSG00000136824, ENSG00000094880, ENSG00000237649, ENSG00000117724, ENSG00000085415, ENSG00000138160, ENSG00000122705, ENSG00000168385, ENSG00000160783, ENSG00000101146, ENSG00000089053, ENSG00000149273, ENSG00000090273, ENSG00000047849, ENSG00000172531, ENSG00000080986, ENSG00000110200, ENSG00000134057, ENSG00000173465, ENSG00000068903, ENSG00000157456, ENSG00000178999, ENSG00000141552, ENSG00000165169, ENSG00000134690, ENSG00000050820, ENSG00000164754, ENSG00000134508, ENSG00000176101, ENSG00000010292, ENSG00000213639, ENSG00000134222, ENSG00000166140, ENSG00000151465, ENSG00000114353, ENSG00000162063, ENSG00000123975, ENSG00000185043, ENSG00000037474, ENSG00000101447, ENSG00000128989, ENSG00000147400, ENSG00000179051, ENSG00000140854, ENSG00000121152, ENSG00000072609, ENSG00000164885, ENSG00000073350, ENSG00000158402, ENSG00000091732, ENSG00000105393, ENSG00000146425, ENSG00000152253, ENSG00000196230, ENSG00000156970, ENSG00000113328, ENSG00000141759, ENSG00000175792, ENSG00000111665, ENSG00000176248, ENSG00000169679, ENSG00000144635, ENSG00000176915, ENSG00000088325, ENSG00000101224, ENSG00000143420, ENSG00000141367, ENSG00000180198, ENSG00000152240, ENSG00000154429, ENSG00000203760, ENSG00000130177, ENSG00000160072, ENSG00000117399, ENSG00000169689, ENSG00000122952, ENSG00000102901, ENSG00000166295, ENSG00000168476, ENSG00000162413, ENSG00000087586, ENSG00000166974, ENSG00000105325, ENSG00000129195, ENSG00000111602, ENSG00000197102, ENSG00000175216, ENSG00000137812, ENSG00000137497, ENSG00000204843, ENSG00000167553, ENSG00000166582, ENSG00000167552, ENSG00000123416, ENSG00000186298, ENSG00000101367, ENSG00000128944, ENSG00000123374	2439	383	19453	2.3115271100491688	4.954277596047142E-14	1.010491706041076E-14	9.850310184215854E-15
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	73	2.766199317923456	8.266457019315084E-18	ENSG00000108349, ENSG00000102241, ENSG00000126254, ENSG00000092199, ENSG00000136819, ENSG00000124193, ENSG00000110107, ENSG00000114503, ENSG00000099783, ENSG00000135486, ENSG00000175467, ENSG00000117614, ENSG00000115875, ENSG00000240682, ENSG00000100028, ENSG00000112081, ENSG00000122692, ENSG00000087365, ENSG00000161547, ENSG00000183258, ENSG00000182004, ENSG00000130520, ENSG00000140829, ENSG00000104852, ENSG00000096746, ENSG00000239306, ENSG00000141759, ENSG00000198258, ENSG00000111786, ENSG00000170860, ENSG00000224578, ENSG00000086589, ENSG00000100138, ENSG00000063244, ENSG00000164548, ENSG00000183684, ENSG00000165119, ENSG00000182872, ENSG00000100410, ENSG00000125970, ENSG00000100650, ENSG00000167978, ENSG00000124562, ENSG00000076924, ENSG00000174231, ENSG00000265241, ENSG00000263465, ENSG00000130332, ENSG00000144028, ENSG00000139343, ENSG00000143977, ENSG00000100603, ENSG00000125944, ENSG00000169045, ENSG00000125743, ENSG00000183431, ENSG00000105298, ENSG00000109971, ENSG00000108883, ENSG00000136527, ENSG00000112739, ENSG00000099995, ENSG00000204560, ENSG00000143368, ENSG00000169976, ENSG00000122965, ENSG00000113141, ENSG00000125835, ENSG00000123136, ENSG00000122566, ENSG00000125870, ENSG00000141543, ENSG00000068394	2439	200	19453	2.911170561705617	5.0524585302053796E-14	1.010491706041076E-14	9.850310184215854E-15
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	40	1.515725653656688	7.882043497387818E-17	ENSG00000111615, ENSG00000136718, ENSG00000142937, ENSG00000110700, ENSG00000129460, ENSG00000181163, ENSG00000114767, ENSG00000171863, ENSG00000227057, ENSG00000141076, ENSG00000170889, ENSG00000087269, ENSG00000105193, ENSG00000186468, ENSG00000183751, ENSG00000105372, ENSG00000132467, ENSG00000177971, ENSG00000105202, ENSG00000150990, ENSG00000241945, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000083845, ENSG00000165271, ENSG00000115268, ENSG00000177954, ENSG00000233927, ENSG00000145425, ENSG00000275700, ENSG00000171824, ENSG00000137154, ENSG00000100138, ENSG00000126749, ENSG00000225921, ENSG00000189306, ENSG00000164587, ENSG00000142534, ENSG00000165733	2439	74	19453	4.311248517890584	6.785683126508957E-13	8.029174976005723E-14	7.826869192906103E-14
GOTERM_BP_DIRECT	GO:0009060~aerobic respiration	38	1.4399393709738537	1.217458621136916E-16	ENSG00000156467, ENSG00000004779, ENSG00000173660, ENSG00000099624, ENSG00000198786, ENSG00000135441, ENSG00000117118, ENSG00000119421, ENSG00000158864, ENSG00000146701, ENSG00000109390, ENSG00000168653, ENSG00000166136, ENSG00000165264, ENSG00000170906, ENSG00000145494, ENSG00000143252, ENSG00000184983, ENSG00000110717, ENSG00000155463, ENSG00000090266, ENSG00000174886, ENSG00000099795, ENSG00000066855, ENSG00000119013, ENSG00000151366, ENSG00000131495, ENSG00000115286, ENSG00000010256, ENSG00000065518, ENSG00000140990, ENSG00000186010, ENSG00000167792, ENSG00000147123, ENSG00000184752, ENSG00000147684, ENSG00000125356, ENSG00000102078	2439	68	19453	4.457070158936884	6.785683126508957E-13	1.06301529891269E-13	1.0362312092476779E-13
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	50	1.8946570670708602	2.2734071841212936E-12	ENSG00000160208, ENSG00000123064, ENSG00000171863, ENSG00000117133, ENSG00000166197, ENSG00000100029, ENSG00000105193, ENSG00000130826, ENSG00000148688, ENSG00000184967, ENSG00000177971, ENSG00000052749, ENSG00000065268, ENSG00000138326, ENSG00000165271, ENSG00000115268, ENSG00000233927, ENSG00000171824, ENSG00000137154, ENSG00000126749, ENSG00000189306, ENSG00000164346, ENSG00000182899, ENSG00000111615, ENSG00000131469, ENSG00000107833, ENSG00000136718, ENSG00000114767, ENSG00000223496, ENSG00000087269, ENSG00000117395, ENSG00000165526, ENSG00000183751, ENSG00000148300, ENSG00000105372, ENSG00000105373, ENSG00000105202, ENSG00000118181, ENSG00000167272, ENSG00000136045, ENSG00000177954, ENSG00000147889, ENSG00000147604, ENSG00000084463, ENSG00000124228, ENSG00000122406, ENSG00000145220, ENSG00000161970, ENSG00000108592, ENSG00000141543	2439	137	19453	2.910879473758241	1.3895043227130088E-8	1.7368830886686683E-9	1.6931200003743334E-9
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	67	2.5388404698749527	4.114313966902334E-11	ENSG00000183207, ENSG00000112208, ENSG00000167085, ENSG00000171863, ENSG00000115310, ENSG00000116288, ENSG00000166794, ENSG00000151929, ENSG00000156261, ENSG00000099817, ENSG00000132589, ENSG00000129696, ENSG00000107404, ENSG00000175792, ENSG00000204220, ENSG00000150753, ENSG00000204463, ENSG00000005893, ENSG00000137312, ENSG00000096384, ENSG00000163132, ENSG00000030582, ENSG00000120885, ENSG00000110172, ENSG00000204389, ENSG00000116030, ENSG00000204388, ENSG00000005175, ENSG00000163932, ENSG00000128602, ENSG00000187325, ENSG00000146731, ENSG00000166326, ENSG00000109501, ENSG00000154144, ENSG00000135624, ENSG00000114209, ENSG00000158828, ENSG00000144381, ENSG00000181163, ENSG00000172534, ENSG00000080824, ENSG00000100726, ENSG00000162298, ENSG00000161202, ENSG00000183199, ENSG00000011451, ENSG00000162735, ENSG00000185896, ENSG00000105373, ENSG00000180228, ENSG00000163468, ENSG00000127445, ENSG00000102096, ENSG00000110958, ENSG00000108518, ENSG00000179218, ENSG00000197702, ENSG00000069849, ENSG00000196924, ENSG00000147889, ENSG00000168884, ENSG00000125912, ENSG00000122406, ENSG00000167716, ENSG00000273841, ENSG00000103266	2439	230	19453	2.3233880599675563	2.514665279340633E-7	2.5950124793423826E-8	2.529627675379894E-8
GOTERM_BP_DIRECT	GO:0006413~translational initiation	28	1.0610079575596816	4.2457664910706516E-11	ENSG00000149273, ENSG00000215301, ENSG00000145191, ENSG00000130811, ENSG00000114867, ENSG00000110321, ENSG00000204574, ENSG00000172239, ENSG00000115211, ENSG00000106263, ENSG00000106682, ENSG00000147677, ENSG00000178982, ENSG00000158417, ENSG00000130741, ENSG00000149100, ENSG00000134001, ENSG00000083845, ENSG00000173674, ENSG00000173812, ENSG00000242372, ENSG00000111361, ENSG00000145425, ENSG00000084623, ENSG00000125977, ENSG00000107581, ENSG00000175390, ENSG00000104131	2439	55	19453	4.060412240486041	2.5950145332576113E-7	2.5950124793423826E-8	2.529627675379894E-8
