ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0009060;aerobic respiration;120/3768;174/12357;8,14647941049344e-26;4,41376254460534e-22;3,77825139817201e-22;VCP/UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/COX6A1/NDUFC2/ATP5F1A/COX7C/MDH2/NDUFB8/NDUFB10/ATP5F1B/PARK7/CHCHD2/NDUFA2/ACO2/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/IDH3A/IDH3G/PDHA1/SDHA/IDH3B/MDH1/NDUFA4/PPIF/COX6B1/COX5A/SHMT2/SDHB/ATP5MF/DLD/MSH2/COX6C/STOML2/NDUFS5/ATP5PF/RHOA/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NOP53/NDUFS6/NDUFS7/COX7B/NDUFB6/SLC25A23/BID/OGDH/FXN/NDUFS8/NDUFB9/NDUFC1/NDUFA8/ATP5PB/UQCRB/NDUFS2/CS/NDUFS3/ARL2/UQCR11/ATP5F1D/DGUOK/NDUFA7/UQCRHL/ATP5MG/NDUFB3/ATP5ME/CHCHD10/PDHB/ATP5F1E/ACO1/SDHD/AKT1/ATP5PO/ANTKMT/COX7A2/NDUFA12/ATP5PD/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/IDE/FH/OXA1L/NDUFC2-KCTD14/NDUFB4/NDUFA9/ATP5F1C/BLOC1S1/MTFR1/ISCU/SNCA/CDK1/SLC25A14/NDUFA3/UQCC2/ND6/ATP8/NIPSNAP2/NDUFV2/SUCLG2/NDUFA5/UQCC3/IDH1/CAT/MTCO2P12/ND5;120
BP;GO:0002181;cytoplasmic translation;104/3768;143/12357;1,70482498497442e-25;4,6183708842957e-22;3,95339941252489e-22;RPL18/RPS9/RPL24/RPS19/RPS4X/RPL10/RPL41/RPL6/RPS6/RPS20/RPL3/RPS15/RPL23A/EIF4G1/RPS21/RPL29/RPS3A/EIF4A1/RPS25/RPS14/RPS3/RPL8/RPL28/RPL19/RPL34/RPS24/RPS23/RPL31/RPL13/UBA52/RPLP2/RPLP0/DPH2/RPL35/RPS5/GSPT1/RPL7/RPL35A/RPL36A/RPS17/RPL27/RPS28/RPS8/RPL7A/EIF3B/RPS7/RPL37A/PKM/RPLP1/RPS11/RPL13A/RPL36/RPS26/CNBP/RPL5/RPL9/EIF3I/RPS16/RPL4/RPL17/RPLP0P6/EIF3F/RPL22/RPL30/RPS10/EIF3A/RPL39/RPL18A/EIF3G/EIF3J/RPL27A/EIF4H/RPL26L1/RPL15/RPS18/EIF3CL/EIF3K/RPL14/EIF3C/EIF2S2/AARS1/MTOR/RPL32/FTSJ1/YBX3/EIF5/EIF2S3/RPS13/ETF1/RPL12/RPL22L1/DRG1/EIF3L/RPS27/TMA7/ZC3H15/RPL10A/RPL26/DENR/EIF3H/DPH1/RPS12/EIF3E/EIF2B3;104
BP;GO:0006119;oxidative phosphorylation;96/3768;129/12357;6,82432171539006e-25;1,23247250179944e-21;1,05501619221083e-21;VCP/UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/COX6A1/NDUFC2/ATP5F1A/COX7C/NDUFB8/NDUFB10/ATP5F1B/PARK7/CHCHD2/NDUFA2/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/SDHA/NDUFA4/PPIF/COX6B1/COX5A/SHMT2/ATP5MF/DLD/MSH2/COX6C/STOML2/NDUFS5/ATP5PF/RHOA/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NDUFS6/NDUFS7/COX7B/NDUFB6/SLC25A23/BID/FXN/NDUFS8/NDUFB9/NDUFC1/NDUFA8/ATP5PB/UQCRB/NDUFS2/NDUFS3/UQCR11/ATP5F1D/DGUOK/NDUFA7/UQCRHL/ATP5MG/NDUFB3/ATP5ME/CHCHD10/ATP5F1E/SDHD/ATP5PO/ANTKMT/COX7A2/NDUFA12/ATP5PD/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/NDUFC2-KCTD14/NDUFB4/NDUFA9/ATP5F1C/ISCU/SNCA/CDK1/NDUFA3/UQCC2/ND6/ATP8/NIPSNAP2/NDUFV2/NDUFA5/UQCC3/MTCO2P12/ND5;96
BP;GO:0042773;ATP synthesis coupled electron transport;69/3768;88/12357;1,8445096882984e-20;1,68339456938328e-17;1,44101270088064e-17;UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/COX6A1/NDUFC2/COX7C/NDUFB8/NDUFB10/PARK7/CHCHD2/NDUFA2/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/SDHA/NDUFA4/COX5A/DLD/COX6C/NDUFS5/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NDUFS6/NDUFS7/NDUFB6/BID/NDUFS8/NDUFB9/NDUFC1/NDUFA8/UQCRB/NDUFS2/NDUFS3/UQCR11/DGUOK/NDUFA7/UQCRHL/NDUFB3/SDHD/COX7A2/NDUFA12/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/NDUFC2-KCTD14/NDUFB4/NDUFA9/ISCU/SNCA/CDK1/NDUFA3/ND6/NDUFV2/NDUFA5/UQCC3/MTCO2P12/ND5;69
BP;GO:0042775;mitochondrial ATP synthesis coupled electron transport;69/3768;88/12357;1,8445096882984e-20;1,68339456938328e-17;1,44101270088064e-17;UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/COX6A1/NDUFC2/COX7C/NDUFB8/NDUFB10/PARK7/CHCHD2/NDUFA2/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/SDHA/NDUFA4/COX5A/DLD/COX6C/NDUFS5/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NDUFS6/NDUFS7/NDUFB6/BID/NDUFS8/NDUFB9/NDUFC1/NDUFA8/UQCRB/NDUFS2/NDUFS3/UQCR11/DGUOK/NDUFA7/UQCRHL/NDUFB3/SDHD/COX7A2/NDUFA12/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/NDUFC2-KCTD14/NDUFB4/NDUFA9/ISCU/SNCA/CDK1/NDUFA3/ND6/NDUFV2/NDUFA5/UQCC3/MTCO2P12/ND5;69
BP;GO:0045333;cellular respiration;129/3768;211/12357;1,86422432932811e-20;1,68339456938328e-17;1,44101270088064e-17;PRELID1/VCP/UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/COX6A1/NDUFC2/ATP5F1A/COX7C/MDH2/NDUFB8/NDUFB10/ATP5F1B/PARK7/CHCHD2/NDUFA2/ACO2/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/IDH3A/IDH3G/PDHA1/SDHA/IDH3B/MDH1/TRAP1/NDUFA4/PPIF/COX6B1/COX5A/SHMT2/SDHB/ATP5MF/DLD/MSH2/COX6C/STOML2/NDUFS5/ATP5PF/RHOA/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NOP53/NDUFS6/NDUFS7/COX7B/NDUFB6/SLC25A23/BID/OGDH/FXN/NDUFS8/NDUFB9/NDUFC1/NDUFA8/MYBBP1A/ATP5PB/UQCRB/NDUFS2/CS/NDUFS3/ARL2/UQCR11/ATP5F1D/DGUOK/NDUFA7/UQCRHL/ATP5MG/NDUFB3/ATP5ME/CHCHD10/PDHB/ATP5F1E/ACO1/SDHD/AKT1/ATP5PO/ANTKMT/COX7A2/NDUFA12/ATP5PD/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/IDE/FH/OXA1L/NDUFC2-KCTD14/PLEC/NDUFB4/GBA/NDUFA9/ATP5F1C/UQCRFS1/BLOC1S1/CISD1/MTFR1/ISCU/SNCA/CDK1/SLC25A14/NDUFA3/LYRM7/UQCC2/COQ10A/ND6/ATP8/NIPSNAP2/NDUFV2/SUCLG2/NDUFA5/UQCC3/IDH1/CAT/MTCO2P12/ND5;129
BP;GO:0046034;ATP metabolic process;139/3768;236/12357;7,76419129997763e-20;5,49767961625376e-17;4,70610176394748e-17;PARP1/VCP/TPI1/ENO1/HSPA8/HSPA1A/UQCRC1/CCNB1/HSPA1B/NDUFA1/COX4I1/COX8A/COX6A1/EIF6/NDUFC2/ATP5F1A/COX7C/NDUFB8/NDUFB10/ATP5F1B/PARK7/CHCHD2/NDUFA2/PKM/COX5B/GHITM/NDUFB7/UQCRH/NDUFB2/TMSB4X/UQCR10/NDUFAB1/CYC1/SDHA/GPI/NDUFA4/PPIF/COX6B1/COX5A/SHMT2/ATP5MF/DLD/MSH2/COX6C/STOML2/NDUFS5/ATP5PF/NADK/CTNS/RHOA/ATP6V0C/SDHC/NDUFV1/UQCRQ/NDUFA6/CYCS/NDUFS6/GUK1/GIT1/NDUFS7/COX7B/NDUFB6/SLC25A23/BID/ATP6V1B2/OGDH/ATP5MC3/FXN/NDUFS8/NDUFB9/HK1/NDUFC1/NDUFA8/ATP5MC1/NUDT5/ATP5PB/PRXL2C/UQCRB/NDUFS2/PGK1/NCOR1/NDUFS3/TSPO/JMJD8/ARL2/UQCR11/ATP5F1D/GAPDH/DGUOK/CLPX/NDUFA7/BAD/UQCRHL/ATP5MG/NDUFB3/ATP5ME/CHCHD10/ATP5F1E/ATP6V1A/ATP5IF1/SDHD/ATP5PO/APP/ANTKMT/PFKL/COX7A2/NDUFA12/ATP5PD/NDUFB1/COX7A2L/COA6/PINK1/NDUFB5/NDUFC2-KCTD14/FOXK1/NDUFB4/NDUFA9/ATP5F1C/ISCU/DMAC2L/SNCA/CDK1/NDUFA3/PFKP/ALDOA/UQCC2/PRKAG1/ND6/ATP8/NIPSNAP2/NDUFV2/NDUFA5/UQCC3/AK1/TGFB1/PGAM4/MTCO2P12/ND5/SPHK2;139
BP;GO:0022900;electron transport chain;103/3768;157/12357;8,11765170358621e-20;5,49767961625376e-17;4,70610176394748e-17;UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/AKR1B1/COX6A1/NDUFC2/COX7C/NDUFB8/NDUFB10/DEGS1/PARK7/CHCHD2/NDUFA2/COX5B/PHGDH/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/CYC1/SDHA/IDH3B/NDUFA4/COX6B1/COX5A/SDHB/DLD/COX6C/NDUFS5/ADH5/SDHC/NDUFV1/UQCRQ/NDUFA13/NDUFA6/CYCS/NDUFS6/ENOX2/NDUFS7/CYBA/COX7B/NDUFB6/BID/NDUFS8/NDUFB9/NDUFC1/NDUFA8/MYBBP1A/UQCRB/ETFA/NDUFS2/NDUFS3/UQCR11/DGUOK/NDUFA7/UQCRHL/NDUFB3/SDHD/QDPR/DHRS2/ALDH2/ME2/COX7A2/NDUFA12/NDUFB1/POR/COX7A2L/COA6/PDIA5/PINK1/NDUFB5/GLDC/COX11/NDUFC2-KCTD14/PLEC/NDUFB4/GBA/ALDH4A1/NDUFA9/UQCRFS1/CIAPIN1/P4HA2/ISCU/SNCA/CDK1/NDUFA3/FDX1/AKR1A1/NQO2/ETFB/GLRX2/ND6/NDUFV2/AKR7A2/NDUFA5/UQCC3/CYB561/MTCO2P12/ND5;103
BP;GO:0006091;generation of precursor metabolites and energy;208/3768;405/12357;4,55463660015311e-19;2,74189123329217e-16;2,34710279067539e-16;PRELID1/VCP/TPI1/ENO1/UQCRC1/CCNB1/NDUFA1/COX4I1/COX8A/AKR1B1/COX6A1/EIF6/NDUFC2/PPP1CA/ATP5F1A/COX7C/MDH2/NDUFB8/NDUFB10/ATP5F1B/DEGS1/PARK7/CHCHD2/NDUFA2/ACO2/PKM/COX5B/PGD/PTGES3/PHGDH/GHITM/NDUFB7/UQCRH/NDUFB2/UQCR10/NDUFAB1/HMGB1/CYC1/IDH3A/IDH3G/PDHA1/PPP1CB/SDHA/IDH3B/GPI/MDH1/TRAP1/NDUFA4/PPIF/COX6B1/COX5A/SHMT2/SDHB/ATP5MF/G6PD/DLD/MSH2/COX6C/STOML2/NDUFS5/ATP5PF/PYGB/ADH5/RHOA/SDHC/NDUFV1/UQCRQ/NDUFA13/NDUFA6/CYCS/NOP53/NDUFS6/ENOX2/GIT1/SELENOS/NDUFS7/CYBA/TALDO1/GYS1/COX7B/MTOR/NDUFB6/SLC25A23/RPIA/BID/ACADVL/GYG1/TKT/OGDH/FXN/NDUFS8/NDUFB9/HK1/NDUFC1/NDUFA8/MYBBP1A/ATP5PB/PRXL2C/PPP1CC/UQCRB/PYGL/ETFA/NDUFS2/PGK1/CS/NCOR1/NDUFS3/JMJD8/ARL2/UQCR11/ATP5F1D/GAPDH/DGUOK/PHKG2/NDUFA7/PPP1R2/UQCRHL/ATP5MG/NDUFB3/ATP5ME/CHCHD10/PDHB/ATP5F1E/ATP5IF1/ACAT1/ACO1/SDHD/COX17/AKT1/QDPR/DHRS2/ALDH2/ATP5PO/ME2/PHKA1/APP/ANTKMT/PFKL/COX7A2/NDUFA12/ATP5PD/NDUFB1/POR/COX7A2L/COA6/PDIA5/PINK1/NDUFB5/AACS/IDE/GLDC/FH/UGP2/COX11/OXA1L/GSK3A/NDUFC2-KCTD14/FOXK1/PLEC/NDUFB4/GBA/ALDH4A1/NDUFA9/ATP5F1C/UQCRFS1/BLOC1S1/CIAPIN1/P4HA2/CISD1/MTFR1/ISCU/STK40/SNCA/CDK1/FECH/SLC25A14/NDUFA3/LYRM7/PFKP/FDX1/AKR1A1/NQO2/ALDOA/UQCC2/PRKAG1/ETFB/GLRX2/COQ10A/GNPDA1/SLC25A4/ND6/ATP8/NIPSNAP2/NDUFV2/SUCLG2/AKR7A2/NDUFA5/UQCC3/INPP5K/PPARD/IDH1/CAT/KHK/CYB561/PGAM4/MTCO2P12/ND5/SPHK2;208
BP;GO:0022613;ribonucleoprotein complex biogenesis;225/3768;451/12357;1,47438952950142e-18;7,9882424708387e-16;6,83806343892975e-16;HSP90AA1/RPL24/RPS19/RPL10/HSP90AB1/RPL6/RPS6/RPL3/RPS15/RPL23A/RPS21/RUVBL2/RPS25/RPS14/C1QBP/SNRPB/EIF6/RPS24/TRMT112/DDX27/PUF60/GLUL/SBDS/DDX54/RPLP0/RPL35/EBNA1BP2/RPS5/RPL7L1/RPL7/RPL35A/RPS17/RPL27/FBL/RPS28/LYAR/RPS8/RPL7A/NOLC1/SNRNP200/EIF3B/RPS7/PRMT5/PTGES3/RPL13A/WDR18/NPM1/RPF1/SNRPD3/RPL5/EIF3I/SNRPG/RPS16/SF3A1/TBL3/WBP11/DKC1/SNRPD2/NOC2L/RPLP0P6/EIF3F/DDX23/DDX18/DDX1/PRPF8/EIF3A/MRPL20/SRSF9/XRCC5/EIF3G/FTSJ3/NHP2/DHX30/DDX17/EIF3J/DDX52/WDR46/EIF4A3/EXOSC10/ADAR/BUD23/NOC4L/EIF4H/RUVBL1/IMP4/PRPF19/ERAL1/PRPF6/RPL26L1/PES1/BMS1/TSR3/DHX37/LSM4/NOP53/NOP16/SLU7/SNRPF/EIF3CL/SART1/RRP7A/SNU13/EIF3K/RPL14/EIF3C/RPUSD4/NOP14/EIF2S2/ABCE1/RPP30/NPM3/PRPF31/ABT1/EMG1/SCAF11/HEATR3/SRPK1/CRNKL1/RRS1/FCF1/STRAP/MYBBP1A/NGDN/IMP3/SNRPE/EIF5/RPUSD1/EIF2S3/PDCD11/RAMAC/RRP9/RSL24D1/TSR2/RRP1B/DCAF13/SNRPC/NOL11/SRSF6/DDX47/PA2G4/DDX56/SHQ1/NOP9/TRAF7/YJU2/DDX3X/EIF3L/TXNL4A/SF3B1/RPS27/UTP11/AGO1/REXO4/UTP25/GAR1/SF3A3/TAF9/NSUN5/COIL/XRN2/PRKDC/NOP10/NOL9/RRP12/PIH1D1/RPL10A/CELF2/EXOSC4/EXOSC6/MRTO4/MRPS7/LAS1L/EXOSC5/MRPS2/MPHOSPH6/SRSF5/TARBP2/GTF3A/RPL26/KRR1/DENR/AATF/PWP1/RAN/DIMT1/EIF3H/POLR2D/DDX21/EIF2A/NOL6/MRPS11/PWP2/ERCC2/ISY1/ERI3/RIOK2/EIF3E/UTP4/EXOSC1/RPUSD3/POP5/XAB2/RRP1/NOP2/UTP3/NIFK/MRM3/MPV17L2/NSA2/WDR55/GEMIN2/POP7/MRPL1/LOC102724159/RPP40/CLP1/RBIS/SUV39H1/SF3A2/POP4/GEMIN7/SF1/RNVU1-14/TFB2M/SLX9;225
