ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0007186;G protein-coupled receptor signaling pathway;89/1290;426/12357;7,6031440423214e-11;3,501247831489e-07;3,39500389763446e-07;PTGER3/ARRDC3/CNTN2/TAS2R4/RGS17/OR2AT4/DGKI/NPR3/OR5AU1/PDE4D/HRH4/PRLHR/PTAFR/GPR61/RRH/RGS13/OR9A4/OR9A1P/PLCE1/PHF24/GPR19/AKAP5/LGR5/TAS2R5/CELSR3/TSHR/CDK5R1/HCAR1/OR4F17/GPRASP1/ADCY4/PYY/LHCGR/TAC3/RGS5/CHRM5/RORB/RGS4/GPR32/GNRHR/OR11H4/GPR156/PDE4B/ADCYAP1R1/TAS2R38/PREX2/GPR85/GPR83/CACNA1D/VN1R1/PTGER4/C3/S1PR1/TAS2R3/OR1L6/RGS1/ADGRB3/HTR2C/PDC/ACKR4/PDE6G/NPY6R/OR1L4/CALCRL/CRHR1/OR4F16/GLRA1/HCAR2/SSTR2/ADCY5/SLC24A4/MRAP2/MGLL/BECN2/OR4F3/OR52W1/OR4F29/GPR151/OR1F2P/HCAR3/ADGRF3/ACP3/OR2B8P/NECAB2/RGS16/RGS3/GNGT1/OR4F21/OR10AD1;89
BP;GO:0050911;detection of chemical stimulus involved in sensory perception of smell;17/1290;29/12357;2,87108452070694e-10;6,61067210892773e-07;6,41007396675729e-07;OR2AT4/OR5AU1/OR9A4/OR9A1P/OR4F17/OR11H4/OR1L6/OR1L4/OR4F16/SLC24A4/OR4F3/OR52W1/OR4F29/OR1F2P/OR2B8P/OR4F21/OR10AD1;17
BP;GO:0050907;detection of chemical stimulus involved in sensory perception;22/1290;51/12357;1,71151791734849e-09;2,62718000312993e-06;2,54745930013764e-06;TAS2R4/OR2AT4/OR5AU1/PKD1L3/OR9A4/OR9A1P/TAS2R5/OR4F17/OR11H4/TAS2R38/TAS2R3/OR1L6/OR1L4/OR4F16/SLC24A4/OR4F3/OR52W1/OR4F29/OR1F2P/OR2B8P/OR4F21/OR10AD1;22
BP;GO:0007600;sensory perception;69/1290;321/12357;3,15670523510655e-09;3,63415690191641e-06;3,52387989666368e-06;TRPM3/TAS2R4/LRP2/OR2AT4/LRIT3/OR5AU1/LHFPL3/SLC26A4/PKD1L3/PTAFR/RRH/OR9A4/KCNJ10/MYO1A/TECTA/RIPOR2/OR9A1P/PHF24/POU6F2/HMCN1/TAS2R5/SLC17A8/COL11A2/KRT12/CABP4/CACNB2/IMPG2/LHFPL4/OR4F17/DHRS3/FAM161A/HOXA1/RORB/OR11H4/GUCA1B/TAS2R38/COL2A1/MBP/CACNA1D/MARVELD2/RPGRIP1/TAS2R3/OR1L6/PDC/RETREG1/PJVK/PDE6G/OR1L4/CRYBA1/SPX/PDE6C/OR4F16/GLRA1/SLC24A4/MGLL/OR4F3/PPEF2/SLITRK6/OR52W1/OR4F29/OR1F2P/EYA1/SPATA7/ACP3/OR2B8P/RGS16/GABRR2/OR4F21/OR10AD1;69
BP;GO:0009593;detection of chemical stimulus;25/1290;68/12357;7,30650912523955e-09;6,72929490434562e-06;6,52509720195077e-06;TAS2R4/OR2AT4/OR5AU1/PKD1L3/OR9A4/OR9A1P/TAS2R5/OR4F17/KCNMB2/C4B/OR11H4/TAS2R38/TAS2R3/OR1L6/OR1L4/OR4F16/SLC24A4/OR4F3/OR52W1/OR4F29/TLR1/OR1F2P/OR2B8P/OR4F21/OR10AD1;25
BP;GO:0007608;sensory perception of smell;17/1290;39/12357;1,01789508011322e-07;7,81234473986895e-05;7,5752823330531e-05;OR2AT4/OR5AU1/OR9A4/OR9A1P/OR4F17/OR11H4/OR1L6/OR1L4/OR4F16/SLC24A4/OR4F3/OR52W1/OR4F29/OR1F2P/OR2B8P/OR4F21/OR10AD1;17
BP;GO:0050906;detection of stimulus involved in sensory perception;25/1290;80/12357;2,90806140504469e-07;0,000191308896717583;0,000185503706469167;TAS2R4/OR2AT4/OR5AU1/PKD1L3/OR9A4/OR9A1P/PHF24/TAS2R5/OR4F17/OR11H4/TAS2R38/TAS2R3/OR1L6/PJVK/OR1L4/OR4F16/SLC24A4/OR4F3/PPEF2/OR52W1/OR4F29/OR1F2P/OR2B8P/OR4F21/OR10AD1;25
BP;GO:0002253;activation of immune response;43/1290;186/12357;3,72138962984929e-07;0,0002142124905682;0,000207712300129219;KLRD1/CEACAM1/VTCN1/CD226/C1S/PDE4D/BTN3A1/ERMAP/MYO1G/C2/NFKBIZ/BTK/NFATC2/KLRC2/PLA2G6/THEMIS2/VAV3/CD38/C4A/C4B/GPR32/HHLA2/PTPN22/PDE4B/BTN3A3/BTN2A2/SKAP1/LPXN/LAT2/CFB/FYB2/C3/NLRC4/CBLB/STAP1/CFP/PRKCH/COLEC11/CGAS/A2M/BLNK/KCNN4/MASP2;43
BP;GO:0051606;detection of stimulus;39/1290;163/12357;5,0713687477085e-07;0,000259485034257752;0,000251611066991573;TRPM3/TAS2R4/OR2AT4/SOX4/OR5AU1/PKD1L3/PKD1L1/RRH/OR9A4/OR9A1P/PHF24/PKDREJ/TAS2R5/CABP4/OR4F17/KCNMB2/DACH1/C4B/OR11H4/TAS2R38/TAS2R3/OR1L6/NLRC4/PDC/PJVK/OR1L4/PDE6C/OR4F16/SLC24A4/OR4F3/PPEF2/OR52W1/OR4F29/TLR1/OR1F2P/OR2B8P/GNGT1/OR4F21/OR10AD1;39
BP;GO:0006820;anion transport;61/1290;309/12357;6,23198025787023e-07;0,000284827274156203;0,000276184306982254;LRP2/SLC6A13/SLC2A3/CEACAM1/SLC12A1/SLC26A4/PTAFR/ATP1A2/SLC6A12/KCNJ10/SLC35D2/SLC37A2/SLC26A3/SLC16A14/TG/SLC6A20/SLC16A6/SLC13A3/SLC17A8/SLC22A2/SLC5A5/PLA2G12B/PLA2G6/SLC16A9/WNK4/SLC9A5/RGS4/SLC25A2/SLCO2B1/FGF23/SLC9C2/SLC35D2/CLN3/SLC9A8/ABCC2/SLC26A7/CLDN4/SLC4A4/GLRA1/SLC24A4/SLC7A7/SLC25A18/BEST4/SLC12A8/SLC13A4/SLC51A/SLC10A1/SLC25A31/TNFRSF11A/SLC16A3/SLC4A5/SLCO6A1/SLC10A5/SLC1A7/CLIC2/CLTRN/MTTP/PRKG2/SLC4A8/SLC3A1/GABRR2;61
