ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0009615;response to virus;5/12;251/12357;2,34239120424605e-06;0,000679293449231356;0,000451218516186345;TPT1/IFIT2/DDX58/IFIT1/DDX60;5
BP;GO:0051607;defense response to virus;4/12;179/12357;1,92477412111515e-05;0,00186061498374464;0,00123590759355815;IFIT2/DDX58/IFIT1/DDX60;4
BP;GO:0140546;defense response to symbiont;4/12;179/12357;1,92477412111515e-05;0,00186061498374464;0,00123590759355815;IFIT2/DDX58/IFIT1/DDX60;4
BP;GO:0045087;innate immune response;5/12;443/12357;3,72160956556753e-05;0,00269816693503646;0,00179224881710226;IFIT2/DDX58/IFIT1/DDX60/C5;5
BP;GO:0140374;antiviral innate immune response;2/12;13/12357;6,70346300890218e-05;0,00388800854516326;0,00258259732764021;DDX58/IFIT1;2
BP;GO:0071360;cellular response to exogenous dsRNA;2/12;15/12357;9,01415745958421e-05;0,00435684277213237;0,00289401897386651;DDX58/IFIT1;2
BP;GO:0071359;cellular response to dsRNA;2/12;19/12357;0,000146485427951606;0,00606868201513796;0,00403110275415697;DDX58/IFIT1;2
BP;GO:0039529;RIG-I signaling pathway;2/12;24/12357;0,000235795506352751;0,00854758710528722;0,00567770758717808;DDX58/DDX60;2
BP;GO:0039528;cytoplasmic pattern recognition receptor signaling pathway in response to virus;2/12;30/12357;0,00037043286374816;0,0114772236316917;0,00762370934518903;DDX58/DDX60;2
BP;GO:0043330;response to exogenous dsRNA;2/12;31/12357;0,0003957663321273;0,0114772236316917;0,00762370934518903;DDX58/IFIT1;2
BP;GO:0043331;response to dsRNA;2/12;37/12357;0,000565007228707787;0,014895645120478;0,0098943849620598;DDX58/IFIT1;2
BP;GO:0002831;regulation of response to biotic stimulus;3/12;221/12357;0,00110191666949426;0,0210066920875848;0,0139536285010091;DDX58/IFIT1/DDX60;3
BP;GO:0002753;cytoplasmic pattern recognition receptor signaling pathway;2/12;52/12357;0,00111585632921783;0,0210066920875848;0,0139536285010091;DDX58/DDX60;2
BP;GO:0050688;regulation of defense response to virus;2/12;52/12357;0,00111585632921783;0,0210066920875848;0,0139536285010091;DDX58/IFIT1;2
BP;GO:0032602;chemokine production;2/12;53/12357;0,00115898990828054;0,0210066920875848;0,0139536285010091;SUZ12/C5;2
BP;GO:0032642;regulation of chemokine production;2/12;53/12357;0,00115898990828054;0,0210066920875848;0,0139536285010091;SUZ12/C5;2
BP;GO:0098586;cellular response to virus;2/12;59/12357;0,00143441415938302;0,0244694180130045;0,0162537331992008;DDX58/DDX60;2
BP;GO:0032091;negative regulation of protein binding;2/12;71/12357;0,00206985242146506;0,033347622345826;0,0221510522297138;IFIT2/IFIT1;2
MF;GO:0003725;double-stranded RNA binding;2/12;63/12574;0,0015787556401105;0,0232449294703012;0,0150146673611993;DDX58/DDX60;2
MF;GO:0003724;RNA helicase activity;2/12;66/12574;0,0017312078143458;0,0232449294703012;0,0150146673611993;DDX58/DDX60;2
MF;GO:0008186;ATP-dependent activity, acting on RNA;2/12;68/12574;0,00183660231035082;0,0232449294703012;0,0150146673611993;DDX58/DDX60;2
MF;GO:0003727;single-stranded RNA binding;2/12;73/12574;0,00211317540639102;0,0232449294703012;0,0150146673611993;DDX58/DDX60;2
MF;GO:0005201;extracellular matrix structural constituent;2/12;89/12574;0,00312226152952852;0,027475901459851;0,0177475918520569;COL8A1/TECTA;2
