ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0034728;nucleosome organization;16/22;131/12357;7,00313742730848e-28;3,39652165224461e-25;2,63170532794645e-25;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2AW/H2BS1/H3C1;16
BP;GO:0006334;nucleosome assembly;15/22;99/12357;1,93637493720975e-27;3,92316001559931e-25;3,03975719060001e-25;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2BS1/H3C1;15
BP;GO:0006333;chromatin assembly or disassembly;16/22;141/12357;2,42669691686555e-27;3,92316001559931e-25;3,03975719060001e-25;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2AW/H2BS1/H3C1;16
BP;GO:0031497;chromatin assembly;15/22;118/12357;3,21998454650338e-26;3,90423126263535e-24;3,02509074500449e-24;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2BS1/H3C1;15
BP;GO:0071824;protein-DNA complex subunit organization;16/22;201/12357;9,00158352131478e-25;8,73153601567533e-23;6,76540066759869e-23;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2AW/H2BS1/H3C1;16
BP;GO:0006338;chromatin remodeling;16/22;213/12357;2,34539824443481e-24;1,64481947252253e-22;1,27444503893769e-22;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2AW/H2BS1/H3C1;16
BP;GO:0006323;DNA packaging;15/22;155/12357;2,37396624900159e-24;1,64481947252253e-22;1,27444503893769e-22;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2BS1/H3C1;15
BP;GO:0065004;protein-DNA complex assembly;15/22;167/12357;7,6023492742945e-24;4,60892424754104e-22;3,57110354068834e-22;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2BS1/H3C1;15
BP;GO:0071103;DNA conformation change;15/22;243/12357;2,49062089511422e-21;1,34216792681155e-19;1,03994346146874e-19;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2BS1/H3C1;15
BP;GO:0006325;chromatin organization;16/22;349/12357;7,46474183785021e-21;3,62039979135735e-19;2,80517140643424e-19;H2BC21/H4C14/H4C15/H2BC18/H2BC5/H2BU1/H3C14/H3C15/H2BC13/H2AX/H3C13/H2BC7/H3C12/H2AW/H2BS1/H3C1;16
BP;GO:0006335;DNA replication-dependent nucleosome assembly;4/22;27/12357;1,28708791484118e-07;5,2019803224831e-06;4,03061741752896e-06;H4C14/H4C15/H3C12/H3C1;4
BP;GO:0034723;DNA replication-dependent nucleosome organization;4/22;27/12357;1,28708791484118e-07;5,2019803224831e-06;4,03061741752896e-06;H4C14/H4C15/H3C12/H3C1;4
BP;GO:0002227;innate immune response in mucosa;3/22;10/12357;5,83056980969736e-07;2,17525104438709e-05;1,68543596928094e-05;H2BC21/H2BC7/H2BS1;3
BP;GO:0002385;mucosal immune response;3/22;14/12357;1,76046098503174e-06;6,0987398410028e-05;4,72544790719045e-05;H2BC21/H2BC7/H2BS1;3
BP;GO:0002251;organ or tissue specific immune response;3/22;15/12357;2,19803827406396e-06;7,10699041947346e-05;5,50666430765497e-05;H2BC21/H2BC7/H2BS1;3
