ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0009060;aerobic respiration;109/3053;174/12357;1,63950907100135e-26;8,81072174756124e-23;7,55899971682727e-23;CCNB1/VCP/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/ATP5F1A/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/IDH3A/NDUFAB1/ACO2/NDUFB10/NDUFA4/MSH2/NDUFS7/PPIF/NDUFS3/DLD/COX6B1/ATP5F1B/NOP53/IDH3G/SDHB/CYC1/NDUFB7/UQCRH/UQCR10/MDH1/RHOA/MDH2/IDH3B/FXN/ATP5MF/PDHA1/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/ATP5PF/NDUFC1/ACO1/NDUFA6/DGUOK/NDUFS8/UQCRQ/OGDH/ATP5PB/NDUFS6/COX7B/SHMT2/NDUFB6/NDUFV1/STOML2/NDUFA9/CS/NDUFS5/ATP5F1E/ATP5F1D/SLC25A23/COX6C/NDUFB1/IDE/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/FH/UQCR11/PDHB/ATP5ME/COX7A2/COA6/CHCHD10/NDUFS2/NDUFA12/ATP5PO/PINK1/SNCA/ATP5PD/ATP5MG/BLOC1S1/AKT1/MTFR1/ANTKMT/SLC25A14/CDK1/ISCU/NDUFA3/ARL2/NDUFA5/ATP5F1C/NIPSNAP2/UQCRHL/SUCLG2/NDUFB4;109
BP;GO:0006119;oxidative phosphorylation;88/3053;129/12357;1,55058680154951e-25;4,16642673576354e-22;3,57451062672993e-22;CCNB1/VCP/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/ATP5F1A/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/NDUFAB1/NDUFB10/NDUFA4/MSH2/NDUFS7/PPIF/NDUFS3/DLD/COX6B1/ATP5F1B/CYC1/NDUFB7/UQCRH/UQCR10/RHOA/FXN/ATP5MF/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/ATP5PF/NDUFC1/NDUFA6/DGUOK/NDUFS8/UQCRQ/ATP5PB/NDUFS6/COX7B/SHMT2/NDUFB6/NDUFV1/STOML2/NDUFA9/NDUFS5/ATP5F1E/ATP5F1D/SLC25A23/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/UQCR11/ATP5ME/COX7A2/COA6/CHCHD10/NDUFS2/NDUFA12/ATP5PO/PINK1/SNCA/ATP5PD/ATP5MG/ANTKMT/CDK1/ISCU/NDUFA3/NDUFA5/ATP5F1C/NIPSNAP2/UQCRHL/NDUFB4;88
BP;GO:0002181;cytoplasmic translation;92/3053;143/12357;8,59584491431101e-24;1,53980235231691e-20;1,32104563946253e-20;RPS9/RPL24/RPL18/RPS15/EIF4G1/RPL6/RPS4X/RPL41/RPS19/DPH2/EIF4A1/RPS21/RPLP0P6/GSPT1/EIF3B/RPL34/RPL10/RPS24/RPLP1/RPS6/RPS20/UBA52/RPS3A/RPL35A/RPL28/RPL23A/RPL31/RPS14/RPLP0/RPS25/RPS26/RPL35/RPS28/EIF3A/RPS3/RPL29/RPL26L1/RPS7/RPS23/EIF3J/RPS5/RPL36A/RPL8/RPLP2/EIF3I/RPL3/RPL9/FTSJ1/RPL19/RPL37A/MTOR/ETF1/RPL7/RPL27/RPS17/CNBP/RPSA/RPS11/RPL5/RPL17/RPL39/EIF4H/EIF3G/RPL30/RPL7A/DRG1/RPS16/RPL15/PKM/RPL22/EIF3K/RPL13/RPL13A/RPS10/RPL36/RPL18A/EIF2S2/ZC3H15/RPS18/RPS8/YBX3/EIF3CL/RPL4/RPS12/RPL32/RPS13/RPS27A/TMA7/RPS27/RPL22L1/EIF2B3/RPL26;92
BP;GO:0045333;cellular respiration;115/3053;211/12357;9,67938951392876e-21;1,30042598119633e-17;1,11567700186863e-17;CCNB1/PRELID1/VCP/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/ATP5F1A/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/IDH3A/NDUFAB1/ACO2/NDUFB10/NDUFA4/MSH2/NDUFS7/PPIF/NDUFS3/DLD/COX6B1/ATP5F1B/NOP53/IDH3G/SDHB/CYC1/NDUFB7/UQCRH/UQCR10/MDH1/RHOA/MDH2/IDH3B/SLC25A13/FXN/ATP5MF/PDHA1/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/ATP5PF/NDUFC1/ACO1/NDUFA6/TRAP1/DGUOK/NDUFS8/UQCRQ/OGDH/ATP5PB/NDUFS6/COX7B/SHMT2/NDUFB6/NDUFV1/STOML2/NDUFA9/CS/NDUFS5/ATP5F1E/ATP5F1D/SLC25A23/COX6C/NDUFB1/IDE/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/FH/UQCR11/PDHB/ATP5ME/COX7A2/COA6/CHCHD10/NDUFS2/NDUFA12/ATP5PO/PINK1/SNCA/ATP5PD/ATP5MG/BLOC1S1/AKT1/MTFR1/ANTKMT/SLC25A14/CDK1/GPD2/ISCU/PNPT1/NDUFA3/ARL2/NDUFA5/GBA/ATP5F1C/NIPSNAP2/UQCRHL/SUCLG2/NDUFB4;115
BP;GO:0042773;ATP synthesis coupled electron transport;63/3053;88/12357;2,21637667933978e-20;1,985134712462e-17;1,70311050096636e-17;CCNB1/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/NDUFAB1/NDUFB10/NDUFA4/NDUFS7/NDUFS3/DLD/CYC1/NDUFB7/UQCRH/UQCR10/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/NDUFC1/NDUFA6/DGUOK/NDUFS8/UQCRQ/NDUFS6/NDUFB6/NDUFV1/NDUFA9/NDUFS5/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/UQCR11/COX7A2/COA6/NDUFS2/NDUFA12/PINK1/SNCA/CDK1/ISCU/NDUFA3/NDUFA5/UQCRHL/NDUFB4;63
BP;GO:0042775;mitochondrial ATP synthesis coupled electron transport;63/3053;88/12357;2,21637667933978e-20;1,985134712462e-17;1,70311050096636e-17;CCNB1/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/NDUFAB1/NDUFB10/NDUFA4/NDUFS7/NDUFS3/DLD/CYC1/NDUFB7/UQCRH/UQCR10/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/NDUFC1/NDUFA6/DGUOK/NDUFS8/UQCRQ/NDUFS6/NDUFB6/NDUFV1/NDUFA9/NDUFS5/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/UQCR11/COX7A2/COA6/NDUFS2/NDUFA12/PINK1/SNCA/CDK1/ISCU/NDUFA3/NDUFA5/UQCRHL/NDUFB4;63
BP;GO:0022900;electron transport chain;90/3053;157/12357;1,99835173867785e-18;1,53416317766497e-15;1,3162076113397e-15;CCNB1/AKR1B1/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/ADH5/NDUFAB1/NDUFB10/NDUFA4/DEGS1/NDUFS7/NDUFS3/DLD/COX6B1/ENOX2/SDHB/CYC1/NDUFB7/UQCRH/UQCR10/IDH3B/SLC25A13/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/PHGDH/ETFA/NDUFC1/NDUFA6/DGUOK/NDUFS8/UQCRQ/NDUFS6/COX7B/NDUFB6/NDUFV1/NDUFA9/NDUFS5/PDIA5/NDUFA13/QDPR/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/GSR/UQCRB/SDHD/POR/ALDH2/FDX1/NDUFB5/NDUFA7/UQCR11/ALDH4A1/COX7A2/COA6/NDUFS2/COX11/NDUFA12/PINK1/SNCA/CYBA/ME2/CIAPIN1/CDK1/GPD2/ISCU/NDUFA3/NQO2/DHRS2/NDUFA5/GBA/UQCRHL/NDUFB4;90
BP;GO:0015980;energy derivation by oxidation of organic compounds;131/3053;269/12357;7,13773110456382e-18;4,79477086949075e-15;4,11358713657757e-15;CCNB1/PRELID1/VCP/PPP1CA/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/ATP5F1A/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/PPP1CB/IDH3A/NDUFAB1/ACO2/HMGB1/NDUFB10/NDUFA4/MSH2/NDUFS7/PPIF/NDUFS3/DLD/COX6B1/ATP5F1B/NOP53/PYGB/IDH3G/SDHB/CYC1/NDUFB7/SELENOS/UQCRH/UQCR10/MDH1/RHOA/MDH2/IDH3B/SLC25A13/PTGES3/FXN/ATP5MF/PDHA1/SDHA/NDUFA8/MTOR/ACADVL/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/ATP5PF/NDUFC1/GYG1/ACO1/NDUFA6/TRAP1/DGUOK/NDUFS8/UQCRQ/OGDH/ATP5PB/NDUFS6/COX7B/SHMT2/NDUFB6/GYS1/PPP1CC/NDUFV1/PPP1R2/STOML2/NDUFA9/CS/NDUFS5/ATP5F1E/ATP5F1D/SLC25A23/COX6C/NDUFB1/IDE/NDUFB3/NDUFC2-KCTD14/UQCRB/AGL/SDHD/NDUFB5/NDUFA7/FH/UQCR11/PDHB/ATP5ME/COX7A2/COA6/CHCHD10/UGP2/INPP5K/NDUFS2/NDUFA12/ATP5PO/PINK1/SNCA/GSK3A/ATP5PD/ATP5MG/BLOC1S1/AKT1/MTFR1/ANTKMT/SLC25A14/CDK1/GPD2/ISCU/PNPT1/NDUFA3/ARL2/NDUFA5/GBA/ATP5F1C/NIPSNAP2/UQCRHL/SUCLG2/NDUFB4;131
BP;GO:0046034;ATP metabolic process;118/3053;236/12357;2,47597976487975e-17;1,47843502849598e-14;1,26839665148226e-14;PARP1/CCNB1/HSPA8/VCP/NDUFA1/UQCRC1/TPI1/NDUFC2/NDUFA2/EIF6/PARK7/ATP5F1A/COX6A1/COX4I1/COX8A/COX7C/HSPA1A/HSPA1B/CHCHD2/GHITM/COX5B/ENO1/NDUFB2/NDUFAB1/NDUFB10/NDUFA4/TMSB4X/MSH2/NDUFS7/PPIF/NDUFS3/DLD/COX6B1/ATP5F1B/NADK/ATP6V1B2/CYC1/NDUFB7/CLPX/UQCRH/UQCR10/RHOA/SLC25A13/ATP6V0C/FXN/ATP5MF/SDHA/NDUFA8/GIT1/SDHC/ATP6V1A/CYCS/COX5A/NDUFB9/BID/NDUFB8/ATP5PF/NDUFC1/CTNS/NDUFA6/PRXL2C/DGUOK/NDUFS8/UQCRQ/OGDH/ATP5PB/NDUFS6/COX7B/PKM/SHMT2/NDUFB6/NDUFV1/ATP5MC3/GUK1/STOML2/NDUFA9/NDUFS5/ATP5F1E/ATP5F1D/SLC25A23/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/JMJD8/BAD/ATP5MC1/UQCRB/SDHD/NDUFB5/NDUFA7/ATP5IF1/UQCR11/ATP5ME/COX7A2/COA6/CHCHD10/NDUFS2/NDUFA12/ATP5PO/PINK1/SNCA/ATP5PD/ATP5MG/DMAC2L/ANTKMT/TSPO/PRKAG1/CDK1/ISCU/FOXK1/NDUFA3/ARL2/NDUFA5/ATP5F1C/NIPSNAP2/UQCRHL/NDUFB4;118
BP;GO:0022904;respiratory electron transport chain;67/3053;107/12357;8,72658147628871e-17;4,68966488535755e-14;4,023413354331e-14;CCNB1/NDUFA1/UQCRC1/NDUFC2/NDUFA2/PARK7/COX6A1/COX4I1/COX8A/COX7C/CHCHD2/GHITM/COX5B/NDUFB2/NDUFAB1/NDUFB10/NDUFA4/NDUFS7/NDUFS3/DLD/SDHB/CYC1/NDUFB7/UQCRH/UQCR10/SLC25A13/SDHA/NDUFA8/SDHC/CYCS/COX5A/NDUFB9/BID/NDUFB8/NDUFC1/NDUFA6/DGUOK/NDUFS8/UQCRQ/NDUFS6/NDUFB6/NDUFV1/NDUFA9/NDUFS5/COX6C/NDUFB1/NDUFB3/NDUFC2-KCTD14/UQCRB/SDHD/NDUFB5/NDUFA7/UQCR11/COX7A2/COA6/NDUFS2/NDUFA12/PINK1/SNCA/CDK1/GPD2/ISCU/NDUFA3/NDUFA5/GBA/UQCRHL/NDUFB4;67
