ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0007186;G protein-coupled receptor signaling pathway;92/1261;426/12357;1,41547123264646e-12;6,42623939621494e-09;6,11334575531415e-09;CNTN2/OR2AT4/TAS2R4/ARRDC3/RGS17/RRH/NPR3/GPR61/TAS2R5/HRH4/GPR85/OR9A4/RGS4/RGS13/PDE4D/CELSR3/PLCE1/GPRASP1/PTAFR/RGS5/PHF24/AKAP5/OR9A1P/DGKI/HCAR1/ADCYAP1R1/C3/PRLHR/VN1R1/ADCY4/CDK5R1/CACNA1D/OR5AU1/GPR19/OR11H4/CHRM5/LGR5/ADCY5/OR4F17/PYY/PDE6G/GPR32/PREX2/SLC24A4/PTGER4/PDE4B/S1PR1/RGS1/PDC/ACKR4/SSTR2/HCAR2/NPY6R/OR4F16/TAS2R3/GPR83/OR1F1/ADGRA2/ADGRB3/TAS2R38/LHCGR/GNRHR/GPR156/GPR151/OR1L4/OR1L6/OR1F2P/RORB/TAC3/OR4F29/TSHR/OR10AD1/ADGRF3/OR4F3/TAS2R42/HTR2C/OR52W1/HCAR3/CRHR1/OR8D1/OR4F21/GLRA1/DNM1/MRAP2/RGS3/ACP3/BECN2/GNGT1/GPR162/RGS16/MGLL/TAS2R9;92
BP;GO:0050911;detection of chemical stimulus involved in sensory perception of smell;18/1261;29/12357;1,48361782322573e-11;2,63321610402853e-08;2,50500479360748e-08;OR2AT4/OR9A4/OR9A1P/OR5AU1/OR11H4/OR4F17/SLC24A4/OR4F16/OR1F1/OR1L4/OR1L6/OR1F2P/OR4F29/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21;18
BP;GO:0050907;detection of chemical stimulus involved in sensory perception;24/1261;51/12357;1,99884727310882e-11;2,63321610402853e-08;2,50500479360748e-08;OR2AT4/TAS2R4/TAS2R5/OR9A4/PKD1L3/OR9A1P/OR5AU1/OR11H4/OR4F17/SLC24A4/OR4F16/TAS2R3/OR1F1/TAS2R38/OR1L4/OR1L6/OR1F2P/OR4F29/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21/TAS2R9;24
BP;GO:0009593;detection of chemical stimulus;28/1261;68/12357;2,32001418857139e-11;2,63321610402853e-08;2,50500479360748e-08;OR2AT4/TAS2R4/TAS2R5/OR9A4/PKD1L3/OR9A1P/C4B/OR5AU1/OR11H4/OR4F17/SLC24A4/OR4F16/TAS2R3/OR1F1/TAS2R38/OR1L4/OR1L6/OR1F2P/OR4F29/KCNMB2/TGFB3/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21/TLR1/TAS2R9;28
BP;GO:0007600;sensory perception;70/1261;321/12357;4,71518131340301e-10;4,28138463256993e-07;4,07292398503001e-07;TRPM3/OR2AT4/LRP2/TAS2R4/LRIT3/RRH/TAS2R5/SLC26A4/KCNJ10/OR9A4/MYO1A/FAM161A/LHFPL3/PTAFR/RIPOR2/DHRS3/KRT12/CABP4/PHF24/PKD1L3/OR9A1P/SLC17A8/MARVELD2/GUCA1B/CACNA1D/OR5AU1/OR11H4/POU6F2/IMPG2/LHFPL4/PDE6C/OR4F17/RPGRIP1/PDE6G/HOXA1/HMCN1/SLC24A4/TECTA/PDC/CRYBA1/OR4F16/COL11A2/TAS2R3/OR1F1/TAS2R38/PPEF2/COL2A1/STRC/OR1L4/OR1L6/OR1F2P/RORB/OR4F29/PJVK/OR10AD1/OR4F3/OR52W1/RAB3A/RETREG1/OR8D1/OR4F21/GLRA1/SLITRK6/MBP/ACP3/RGS16/MGLL/TAS2R9/USH1C/RDH12;70
BP;GO:0050906;detection of stimulus involved in sensory perception;28/1261;80/12357;2,01086893723073e-09;1,52155749583792e-06;1,44747285078205e-06;OR2AT4/TAS2R4/TAS2R5/OR9A4/PHF24/PKD1L3/OR9A1P/OR5AU1/OR11H4/OR4F17/SLC24A4/OR4F16/TAS2R3/OR1F1/TAS2R38/PPEF2/STRC/OR1L4/OR1L6/OR1F2P/OR4F29/PJVK/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21/TAS2R9;28
BP;GO:0051606;detection of stimulus;43/1261;163/12357;3,0868044689492e-09;2,00201318414705e-06;1,9045351482855e-06;TRPM3/OR2AT4/TAS2R4/PKD1L1/RRH/TAS2R5/OR9A4/PKDREJ/SOX4/CABP4/PHF24/PKD1L3/OR9A1P/C4B/OR5AU1/OR11H4/PDE6C/OR4F17/SLC24A4/PDC/OR4F16/TAS2R3/OR1F1/TAS2R38/PPEF2/STRC/OR1L4/OR1L6/OR1F2P/OR4F29/KCNMB2/PJVK/TGFB3/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21/FOXF1/TLR1/GNGT1/NLRC4/TAS2R9;43
BP;GO:0007608;sensory perception of smell;18/1261;39/12357;9,84639212082338e-09;5,58782752856727e-06;5,31575616733399e-06;OR2AT4/OR9A4/OR9A1P/OR5AU1/OR11H4/OR4F17/SLC24A4/OR4F16/OR1F1/OR1L4/OR1L6/OR1F2P/OR4F29/OR10AD1/OR4F3/OR52W1/OR8D1/OR4F21;18
BP;GO:0003341;cilium movement;32/1261;111/12357;3,29447597618509e-08;1,66188010354226e-05;1,58096314974122e-05;DNAH11/ATP1A4/DNHD1/CATSPERD/DNAI4/ADCY10/CFAP43/RSPH4A/CFAP54/SLC9B1/CFAP206/CFAP70/TEKT2/FSIP2/CELF3/CFAP221/ZBBX/DNAH17/HYDIN/DNAI1/CFAP53/DNAI3/SLC22A14/SEPTIN4/SPAG17/CFAP251/DRC1/MEIG1/ODAD3/ZMYND10/TEKT3/ODAD4;32
BP;GO:0002684;positive regulation of immune system process;89/1261;494/12357;5,13566232946435e-08;2,33159069757681e-05;2,21806553029392e-05;IL23R/JUN/CEACAM1/C1S/KLRD1/VTCN1/MYO1G/KLRK1/BTK/BTN3A1/CD226/IL17F/IL34/RASGRP1/HES1/PDE4D/ERMAP/LTA/SOX4/UNC13D/PTAFR/RIPOR2/THEMIS2/C2/CSF1/CD40LG/ROR2/C4B/AGER/C3/CD74/KLRC2/CD38/HAVCR2/PTPN22/SELP/NFKBIZ/C4A/HCLS1/DUSP10/GPR32/MMP14/TNFSF13/CXCL17/NFATC2/PDE4B/CFB/HLA-DQA1/ITGA2B/HMOX1/HCAR2/SKAP1/HHLA2/RAET1E/BTN2A2/JAM2/JAK3/ZBTB16/FCER1G/GPR151/VAV3/LAT2/HLA-DMA/FYB2/TGFB2/IRAK3/BST1/BTN3A3/PLA2G6/IFI35/COLEC11/IRF7/MASP2/MYB/IL13/CD160/MZB1/CARD9/FOXF1/SPON2/LPXN/SLA2/NLRC4/MAP3K8/PGF/DAPK2/PRAM1/BCL6/HPX;89
