ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0009060;aerobic respiration;112/3278;172/12552;3,99255830361724e-27;2,17833981045356e-23;1,88490778860245e-23;NDUFA1/CCNB1/VCP/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/ATP5F1A/COX4I1/CHCHD2/ATP5F1B/MDH2/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/GHITM/MDH1/NDUFAB1/COX5B/ATP5MF/UQCRH/COX6B1/NDUFB2/NDUFB10/ACO2/PDHA1/NDUFS5/COX7B/CYCS/IDH3B/SDHB/DLD/UQCRQ/COX6C/COX5A/MSH2/ATP5PF/STOML2/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/IDH3A/SDHA/ATP5PB/NDUFA6/SHMT2/IDH3G/NDUFS6/PPIF/NOP53/PINK1/RHOA/UQCRB/DGUOK/NDUFA8/NDUFC1/ATP5MG/PDHB/COX7A2/NDUFB3/BID/CS/SDHD/NDUFS8/NDUFS2/ATP5PO/NDUFA7/ATP5ME/NDUFB9/ATP5F1E/UQCR11/ACO1/SLC25A23/FXN/NDUFS7/ARL2/NDUFB1/COA6/ATP5PD/OGDH/NDUFS3/CHCHD10/NDUFA12/IDE/ATP5F1C/AKT1/NDUFB5/ATP5F1D/FH/UQCRHL/COX7A2L/CDK1/NDUFB4/OXA1L/ISCU/SLC25A14/BLOC1S1/NDUFV2/MTFR1/SNCA/ANTKMT/SUCLG1/NDUFA3/SUCLG2/CAT/IDH1/NDUFS4;112
BP;GO:0002181;cytoplasmic translation;95/3278;144/12552;7,92537660945964e-24;2,16204273906059e-20;1,87080600491718e-20;RPS9/RPL18/RPL41/RPS19/RPS4X/RPL24/RPL10/RPL6/RPS3A/RPS15/RPS20/RPL23A/RPS6/RPL29/RPS25/RPL3/RPS21/RPS3/RPL34/EIF4G1/EIF4A1/UBA52/RPS24/RPLP0/RPL35A/RPS14/RPL31/RPL7/RPS17/RPL19/RPS23/RPS8/RPL8/RPL7A/RPS7/RPL9/RPL35/RPL37A/RPS11/RPS28/RPS5/RPL5/RPLP2/GSPT1/RPL17/RPL13/RPS26/RPL27/RPL28/RPL36/RPL36A/EIF3B/EIF3I/RPS16/RPLP1/CNBP/RPL4/RPL39/RPL13A/PKM/RPL18A/DPH2/RPL15/RPL30/RPL26L1/EIF3A/RPS10/EIF4H/EIF3G/RPS18/EIF3C/RPL27A/EIF3J/EIF3F/RPL22/RPL32/EIF2S2/RPS13/RPL14/EIF3K/EIF2S3/YBX3/EIF5/TMA7/RPS27/MTOR/RPL26/RPL12/FTSJ1/DRG1/RPL22L1/EIF3L/RPS29/RPLP0P6/DPH1;95
BP;GO:0006119;oxidative phosphorylation;87/3278;128/12552;2,74117942019104e-23;4,98529163885411e-20;4,31375077177432e-20;NDUFA1/CCNB1/VCP/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/ATP5F1A/COX4I1/CHCHD2/ATP5F1B/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/GHITM/NDUFAB1/COX5B/ATP5MF/UQCRH/COX6B1/NDUFB2/NDUFB10/NDUFS5/COX7B/CYCS/DLD/UQCRQ/COX6C/COX5A/MSH2/ATP5PF/STOML2/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/SDHA/ATP5PB/NDUFA6/SHMT2/NDUFS6/PPIF/PINK1/RHOA/UQCRB/DGUOK/NDUFA8/NDUFC1/ATP5MG/COX7A2/NDUFB3/BID/SDHD/NDUFS8/NDUFS2/ATP5PO/NDUFA7/ATP5ME/NDUFB9/ATP5F1E/UQCR11/SLC25A23/FXN/NDUFS7/NDUFB1/COA6/ATP5PD/NDUFS3/CHCHD10/NDUFA12/ATP5F1C/NDUFB5/ATP5F1D/UQCRHL/COX7A2L/CDK1/NDUFB4/ISCU/NDUFV2/SNCA/ANTKMT/NDUFA3/NDUFS4;87
BP;GO:0042773;ATP synthesis coupled electron transport;63/3278;87/12552;1,82020188994187e-19;1,67398290281622e-16;1,44848999057161e-16;NDUFA1/CCNB1/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/COX4I1/CHCHD2/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/GHITM/NDUFAB1/COX5B/UQCRH/NDUFB2/NDUFB10/NDUFS5/CYCS/DLD/UQCRQ/COX6C/COX5A/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/SDHA/NDUFA6/NDUFS6/PINK1/UQCRB/DGUOK/NDUFA8/NDUFC1/COX7A2/NDUFB3/BID/SDHD/NDUFS8/NDUFS2/NDUFA7/NDUFB9/UQCR11/NDUFS7/NDUFB1/COA6/NDUFS3/NDUFA12/NDUFB5/UQCRHL/COX7A2L/CDK1/NDUFB4/ISCU/NDUFV2/SNCA/NDUFA3/NDUFS4;63
BP;GO:0042775;mitochondrial ATP synthesis coupled electron transport;63/3278;87/12552;1,82020188994187e-19;1,67398290281622e-16;1,44848999057161e-16;NDUFA1/CCNB1/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/COX4I1/CHCHD2/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/GHITM/NDUFAB1/COX5B/UQCRH/NDUFB2/NDUFB10/NDUFS5/CYCS/DLD/UQCRQ/COX6C/COX5A/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/SDHA/NDUFA6/NDUFS6/PINK1/UQCRB/DGUOK/NDUFA8/NDUFC1/COX7A2/NDUFB3/BID/SDHD/NDUFS8/NDUFS2/NDUFA7/NDUFB9/UQCR11/NDUFS7/NDUFB1/COA6/NDUFS3/NDUFA12/NDUFB5/UQCRHL/COX7A2L/CDK1/NDUFB4/ISCU/NDUFV2/SNCA/NDUFA3/NDUFS4;63
BP;GO:0045333;cellular respiration;116/3278;210/12552;1,84089028902077e-19;1,67398290281622e-16;1,44848999057161e-16;NDUFA1/CCNB1/VCP/PRELID1/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/ATP5F1A/COX4I1/CHCHD2/ATP5F1B/MDH2/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/GHITM/MDH1/NDUFAB1/COX5B/ATP5MF/UQCRH/COX6B1/NDUFB2/NDUFB10/ACO2/PDHA1/NDUFS5/TRAP1/COX7B/CYCS/IDH3B/SDHB/DLD/UQCRQ/COX6C/COX5A/MSH2/ATP5PF/STOML2/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/IDH3A/SDHA/ATP5PB/NDUFA6/SHMT2/IDH3G/NDUFS6/PPIF/NOP53/PINK1/RHOA/UQCRB/DGUOK/NDUFA8/NDUFC1/ATP5MG/PDHB/COX7A2/NDUFB3/BID/CS/SDHD/NDUFS8/NDUFS2/ATP5PO/NDUFA7/ATP5ME/NDUFB9/ATP5F1E/UQCR11/MYBBP1A/ACO1/SLC25A23/FXN/NDUFS7/ARL2/NDUFB1/COA6/ATP5PD/OGDH/NDUFS3/CHCHD10/NDUFA12/IDE/ATP5F1C/GBA/AKT1/NDUFB5/ATP5F1D/FH/UQCRHL/COX7A2L/CDK1/NDUFB4/OXA1L/ISCU/SLC25A14/BLOC1S1/NDUFV2/MTFR1/SNCA/ANTKMT/SUCLG1/NDUFA3/SUCLG2/CAT/IDH1/NDUFS4;116
BP;GO:0046034;ATP metabolic process;124/3278;236/12552;2,55828457656459e-18;1,99400009281949e-15;1,72539944750258e-15;PARP1/HSPA8/HSPA1B/TPI1/ENO1/NDUFA1/CCNB1/VCP/COX6A1/COX8A/COX7C/UQCRC1/NDUFC2/ATP5F1A/COX4I1/CHCHD2/ATP5F1B/UQCR10/NDUFA2/EIF6/NDUFB8/NDUFA4/PARK7/TMSB4X/GHITM/NDUFAB1/COX5B/ATP5MF/UQCRH/COX6B1/NDUFB2/PKM/NDUFB10/NDUFS5/COX7B/CYCS/DLD/UQCRQ/COX6C/COX5A/MSH2/ATP5PF/STOML2/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/SDHA/GUK1/GPI/ATP5MC3/ATP5PB/NDUFA6/SHMT2/NDUFS6/PPIF/PGK1/GIT1/CTNS/PINK1/ATP6V0C/NADK/RHOA/UQCRB/DGUOK/ATP5IF1/NDUFA8/NUDT5/NDUFC1/ATP6V1B2/ATP5MG/COX7A2/ATP5MC1/NDUFB3/BID/SDHD/NDUFS8/NDUFS2/ATP5PO/NDUFA7/ATP5ME/NDUFB9/ATP6V1A/ATP5F1E/PRXL2C/UQCR11/SLC25A23/CLPX/HK1/FXN/NDUFS7/ARL2/NDUFB1/JMJD8/COA6/ATP5PD/OGDH/TSPO/BAD/NDUFS3/CHCHD10/NDUFA12/APP/ATP5F1C/PFKL/NDUFB5/ATP5F1D/FOXK1/UQCRHL/COX7A2L/CDK1/DMAC2L/NDUFB4/ISCU/TP53/NDUFV2/SNCA/ANTKMT/HSPA1A/NDUFA3/AK1/TGFB1/NDUFS4;124
BP;GO:0022613;ribonucleoprotein complex biogenesis;198/3278;442/12552;4,73425990651363e-18;3,22876525624229e-15;2,79383627377811e-15;HSP90AA1/RPS19/RPL24/RPL10/HSP90AB1/RPL6/RPS15/RPL23A/RPS6/RPS25/RPL3/RPS21/SNRPB/C1QBP/RPS24/RPLP0/RPL35A/RPS14/RPL7/NPM1/RPS17/RUVBL2/RPS8/RPL7A/RPS7/RPL35/LYAR/RPS28/TRMT112/RPS5/RPL5/EIF6/FBL/RPL7L1/RPL27/PUF60/NOLC1/RPF1/PTGES3/SNRPD2/EBNA1BP2/SF3A1/SNRNP200/GLUL/SBDS/EIF3B/DDX27/EIF3I/PRMT5/RPS16/SNRPG/SNRPD3/RPL13A/NOC2L/DDX1/SRSF9/PRPF8/DDX54/XRCC5/DKC1/DDX18/RPL26L1/NHP2/DDX23/EIF3A/WBP11/EIF4H/PRPF19/MRPL20/EIF3G/FTSJ3/EXOSC10/WDR18/DDX52/EIF3C/ABCE1/SNU13/EIF3J/LSM4/DDX17/TBL3/EIF3F/SNRPF/BMS1/SNRPE/DHX30/EIF2S2/WDR46/NOP53/EIF4A3/NOP14/RPP30/RPL14/EIF3K/ERAL1/RUVBL1/EIF2S3/DHX37/NOC4L/EIF5/IMP4/ADAR/NOL11/PRPF6/PES1/ABT1/TSR3/SF3A3/NOP16/SRPK1/SCAF11/FCF1/DCAF13/RPS27/SNRPC/NGDN/HEATR3/IMP3/RAMAC/BUD23/RPUSD4/SF3B1/UTP11/PRPF31/NOP10/SART1/SLU7/STRAP/PA2G4/CRNKL1/DDX3X/TAF9/RRP7A/XRN2/RSL24D1/SRSF6/RPL26/AGO1/DDX47/MYBBP1A/COIL/RRS1/NCBP1/TSR2/GAR1/RAN/SRSF5/PWP1/RRP12/KRR1/RRP1B/EIF2A/NPM3/EIF3L/RRP9/TXNL4A/RPUSD1/UTP25/SHQ1/GTF3A/YJU2/MRPS7/EXOSC4/REXO4/CELF2/EMG1/ERI3/DIMT1/NUP88/PWP2/NSUN5/RPLP0P6/TRAF7/GEMIN2/EXOSC6/ERCC2/NOL6/MRTO4/UTP4/MPHOSPH6/POP5/RIOK2/PIH1D1/EXOSC5/RRP1/GEMIN7/TARBP2/MPV17L2/RPP40/MRPS2/ISY1/EXOSC1/MRPL1/XAB2/CLP1/SF3A2/SUV39H1/FRG1;198
BP;GO:0022900;electron transport chain;91/3278;156/12552;1,30328771437529e-17;7,90081974403512e-15;6,83654432628444e-15;NDUFA1/CCNB1/COX6A1/AKR1B1/COX8A/COX7C/UQCRC1/NDUFC2/COX4I1/CHCHD2/UQCR10/NDUFA2/NDUFB8/NDUFA4/PARK7/PHGDH/GHITM/NDUFAB1/NDUFA13/COX5B/UQCRH/COX6B1/DEGS1/NDUFB2/NDUFB10/ADH5/NDUFS5/COX7B/CYCS/IDH3B/SDHB/DLD/UQCRQ/COX6C/COX5A/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/SDHA/NDUFA6/NDUFS6/ETFA/PINK1/UQCRB/ENOX2/DGUOK/NDUFA8/NDUFC1/CYBA/COX7A2/NDUFB3/BID/SDHD/NDUFS8/NDUFS2/NDUFA7/NDUFB9/UQCR11/MYBBP1A/DHRS2/NDUFS7/ME2/NDUFB1/COA6/NDUFS3/NDUFA12/COX11/GBA/NDUFB5/POR/UQCRHL/CIAPIN1/GLDC/COX7A2L/CDK1/NDUFB4/ALDH2/ISCU/QDPR/PDIA5/NDUFV2/SNCA/NDUFA3/ALDH4A1/FDX1/P4HA2/NQO2/AKR7A2/NDUFS4;91
BP;GO:0006091;generation of precursor metabolites and energy;182/3278;403/12552;4,09225746345974e-17;2,23273567206363e-14;1,93197628669652e-14;TPI1/ENO1/NDUFA1/CCNB1/VCP/PRELID1/COX6A1/AKR1B1/COX8A/COX7C/UQCRC1/NDUFC2/ATP5F1A/COX4I1/CHCHD2/ATP5F1B/HMGB1/MDH2/UQCR10/NDUFA2/EIF6/NDUFB8/NDUFA4/PTGES3/PARK7/PHGDH/PPP1CA/GHITM/MDH1/NDUFAB1/NDUFA13/COX5B/ATP5MF/UQCRH/COX6B1/DEGS1/NDUFB2/PKM/NDUFB10/ACO2/ADH5/PDHA1/PGD/NDUFS5/TRAP1/COX7B/CYCS/IDH3B/PPP1CB/SDHB/DLD/UQCRQ/COX6C/COX5A/MSH2/ATP5PF/STOML2/NDUFB6/NDUFB7/SDHC/NDUFV1/CYC1/IDH3A/SDHA/SELENOS/GPI/ATP5PB/NDUFA6/SHMT2/IDH3G/NDUFS6/PPIF/ACADVL/PGK1/ETFA/NOP53/TALDO1/GIT1/PINK1/RHOA/PYGL/PYGB/UQCRB/ENOX2/DGUOK/ATP5IF1/COX17/NDUFA8/PPP1CC/ACAT1/NDUFC1/CYBA/ATP5MG/PDHB/GYS1/COX7A2/MTOR/NDUFB3/BID/CS/SDHD/G6PD/TKT/NDUFS8/RPIA/NDUFS2/ATP5PO/NDUFA7/ATP5ME/NDUFB9/ATP5F1E/PRXL2C/UQCR11/MYBBP1A/ACO1/SLC25A23/HK1/FXN/DHRS2/NDUFS7/ARL2/ME2/NDUFB1/JMJD8/COA6/ATP5PD/OGDH/PPP1R2/NDUFS3/CHCHD10/NDUFA12/APP/IDE/COX11/ATP5F1C/GBA/AKT1/UGP2/PFKL/NDUFB5/ATP5F1D/FOXK1/FH/POR/UQCRHL/CIAPIN1/GLDC/COX7A2L/CDK1/NDUFB4/OXA1L/GSK3A/AACS/ALDH2/ISCU/QDPR/PDIA5/SLC25A14/TP53/BLOC1S1/STK40/NDUFV2/FECH/MTFR1/SNCA/GNPDA1/ANTKMT/SUCLG1/NDUFA3/SUCLG2/ALDH4A1/FDX1/P4HA2/SLC25A4/STBD1/CAT/NQO2/H6PD/IDH1/AKR7A2/NDUFS4/PPARD;182
