ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0007186;G protein-coupled receptor signaling pathway;84/1311;445/12552;4,12589174378656e-08;0,000191647671498886;0,00018353703693939;PTGER3/RGS17/TAS2R4/CNTN2/ARRDC3/PDE4D/OR2AT4/NPR3/RRH/HRH4/CELSR3/DGKI/AKAP5/PTAFR/GPR61/PRLHR/PLCE1/RGS13/GPR85/OR9A4/HCAR1/GPR19/PHF24/CDK5R1/GPRASP1/OR9A1P/OR4F3/TSHR/RGS5/RGS1/TAS2R5/SLC24A4/PREX2/CHRM5/OR4F17/LHCGR/LGR5/GNRHR/PDE4B/RORB/PROKR1/TAS2R3/HTR2C/OR5AU1/GRK7/GPR32/CYSLTR1/GPR83/OR11H4/TAS2R38/RGS4/ADGRL3/S1PR1/CALCRL/VN1R1/PTGER4/ADCYAP1R1/CACNA1D/OR1L6/GPR156/ADCY4/ACKR4/SSTR2/NPY6R/OR1L1/ADGRB3/PDE6G/TAC3/GPR151/GNGT1/PYY/DRD2/MGLL/SAG/BECN2/RGS5/HCAR2/HCAR3/ADCY5/MRAP2/OR1L4/PDC/RGS7/CISH;84
BP;GO:0007600;sensory perception;66/1311;341/12552;4,7055142855433e-07;0,000766760087194021;0,000734310379804415;TRPM3/TAS2R4/LRP2/OR2AT4/LRIT3/RRH/PTAFR/LHFPL3/KCNJ10/OR9A4/SLC26A4/TECTA/PHF24/IMPG2/OR9A1P/CACNB2/OR4F3/SLC17A8/HOXA1/HMCN1/RIPOR2/FAM161A/TAS2R5/LHFPL4/CABP4/SLC24A4/OR4F17/COL11A2/GUCA1B/POU6F2/VSX2/RORB/MYO1A/TAS2R3/OR5AU1/GRK7/MARVELD2/DHRS3/RETREG1/OR11H4/CLRN1/TAS2R38/PJVK/CACNA1D/OR1L6/MYO15A/MBP/OR1L1/SLITRK6/KRT12/PDE6G/CFAP69/SPX/GABRR2/DRD2/MGLL/OTOA/EYA1/ITGA2/COL2A1/CACNA2D4/GJB4/OR1L4/PDC/RPGRIP1/PPEF2;66
BP;GO:0098742;cell-cell adhesion via plasma-membrane adhesion molecules;34/1311;133/12552;5,34018230125321e-07;0,000766760087194021;0,000734310379804415;CNTN2/PCDHB13/PCDHB14/CEACAM1/PCDHB12/ROBO2/PCDHB15/CELSR3/PCDHB9/PCDHB4/PCDHB11/PCDHB10/FLRT3/PCDHB16/PCDH9/HMCN1/DCHS1/TGFB2/ITGAM/ADGRL3/PECAM1/CLDN14/PCDH10/MBP/CEACAM8/SELE/CDH12/SELP/PLXNB3/CDHR4/ITGAL/MYOT/CLDN4/CDH1;34
BP;GO:0001539;cilium or flagellum-dependent cell motility;25/1311;84/12552;8,25360696656643e-07;0,000766760087194021;0,000734310379804415;DNAH11/CFAP54/CFAP43/DNAH14/ATP1A4/FSIP2/CATSPERD/CFAP251/RFX3/RSPH4A/EFHC1/CFAP206/TEKT1/DNAH7/DNAH6/CELF3/CFAP69/DNAH17/SLC22A14/DNAI1/MEIG1/SLC26A8/ARMC2/ROPN1B/DRC1;25
BP;GO:0060285;cilium-dependent cell motility;25/1311;84/12552;8,25360696656643e-07;0,000766760087194021;0,000734310379804415;DNAH11/CFAP54/CFAP43/DNAH14/ATP1A4/FSIP2/CATSPERD/CFAP251/RFX3/RSPH4A/EFHC1/CFAP206/TEKT1/DNAH7/DNAH6/CELF3/CFAP69/DNAH17/SLC22A14/DNAI1/MEIG1/SLC26A8/ARMC2/ROPN1B/DRC1;25
BP;GO:0003341;cilium movement;30/1311;114/12552;1,27469865137396e-06;0,000986829205938673;0,0009450660527555;DNAH11/DNAI4/CFAP54/CFAP70/CFAP43/DNHD1/ATP1A4/FSIP2/HYDIN/ADCY10/CATSPERD/CFAP251/RFX3/RSPH4A/ZBBX/CFAP206/TEKT1/DNAH7/CELF3/CFAP69/CFAP221/DNAH17/SLC22A14/DNAI1/MEIG1/SLC26A8/ARMC2/CFAP53/ROPN1B/DRC1;30
BP;GO:0007156;homophilic cell adhesion via plasma membrane adhesion molecules;23/1311;77/12552;2,10198666446866e-06;0,00139481829377956;0,00133578881865331;CNTN2/PCDHB13/PCDHB14/CEACAM1/PCDHB12/ROBO2/PCDHB15/CELSR3/PCDHB9/PCDHB4/PCDHB11/PCDHB10/PCDHB16/PCDH9/HMCN1/DCHS1/PECAM1/PCDH10/CDH12/PLXNB3/CDHR4/MYOT/CDH1;23
BP;GO:0046942;carboxylic acid transport;37/1311;168/12552;8,05457773651204e-06;0,00422041483909194;0,00404180456858026;LRP2/CEACAM1/SLC6A13/SLC16A14/KCNJ10/SLC26A4/SLC6A12/SLC16A9/SLC6A20/SLC16A6/SLC35D2/SLC17A8/SLC13A3/PLA2G6/ATP1A2/SLC16A3/PLA2G12B/SLC13A5/SLC3A1/SLC25A2/LRRC8D/RGS4/SLC1A7/SLC25A18/SLCO2B1/SLC51A/TNFRSF11A/ABCC2/DRD2/SLC26A7/SLC10A1/SLC26A8/SLC7A7/GFAP/SLC26A3/SLC22A2/SLC10A5;37
BP;GO:0006813;potassium ion transport;30/1311;124/12552;8,17733768607696e-06;0,00422041483909194;0,00404180456858026;KCNJ6/KCND3/SLC12A1/KCNB1/KCNT2/KCNJ10/ATP1B4/ATP1A4/ANK2/SLC24A5/SLC9C2/ATP1A2/SLC24A4/KCNS1/KCNMB2/KCNJ8/SLC9A5/KCNJ13/RGS4/SNAP25/CACNA1D/KCNN1/SLC9A8/KCNJ12/WNK4/DRD2/AKAP6/KCNMA1/SLC12A8/KCNT1;30
BP;GO:0030198;extracellular matrix organization;41/1311;196/12552;1,02120362068431e-05;0,00449895975869921;0,00430856131443269;ADAMTS6/TLL2/TNXB/COL8A1/ADAMTS3/P4HA1/SCX/COL8A2/CCDC80/FERMT1/CPB2/COL9A1/PTX3/COL11A2/OTOL1/LOX/TGFB2/COL19A1/COL28A1/ECM2/SPOCK2/COL6A6/COL13A1/NFKB2/CTSS/PAPLN/TIE1/NDNF/ADAMTSL3/ADAMTS20/MMP14/COL4A4/FAP/FBLN5/COL2A1/AEBP1/GFAP/COL24A1/COL14A1/ADAMTSL4/COL17A1;41
BP;GO:0043062;extracellular structure organization;41/1311;197/12552;1,16227162765103e-05;0,00449895975869921;0,00430856131443269;ADAMTS6/TLL2/TNXB/COL8A1/ADAMTS3/P4HA1/SCX/COL8A2/CCDC80/FERMT1/CPB2/COL9A1/PTX3/COL11A2/OTOL1/LOX/TGFB2/COL19A1/COL28A1/ECM2/SPOCK2/COL6A6/COL13A1/NFKB2/CTSS/PAPLN/TIE1/NDNF/ADAMTSL3/ADAMTS20/MMP14/COL4A4/FAP/FBLN5/COL2A1/AEBP1/GFAP/COL24A1/COL14A1/ADAMTSL4/COL17A1;41
BP;GO:0045229;external encapsulating structure organization;41/1311;197/12552;1,16227162765103e-05;0,00449895975869921;0,00430856131443269;ADAMTS6/TLL2/TNXB/COL8A1/ADAMTS3/P4HA1/SCX/COL8A2/CCDC80/FERMT1/CPB2/COL9A1/PTX3/COL11A2/OTOL1/LOX/TGFB2/COL19A1/COL28A1/ECM2/SPOCK2/COL6A6/COL13A1/NFKB2/CTSS/PAPLN/TIE1/NDNF/ADAMTSL3/ADAMTS20/MMP14/COL4A4/FAP/FBLN5/COL2A1/AEBP1/GFAP/COL24A1/COL14A1/ADAMTSL4/COL17A1;41
BP;GO:0051606;detection of stimulus;37/1311;172/12552;1,41500047739257e-05;0,00473460125402174;0,00453423033244482;TRPM3/TAS2R4/SOX4/OR2AT4/RRH/PKDREJ/OR9A4/PKD1L1/DACH1/PHF24/OR9A1P/OR4F3/TAS2R5/CABP4/SLC24A4/OR4F17/KCNMB2/TAS2R3/OR5AU1/GRK7/SYT1/OR11H4/TAS2R38/PJVK/OR1L6/OR1L1/GNGT1/SAG/FAP/TLR1/TLR6/NLRC4/ITGA2/CACNA2D4/OR1L4/PDC/PPEF2;37
BP;GO:0071805;potassium ion transmembrane transport;28/1311;115/12552;1,42700576009267e-05;0,00473460125402174;0,00453423033244482;KCNJ6/KCND3/SLC12A1/KCNB1/KCNT2/KCNJ10/ATP1A4/ANK2/SLC24A5/SLC9C2/ATP1A2/SLC24A4/KCNS1/KCNMB2/KCNJ8/SLC9A5/KCNJ13/RGS4/SNAP25/CACNA1D/KCNN1/SLC9A8/KCNJ12/WNK4/AKAP6/KCNMA1/SLC12A8/KCNT1;28
