ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0002181;cytoplasmic translation;104/3586;143/12502;7,28543923281062e-28;3,98222108465429e-24;3,43565976452543e-24;RPS9/RPL18/RPL24/RPS15/RPS4X/RPL6/RPS19/EIF4G1/RPL41/RPS21/RPL10/RPL34/DPH2/RPS20/RPL35A/RPS3A/RPS6/RPLP1/UBA52/RPL23A/RPS25/RPS24/RPLP0/GSPT1/EIF3B/RPS26/RPL31/RPS14/RPS7/RPLP2/RPL26L1/RPS3/RPL28/RPL29/RPL35/RPL9/RPS28/RPS5/RPL3/EIF3A/EIF3I/RPL8/RPL7/RPL37A/EIF3J/RPL19/RPL5/RPL39/FTSJ1/CNBP/RPS11/RPL27/RPL7A/RPS16/RPSA/RPL15/MTOR/ETF1/EIF4H/RPL23/EIF3F/RPL13/RPL13A/RPL30/RPL36/EIF3G/PKM/DRG1/RPS18/RPS8/RPS13/RPS12/RPS23/RPL4/YBX3/RPS27A/EIF2S2/EIF3K/DHX9/RPL18A/RPL32/RPL27A/AARS1/ZC3H15/DENR/RPS27/EIF5/RPL22/EIF3H/FMR1/RPL22L1/EIF3M/RPS29/EIF3E/RPL12/EIF2S3/EIF2B3/TMA7/RPLP0P6/EEF2/RPL26/RPS10/DHX29/RPL21;104
BP;GO:0009060;aerobic respiration;110/3586;171/12502;2,2929879410893e-22;6,26673604299704e-19;5,40662419793686e-19;CCNB1/NDUFA1/VCP/COX7C/NDUFA2/CHCHD2/ATP5F1A/PARK7/UQCRC1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/NDUFA4/COX6A1/COX6B1/SDHB/UQCR10/DLD/MSH2/MDH1/NOP53/ATP5F1B/NDUFB7/IDH3B/CYC1/UQCRH/MDH2/ATP5MF/NDUFB10/PPIF/CYCS/NDUFB2/IDH3A/NDUFA8/ACO2/UQCRQ/ATP5PF/NDUFB6/RHOA/COX7B/NDUFS3/ATP5F1E/ATP5PB/PDHA1/NDUFA6/NDUFS6/COX5A/NDUFS5/SHMT2/NDUFC1/CS/SDHC/NDUFV1/NDUFB1/STOML2/NDUFB3/COX6C/IDE/IDH3G/PDHB/ATP5ME/FXN/OGDH/DGUOK/BID/UQCRB/ACO1/NDUFB9/COA6/SDHD/COX7A2/SLC25A23/NDUFS8/FH/NDUFS7/HIF1A/ATP5PD/NDUFS2/NNT/ATP5F1D/NDUFB5/NDUFA12/UQCR11/CDK1/MTFR1/OXA1L/AKT1/ISCU/CHCHD10/NDUFA5/SLC25A14/DLAT/COX7A2L/ATP5F1C/NDUFA3/ATP5PO/ANTKMT/NIPSNAP2/SUCLG2/BLOC1S1/NDUFB4/SNCA/NDUFB8/UQCRHL/NDUFS4/PINK1/ARL2;110
BP;GO:0022613;ribonucleoprotein complex biogenesis;216/3586;439/12502;2,14040316272881e-20;3,89981456249189e-17;3,36456356807897e-17;HSP90AA1/RPL24/RPS15/RPL6/RPS19/HSP90AB1/SBDS/RPS21/C1QBP/PUF60/SNRPB/RPL10/LYAR/RUVBL2/TRMT112/EBNA1BP2/DDX23/RPL35A/RPF1/DDX27/RPS6/PRMT5/RPL23A/FBL/RPS25/RPS24/RPLP0/NPM1/GLUL/SNRNP200/EIF3B/SF3A1/EIF6/DDX1/DDX18/RPL7L1/WBP11/SNRPD2/RPS14/SNRPG/RPS7/RPL26L1/RPL35/NOLC1/RPS28/RPS5/NOC2L/RPL3/NOP53/SLU7/XRCC5/MRPL20/EIF3A/EIF3I/RPL7/PTGES3/WDR18/PRPF6/FTSJ3/EIF3J/SNRPD3/DDX54/RPL5/BMS1/PRPF8/ABCE1/DKC1/ERAL1/CRNKL1/WDR46/NOC4L/HEATR3/BUD23/RPL27/RPL7A/NOP14/DCAF13/FCF1/RPS16/RPSA/ABT1/STRAP/RPP30/SART1/SRSF9/EIF4H/RRP9/SNRPE/NOL11/NOL9/CELF2/UTP25/GAR1/NSUN5/DDX52/EIF3F/SNU13/SF3B1/RPL13A/SCAF11/EXOSC10/XRN2/PRPF31/TBL3/PIH1D1/RAN/LSM4/ADAR/DDX21/SNRPF/RUVBL1/EIF3G/CUL4A/SHQ1/DHX37/NGDN/EIF4A3/RPS8/RPUSD4/RRP1B/GTF3A/TSR3/SNRPC/EIF2S2/NHP2/EIF3K/DHX9/DHX30/TSR2/RIOK2/UTP11/IMP4/DDX3X/SF3A3/PES1/PDCD11/TARBP2/TXNL4A/EXOSC5/PWP1/NOP10/MPHOSPH6/NOP9/RIOK1/DENR/EXOSC6/PRPF19/TAF9/UTP20/RPS27/EIF5/RRP7A/NOP16/NPM3/EIF2A/RRS1/PRKDC/EIF3H/MYBBP1A/SDAD1/SETX/RSL24D1/REXO4/SF1/NSA2/EIF3M/AATF/NUP88/POP7/WDR43/UTP14A/RRP12/RPUSD1/KRR1/NIFK/POP4/IMP3/CLP1/EIF3E/UTP18/SRSF5/UTP4/UTP3/MRPL1/NOL6/MRPS7/EIF2S3/ZNF622/YJU2/RPLP0P6/XAB2/AGO1/NIP7/ERI3/SRSF6/USP4/MRM3/TRAF7/POP5/RPL26/DIMT1/MRPS2/COIL/DHX29/GEMIN2/RPP40/NUFIP1/EMG1/PWP2/RIOX2/RAMAC/TFB2M/ISY1/MPV17L2/MRPL36/RBIS;216
BP;GO:0045333;cellular respiration;122/3586;208/12502;1,03745514248362e-19;1,41768245220386e-16;1,22310501008595e-16;CCNB1/NDUFA1/VCP/COX7C/NDUFA2/CHCHD2/ATP5F1A/PARK7/UQCRC1/PRELID1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/NDUFA4/COX6A1/COX6B1/SDHB/UQCR10/DLD/MSH2/MDH1/NOP53/ATP5F1B/NDUFB7/IDH3B/CYC1/UQCRH/MDH2/ATP5MF/NDUFB10/PPIF/CYCS/NDUFB2/IDH3A/NDUFA8/ACO2/UQCRQ/ATP5PF/NDUFB6/RHOA/COX7B/SLC25A13/NDUFS3/ATP5F1E/ATP5PB/PDHA1/NDUFA6/NDUFS6/COX5A/NDUFS5/SHMT2/NDUFC1/CS/SDHC/NDUFV1/NDUFB1/STOML2/NDUFB3/COX6C/IDE/IDH3G/PDHB/ATP5ME/FXN/OGDH/DGUOK/BID/UQCRB/ACO1/NDUFB9/COA6/TRAP1/SDHD/COX7A2/SLC25A23/NDUFS8/FH/NDUFS7/IFNAR1/HIF1A/ATP5PD/NDUFS2/NNT/MYBBP1A/ATP5F1D/NDUFB5/NDUFA12/UQCR11/CDK1/MTFR1/OXA1L/AKT1/ISCU/CHCHD10/GPD2/NDUFA5/UQCRFS1/SLC25A14/DLAT/COX7A2L/ATP5F1C/CISD1/PNPT1/NDUFA3/ATP5PO/ANTKMT/NIPSNAP2/SUCLG2/BLOC1S1/COQ10B/NDUFB4/SNCA/NDUFB8/GBA/UQCRHL/NDUFS4/PINK1/ARL2/SLC25A25;122
BP;GO:0006119;oxidative phosphorylation;85/3586;127/12502;3,21558456991921e-19;3,51527705183568e-16;3,03280397331328e-16;CCNB1/NDUFA1/VCP/COX7C/NDUFA2/CHCHD2/ATP5F1A/PARK7/UQCRC1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/NDUFA4/COX6A1/COX6B1/UQCR10/DLD/MSH2/ATP5F1B/NDUFB7/CYC1/UQCRH/ATP5MF/NDUFB10/PPIF/CYCS/NDUFB2/NDUFA8/UQCRQ/ATP5PF/NDUFB6/RHOA/COX7B/NDUFS3/ATP5F1E/ATP5PB/NDUFA6/NDUFS6/COX5A/NDUFS5/SHMT2/NDUFC1/SDHC/NDUFV1/NDUFB1/STOML2/NDUFB3/COX6C/ATP5ME/FXN/DGUOK/BID/UQCRB/NDUFB9/COA6/SDHD/COX7A2/SLC25A23/NDUFS8/NDUFS7/ATP5PD/NDUFS2/ATP5F1D/NDUFB5/NDUFA12/UQCR11/CDK1/ISCU/CHCHD10/NDUFA5/COX7A2L/ATP5F1C/NDUFA3/ATP5PO/ANTKMT/NIPSNAP2/NDUFB4/SNCA/NDUFB8/UQCRHL/NDUFS4/PINK1;85
BP;GO:0015980;energy derivation by oxidation of organic compounds;145/3586;267/12502;7,07672937433181e-19;6,44690046001628e-16;5,56206098193096e-16;CCNB1/NDUFA1/VCP/COX7C/NDUFA2/CHCHD2/ATP5F1A/PARK7/UQCRC1/PPP1CA/PRELID1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/HMGB1/NDUFA4/COX6A1/COX6B1/SDHB/SELENOS/UQCR10/DLD/MSH2/MDH1/NOP53/PPP1CB/ATP5F1B/NDUFB7/IDH3B/CYC1/UQCRH/PTGES3/MDH2/ATP5MF/NDUFB10/PPIF/CYCS/NDUFB2/IDH3A/NDUFA8/ACO2/UQCRQ/ATP5PF/ACADVL/NDUFB6/RHOA/PYGB/COX7B/SLC25A13/NDUFS3/ATP5F1E/MTOR/ATP5PB/PDHA1/PPP1CC/NDUFA6/NDUFS6/COX5A/NDUFS5/SHMT2/NDUFC1/CS/SDHC/NDUFV1/NDUFB1/STOML2/NDUFB3/COX6C/IDE/IDH3G/PPP1R2/PDHB/ATP5ME/FXN/AGL/OGDH/DGUOK/BID/UQCRB/ACO1/NDUFB9/COA6/TRAP1/SDHD/COX7A2/SLC25A23/GYS1/NDUFS8/PHKG2/FH/NDUFS7/PYGL/IFNAR1/GFPT1/HIF1A/ATP5PD/NDUFS2/NNT/MYBBP1A/ATP5F1D/NDUFB5/NDUFA12/UGP2/UQCR11/CDK1/MTFR1/OXA1L/AKT1/GYG1/ISCU/CHCHD10/GPD2/NDUFA5/UQCRFS1/SLC25A14/PHKA1/DLAT/COX7A2L/INPP5K/ATP5F1C/CISD1/STK40/PNPT1/NDUFA3/ATP5PO/ANTKMT/GSK3A/NIPSNAP2/SUCLG2/BLOC1S1/COQ10B/PER2/NDUFB4/SNCA/NDUFB8/GBA/UQCRHL/NDUFS4/PINK1/ARL2/SLC25A25/PCDH12;145
BP;GO:0006091;generation of precursor metabolites and energy;194/3586;402/12502;2,8011274807004e-17;2,18728040135834e-14;1,88707535541921e-14;CCNB1/NDUFA1/AKR1B1/VCP/TPI1/COX7C/NDUFA2/CHCHD2/ATP5F1A/PARK7/UQCRC1/PPP1CA/PRELID1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/ENO1/HMGB1/NDUFA4/ADH5/COX6A1/COX6B1/EIF6/SDHB/PGD/SELENOS/UQCR10/DLD/MSH2/MDH1/NOP53/PPP1CB/ATP5F1B/NDUFB7/IDH3B/CYC1/UQCRH/PTGES3/MDH2/ATP5MF/NDUFB10/DEGS1/PPIF/CYCS/ENOX2/NDUFB2/IDH3A/NDUFA8/ACO2/UQCRQ/ATP5PF/ACADVL/NDUFB6/RHOA/PYGB/COX7B/PHGDH/SLC25A13/NDUFS3/ATP5F1E/MTOR/ATP5PB/PDHA1/PPP1CC/ETFA/NDUFA6/TALDO1/NDUFS6/COX5A/NDUFS5/SHMT2/NDUFC1/CS/GIT1/PRXL2C/SDHC/NDUFV1/COX17/PKM/NDUFB1/G6PD/STOML2/NDUFB3/COX6C/IDE/IDH3G/PPP1R2/PDHB/ATP5ME/FXN/AGL/RPIA/AACS/OGDH/DGUOK/BID/UQCRB/ACO1/NDUFB9/COA6/TRAP1/SDHD/COX7A2/SLC25A23/GYS1/NDUFS8/PHKG2/FH/NDUFS7/FDX1/PYGL/COX11/ATP5IF1/IFNAR1/GFPT1/CYBA/HIF1A/GSR/ME2/ATP5PD/NDUFS2/FECH/NNT/QDPR/MYBBP1A/ATP5F1D/NDUFB5/NDUFA12/PDIA5/UGP2/ACAT1/UQCR11/CDK1/ALDH4A1/GPI/MTFR1/OXA1L/CIAPIN1/NDUFA13/HK1/AKT1/GYG1/ISCU/CHCHD10/GPD2/ALDH2/ADPGK/FOXK1/NDUFA5/UQCRFS1/SLC25A14/DHRS2/PHKA1/DLAT/COX7A2L/POR/INPP5K/GNPDA1/ATP5F1C/JMJD8/CISD1/OXCT1/STK40/PNPT1/NDUFA3/PFKL/ATP5PO/ANTKMT/GSK3A/NIPSNAP2/SLC25A4/SUCLG2/BLOC1S1/COQ10B/PER2/NDUFB4/PGK1/SNCA/NDUFB8/NQO2/GBA/UQCRHL/GLRX2/P4HA2/PGLS/NDUFS4/PINK1/ARL2/PPARD/SLC25A25/PCDH12;194
BP;GO:0042254;ribosome biogenesis;150/3586;291/12502;9,3459221767156e-17;6,38560132724093e-14;5,50917517785341e-14;RPL24/RPS15/RPL6/RPS19/SBDS/RPS21/C1QBP/RPL10/LYAR/TRMT112/EBNA1BP2/RPL35A/RPF1/DDX27/RPS6/RPL23A/FBL/RPS25/RPS24/RPLP0/NPM1/GLUL/EIF6/DDX18/RPL7L1/WBP11/RPS14/RPS7/RPL26L1/RPL35/NOLC1/RPS28/RPS5/NOC2L/RPL3/NOP53/XRCC5/MRPL20/RPL7/WDR18/FTSJ3/DDX54/RPL5/BMS1/ABCE1/DKC1/ERAL1/WDR46/NOC4L/HEATR3/BUD23/RPL27/RPL7A/NOP14/DCAF13/FCF1/RPS16/RPSA/ABT1/RPP30/SART1/RRP9/NOL11/NOL9/UTP25/GAR1/NSUN5/DDX52/SNU13/EXOSC10/XRN2/TBL3/PIH1D1/RAN/DDX21/CUL4A/SHQ1/DHX37/NGDN/EIF4A3/RPS8/RPUSD4/RRP1B/GTF3A/TSR3/NHP2/DHX30/TSR2/RIOK2/UTP11/IMP4/DDX3X/PES1/PDCD11/EXOSC5/PWP1/NOP10/MPHOSPH6/NOP9/RIOK1/EXOSC6/UTP20/RPS27/RRP7A/NOP16/NPM3/EIF2A/RRS1/PRKDC/MYBBP1A/SDAD1/RSL24D1/REXO4/NSA2/AATF/NUP88/POP7/WDR43/UTP14A/RRP12/RPUSD1/KRR1/NIFK/POP4/IMP3/UTP18/UTP4/UTP3/MRPL1/NOL6/MRPS7/ZNF622/RPLP0P6/NIP7/ERI3/MRM3/TRAF7/POP5/RPL26/DIMT1/MRPS2/DHX29/RPP40/EMG1/PWP2/RIOX2/TFB2M/MPV17L2/MRPL36/RBIS;150
BP;GO:0042773;ATP synthesis coupled electron transport;61/3586;86/12502;4,98808783149637e-16;2,72648880869592e-13;2,35227720895829e-13;CCNB1/NDUFA1/COX7C/NDUFA2/CHCHD2/PARK7/UQCRC1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/NDUFA4/COX6A1/UQCR10/DLD/NDUFB7/CYC1/UQCRH/NDUFB10/CYCS/NDUFB2/NDUFA8/UQCRQ/NDUFB6/NDUFS3/NDUFA6/NDUFS6/COX5A/NDUFS5/NDUFC1/SDHC/NDUFV1/NDUFB1/NDUFB3/COX6C/DGUOK/BID/UQCRB/NDUFB9/COA6/SDHD/COX7A2/NDUFS8/NDUFS7/NDUFS2/NDUFB5/NDUFA12/UQCR11/CDK1/ISCU/NDUFA5/COX7A2L/NDUFA3/NDUFB4/SNCA/NDUFB8/UQCRHL/NDUFS4/PINK1;61
BP;GO:0042775;mitochondrial ATP synthesis coupled electron transport;61/3586;86/12502;4,98808783149637e-16;2,72648880869592e-13;2,35227720895829e-13;CCNB1/NDUFA1/COX7C/NDUFA2/CHCHD2/PARK7/UQCRC1/GHITM/COX5B/COX8A/NDUFC2/COX4I1/NDUFAB1/NDUFA4/COX6A1/UQCR10/DLD/NDUFB7/CYC1/UQCRH/NDUFB10/CYCS/NDUFB2/NDUFA8/UQCRQ/NDUFB6/NDUFS3/NDUFA6/NDUFS6/COX5A/NDUFS5/NDUFC1/SDHC/NDUFV1/NDUFB1/NDUFB3/COX6C/DGUOK/BID/UQCRB/NDUFB9/COA6/SDHD/COX7A2/NDUFS8/NDUFS7/NDUFS2/NDUFB5/NDUFA12/UQCR11/CDK1/ISCU/NDUFA5/COX7A2L/NDUFA3/NDUFB4/SNCA/NDUFB8/UQCRHL/NDUFS4/PINK1;61
