ONTOLOGY;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
BP;GO:0007186;G protein-coupled receptor signaling pathway;88/1153;445/12552;2,17300407780564e-12;9,85674649692637e-09;9,34620490727772e-09;RGS17/CNTN2/TAS2R4/OR2AT4/PTGER3/GPR61/PDE4D/RRH/NPR3/CELSR3/ARRDC3/HRH4/GPRASP1/RGS5/AKAP5/OR4F3/PLCE1/OR9A4/HCAR1/PRLHR/RGS13/GPR85/TAS2R5/SLC24A4/PTAFR/PREX2/CDK5R1/ADCYAP1R1/GRK7/PHF24/CHRM5/RGS4/DGKI/VN1R1/RGS1/SSTR2/OR4F17/ACKR4/OR9A1P/GPR19/OR11H4/S1PR1/TAS2R3/OR5AU1/PTGER4/GPR32/NPY6R/ADCY5/LHCGR/HCAR2/GPR151/LGR5/ADGRB3/HTR2C/GPR83/TAS2R38/PDE4B/CACNA1D/PDE6G/GNRHR/RGS5/ADCY4/TSHR/OR1F1/C3/PDC/OR1L6/DNM1/GPR156/HCAR3/RORB/ADGRA2/PROKR1/OR1F2P/CISH/OR52W1/ADGRF3/OR8D1/BECN2/DRD2/GNGT1/TAC3/OR1L1/CYSLTR1/OR10AD1/CORT/TAS2R7/MRAP2;88
BP;GO:0009593;detection of chemical stimulus;24/1153;73/12552;1,48644100300483e-08;3,37124819481496e-05;3,19663049383039e-05;TAS2R4/OR2AT4/OR4F3/OR9A4/TAS2R5/SLC24A4/OR4F17/OR9A1P/OR11H4/TAS2R3/OR5AU1/TAS2R38/OR1F1/OR1L6/OR1F2P/KCNMB2/OR52W1/TLR6/OR8D1/TLR1/OR1L1/OR10AD1/TGFB3/TAS2R7;24
BP;GO:0050907;detection of chemical stimulus involved in sensory perception;20/1153;55/12552;3,43186513840548e-08;5,18898008926908e-05;4,92021086158764e-05;TAS2R4/OR2AT4/OR4F3/OR9A4/TAS2R5/SLC24A4/OR4F17/OR9A1P/OR11H4/TAS2R3/OR5AU1/TAS2R38/OR1F1/OR1L6/OR1F2P/OR52W1/OR8D1/OR1L1/OR10AD1/TAS2R7;20
BP;GO:0007600;sensory perception;63/1153;341/12552;4,86088370339587e-08;5,51224211965092e-05;5,22672916107251e-05;LRP2/TRPM3/TAS2R4/OR2AT4/LRIT3/RRH/OR4F3/LHFPL3/FAM161A/OR9A4/KCNJ10/TAS2R5/SLC24A4/SLC26A4/GUCA1B/PTAFR/CABP4/DHRS3/IMPG2/GRK7/PHF24/MARVELD2/RIPOR2/HOXA1/LHFPL4/SLC17A8/OR4F17/VSX2/COL11A2/OR9A1P/OR11H4/MYO1A/TAS2R3/OR5AU1/KRT12/MBP/TAS2R38/CACNA1D/PDE6G/RPGRIP1/PJVK/RETREG1/HMCN1/OR1F1/POU6F2/SLITRK6/PDC/OR1L6/TECTA/PPEF2/RORB/OR1F2P/CACNA2D4/OR52W1/USH1C/OR8D1/MYO15A/STRC/DRD2/RAB3A/OR1L1/OR10AD1/TAS2R7;63
BP;GO:0098742;cell-cell adhesion via plasma-membrane adhesion molecules;33/1153;133/12552;8,39002371331115e-08;5,90780531020645e-05;5,60180369848314e-05;CNTN2/PCDHB14/PCDHB13/CEACAM1/CELSR3/PCDHB12/ROBO2/PCDHB15/FLRT3/PCDHB9/PCDHB10/PCDH9/PCDHB4/PCDHB11/PCDH10/PCDHB16/DCHS1/ITGAM/SELE/ITGAL/PECAM1/MBP/CDH1/IGSF9/HMCN1/TGFB2/PLXNB3/CLDN14/CEACAM8/PCDH18/SELP/MILR1/CDHR4;33
BP;GO:0050911;detection of chemical stimulus involved in sensory perception of smell;15/1153;34/12552;8,86143050749102e-08;5,90780531020645e-05;5,60180369848314e-05;OR2AT4/OR4F3/OR9A4/SLC24A4/OR4F17/OR9A1P/OR11H4/OR5AU1/OR1F1/OR1L6/OR1F2P/OR52W1/OR8D1/OR1L1/OR10AD1;15
BP;GO:0050906;detection of stimulus involved in sensory perception;25/1153;85/12552;9,11698350340502e-08;5,90780531020645e-05;5,60180369848314e-05;TAS2R4/OR2AT4/OR4F3/OR9A4/TAS2R5/SLC24A4/PHF24/OR4F17/OR9A1P/OR11H4/TAS2R3/OR5AU1/TAS2R38/PJVK/OR1F1/OR1L6/PPEF2/OR1F2P/CACNA2D4/OR52W1/OR8D1/STRC/OR1L1/OR10AD1/TAS2R7;25
BP;GO:0007156;homophilic cell adhesion via plasma membrane adhesion molecules;23/1153;77/12552;2,17366663148421e-07;0,000121420471996969;0,000115131358159198;CNTN2/PCDHB14/PCDHB13/CEACAM1/CELSR3/PCDHB12/ROBO2/PCDHB15/PCDHB9/PCDHB10/PCDH9/PCDHB4/PCDHB11/PCDH10/PCDHB16/DCHS1/PECAM1/CDH1/IGSF9/HMCN1/PLXNB3/PCDH18/CDHR4;23
BP;GO:0051606;detection of stimulus;38/1153;172/12552;2,4091363491462e-07;0,000121420471996969;0,000115131358159198;TRPM3/TAS2R4/OR2AT4/RRH/SOX4/PKD1L1/PKDREJ/OR4F3/OR9A4/TAS2R5/SLC24A4/CABP4/GRK7/PHF24/OR4F17/OR9A1P/OR11H4/TAS2R3/OR5AU1/TAS2R38/PJVK/OR1F1/PDC/OR1L6/PPEF2/OR1F2P/KCNMB2/CACNA2D4/OR52W1/TLR6/OR8D1/STRC/TLR1/GNGT1/OR1L1/OR10AD1/TGFB3/TAS2R7;38
BP;GO:0007608;sensory perception of smell;16/1153;48/12552;3,07165419779719e-06;0,00139330234412081;0,00132113463707361;OR2AT4/OR4F3/OR9A4/SLC24A4/OR4F17/OR9A1P/OR11H4/OR5AU1/OR1F1/OR1L6/OR1F2P/OR52W1/OR8D1/DRD2/OR1L1/OR10AD1;16
