ID	Description	Type	pvalue	Count	geneID
GO:0006334	nucleosome assembly	chromatin assembly	3.19362775518609e-09	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0031497	chromatin assembly	chromatin assembly	1.31143693575403e-08	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0034728	nucleosome organization	nucleosome organization	3.14415515443935e-08	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0006333	chromatin assembly or disassembly	chromatin assembly	5.4456864996294e-08	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0006323	DNA packaging	DNA packaging	1.25104444249509e-07	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0065004	protein-DNA complex assembly	chromatin assembly	2.39654484555675e-07	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0000395	mRNA 5-splice site recognition	Splicing	4.26367226657133e-07	4	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8
GO:0071824	protein-DNA complex subunit organization	chromatin assembly	9.93751979339576e-07	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0006338	chromatin remodeling	chromatin remodeling	1.45182353796612e-06	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0071103	DNA conformation change	chromatin remodeling	4.04539390144794e-06	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0045292	mRNA cis splicing, via spliceosome	Splicing	9.11214806839271e-06	4	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8
GO:0006376	mRNA splice site selection	Splicing	1.453266008738e-05	4	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8
GO:0006325	chromatin organization	chromatin remodeling	5.11403376280106e-05	8	H2BC21/H2BC13/H2AX/H2BU1/H3C12/H2BC18/H3C1/H2BC7
GO:0000245	spliceosomal complex assembly	Splicing	0.000121301306791416	4	RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8
GO:0099536	synaptic signaling	synaptic signaling	0.000883288764321747	7	SYNGR1/PRR7/LY6E/RGS14/ADRB2/SEPTIN5/VAMP2
GO:0007190	activation of adenylate cyclase activity	activation of adenylate cyclase activity	0.00104790455159808	2	ADRB2/P2RY11
GO:0022618	ribonucleoprotein complex assembly	Splicing	0.0012149565482487	5	RPL3L/RNVU1-15/RNVU1-4/RNVU1-2A/RNVU1-8
