GOID1	GOID2	CommonNum
GO:0006119	GO:0009060	65
GO:0006119	GO:0046034	65
GO:0006119	GO:0045333	65
GO:0006119	GO:0042773	47
GO:0006119	GO:0042775	47
GO:0006119	GO:0022900	49
GO:0006119	GO:0015980	65
GO:0006119	GO:0019646	41
GO:0006119	GO:0022904	47
GO:0006119	GO:0006091	65
GO:0006119	GO:0006457	1
GO:0006119	GO:1902600	25
GO:0006119	GO:2001233	6
GO:0006119	GO:2001242	4
GO:0006119	GO:0031647	2
GO:0006119	GO:0097190	7
GO:0006119	GO:0006120	23
GO:0006119	GO:0030162	5
GO:0006119	GO:2001234	6
GO:0006119	GO:0007005	28
GO:0006119	GO:0050821	2
GO:0006119	GO:0072594	2
GO:0006119	GO:0010498	3
GO:0006119	GO:2001243	4
GO:0006119	GO:0042176	3
GO:0006119	GO:0052547	5
GO:0006119	GO:0052548	4
GO:0009060	GO:0046034	66
GO:0009060	GO:0045333	76
GO:0009060	GO:0042773	47
GO:0009060	GO:0042775	47
GO:0009060	GO:0022900	51
GO:0009060	GO:0015980	76
GO:0009060	GO:0019646	41
GO:0009060	GO:0022904	48
GO:0009060	GO:0006091	76
GO:0009060	GO:0006457	2
GO:0009060	GO:1902600	25
GO:0009060	GO:2001233	6
GO:0009060	GO:2001242	4
GO:0009060	GO:0031647	3
GO:0009060	GO:0097190	7
GO:0009060	GO:0006120	23
GO:0009060	GO:0030162	6
GO:0009060	GO:2001234	6
GO:0009060	GO:0007005	28
GO:0009060	GO:0050821	3
GO:0009060	GO:0072594	2
GO:0009060	GO:0042255	1
GO:0009060	GO:0010498	4
GO:0009060	GO:2001243	4
GO:0009060	GO:0042176	4
GO:0009060	GO:0052547	5
GO:0009060	GO:0052548	4
GO:0046034	GO:0045333	66
GO:0046034	GO:0042773	47
GO:0046034	GO:0042775	47
GO:0046034	GO:0022900	49
GO:0046034	GO:0015980	66
GO:0046034	GO:0019646	41
GO:0046034	GO:0022904	47
GO:0046034	GO:0006091	72
GO:0046034	GO:0006457	4
GO:0046034	GO:1902600	30
GO:0046034	GO:2001233	10
GO:0046034	GO:2001242	7
GO:0046034	GO:0031647	4
GO:0046034	GO:0097190	12
GO:0046034	GO:0006120	23
GO:0046034	GO:0030162	9
GO:0046034	GO:2001234	8
GO:0046034	GO:0007005	32
GO:0046034	GO:0050821	3
GO:0046034	GO:0072594	5
GO:0046034	GO:0042255	1
GO:0046034	GO:0010498	4
GO:0046034	GO:2001243	5
GO:0046034	GO:0042176	5
GO:0046034	GO:0052547	6
GO:0046034	GO:0052548	5
GO:0045333	GO:0042773	47
GO:0045333	GO:0042775	47
GO:0045333	GO:0022900	51
GO:0045333	GO:0015980	78
GO:0045333	GO:0019646	41
GO:0045333	GO:0022904	48
GO:0045333	GO:0006091	78
GO:0045333	GO:0006457	3
GO:0045333	GO:1902600	25
GO:0045333	GO:2001233	8
GO:0045333	GO:2001242	5
GO:0045333	GO:0031647	3
GO:0045333	GO:0097190	9
GO:0045333	GO:0006120	23
GO:0045333	GO:0030162	7
GO:0045333	GO:2001234	8
GO:0045333	GO:0007005	29
GO:0045333	GO:0050821	3
GO:0045333	GO:0072594	2
GO:0045333	GO:0042255	1
GO:0045333	GO:0010498	4
GO:0045333	GO:2001243	5
GO:0045333	GO:0042176	4
GO:0045333	GO:0052547	6
GO:0045333	GO:0052548	5
GO:0042773	GO:0042775	47
GO:0042773	GO:0022900	47
GO:0042773	GO:0015980	47
GO:0042773	GO:0019646	41
GO:0042773	GO:0022904	47
GO:0042773	GO:0006091	47
GO:0042773	GO:1902600	12
GO:0042773	GO:2001233	4
GO:0042773	GO:2001242	3
GO:0042773	GO:0031647	2
GO:0042773	GO:0097190	4
GO:0042773	GO:0006120	23
GO:0042773	GO:0030162	4
GO:0042773	GO:2001234	4
GO:0042773	GO:0007005	23
GO:0042773	GO:0050821	2
GO:0042773	GO:0072594	2
GO:0042773	GO:0010498	2
GO:0042773	GO:2001243	3
GO:0042773	GO:0042176	2
GO:0042773	GO:0052547	4
GO:0042773	GO:0052548	3
GO:0042775	GO:0022900	47
GO:0042775	GO:0015980	47
GO:0042775	GO:0019646	41
GO:0042775	GO:0022904	47
GO:0042775	GO:0006091	47
GO:0042775	GO:1902600	12
GO:0042775	GO:2001233	4
GO:0042775	GO:2001242	3
GO:0042775	GO:0031647	2
GO:0042775	GO:0097190	4
GO:0042775	GO:0006120	23
GO:0042775	GO:0030162	4
GO:0042775	GO:2001234	4
GO:0042775	GO:0007005	23
GO:0042775	GO:0050821	2
GO:0042775	GO:0072594	2
GO:0042775	GO:0010498	2
GO:0042775	GO:2001243	3
GO:0042775	GO:0042176	2
GO:0042775	GO:0052547	4
GO:0042775	GO:0052548	3
GO:0002181	GO:2001233	2
