ID	Description	Type	pvalue	Count	geneID
GO:0006119	oxidative phosphorylation	ATP	1.61E-25	65	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL/ATP5MF/CHCHD10
GO:0009060	aerobic respiration	ATP	1.92E-24	76	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/IDH3B/ANTKMT/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10
GO:0046034	ATP metabolic process	ATP	4.51E-20	83	BAD/NDUFAB1/UQCRC1/BID/CTNS/ENO1/NDUFB2/DLD/ATP5F1D/NDUFB7/TSPO/ANTKMT/CHCHD2/PPIF/GIT1/NDUFC1/HSPA8/ATP5F1B/TPI1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/ATP5IF1/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/GUK1/PARP1/NDUFS6/NDUFC2/ATP5F1A/ATP5MC3/ATP5PF/PRXL2C/PINK1/ATP5MC1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/ATP6V0C/NDUFA4/SDHD/HSPA1B/TMSB4X/ARL2/UQCRHL/ATP5MF/EIF6/CHCHD10
GO:0045333	cellular respiration	ATP	4.70E-20	78	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/IDH3B/ANTKMT/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/PRELID1/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10
GO:0042773	ATP synthesis coupled electron transport	ATP	5.52E-20	47	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL
GO:0042775	mitochondrial ATP synthesis coupled electron transport	ATP	5.52E-20	47	NDUFAB1/UQCRC1/BID/NDUFB2/DLD/NDUFB7/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL
GO:0002181	cytoplasmic translation	Translation	8.02E-19	61	RPS20/RPL26L1/RPL18/FTSJ1/RPL31/RPS5/EIF3I/RPL6/RPLP0/RPL3/RPS16/RPS19/RPL18A/EIF3B/RPL28/RPL19/RPL34/RPL24/EIF4G1/RPS15/RPS25/RPL5/RPL36/EIF3G/RPL27/DPH2/RPL35/RPS6/RPLP1/RPS24/RPS11/RPS8/RPS3A/RPL10/RPL7/RPL7A/RPS3/RPL30/RPL8/RPL29/RPL9/RPS14/RPL13/CNBP/RPS9/RPS21/RPS7/RPLP2/RPL35A/RPS23/RPS26/RPL37A/RPS4X/RPL23A/RPL39/RPLP0P6/UBA52/RPL41/RPS18/TMA7/RPS28
GO:0022900	electron transport chain	ATP	4.40E-18	62	NDUFAB1/UQCRC1/BID/CYBA/PDIA5/AKR1B1/NDUFB2/DLD/PHGDH/NDUFB7/DHRS2/IDH3B/CHCHD2/NDUFC1/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/SDHB/NDUFB3/NDUFA8/NDUFA1/COX6B1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/NDUFB5/NDUFB10/SDHC/DEGS1/NDUFS6/NDUFC2/QDPR/PINK1/ALDH4A1/UQCRQ/COX6C/NDUFB6/ENOX2/GHITM/NDUFB8/NDUFV1/COA6/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA13/NDUFA4/ADH5/SDHD/UQCRHL
GO:0015980	energy derivation by oxidation of organic compounds	ATP	6.01E-17	85	NDUFAB1/UQCRC1/MDH1/BID/IDH3G/ACADVL/NDUFB2/DLD/ATP5F1D/NDUFB7/ACO2/PYGB/IDH3B/ANTKMT/GYS1/NOP53/CHCHD2/PPIF/NDUFC1/ATP5F1B/PTGES3/COX6A1/COX7A2/DGUOK/NDUFS7/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/CCNB1/BLOC1S1/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/MDH2/NDUFC2/ATP5F1A/ATP5PF/PINK1/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/GHITM/NDUFB8/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/PRELID1/CYCS/PPP1CA/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA6/NDUFA4/HMGB1/SDHD/ARL2/UQCRHL/ATP5MF/CHCHD10
GO:0019646	aerobic electron transport chain	ATP	8.62E-17	41	NDUFAB1/UQCRC1/NDUFB2/DLD/NDUFB7/NDUFC1/COX6A1/COX7A2/NDUFS7/PARK7/NDUFB3/NDUFA8/NDUFA1/COX7C/UQCR11/COX4I1/NDUFA2/COX5B/NDUFB5/NDUFB10/SDHC/NDUFS6/NDUFC2/PINK1/UQCRQ/COX6C/NDUFB6/NDUFB8/NDUFV1/NDUFS5/CYCS/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA6/NDUFA4/SDHD/UQCRHL
