GOID1	GOID2	CommonNum
GO:0007186	GO:0007600	23
GO:0007186	GO:0050907	15
GO:0007186	GO:0051606	19
GO:0007186	GO:0009593	15
GO:0007186	GO:0050911	11
GO:0007186	GO:0050906	16
GO:0007186	GO:0007606	15
GO:0007186	GO:0007608	11
GO:0007186	GO:0006820	3
GO:0007186	GO:0007156	2
GO:0007186	GO:0007601	6
GO:0007186	GO:0050953	6
GO:0007186	GO:0098656	3
GO:0007186	GO:0046942	1
GO:0007186	GO:0006954	5
GO:0007186	GO:0098742	2
GO:0007186	GO:0015711	1
GO:0007186	GO:0050778	4
GO:0007186	GO:0002684	4
GO:0007186	GO:0098661	2
GO:0007600	GO:0050907	16
GO:0007600	GO:0051606	23
GO:0007600	GO:0009593	16
GO:0007600	GO:0050911	11
GO:0007600	GO:0050906	18
GO:0007600	GO:0007606	16
GO:0007600	GO:0007608	11
GO:0007600	GO:0006820	6
GO:0007600	GO:0007601	16
GO:0007600	GO:0050953	16
GO:0007600	GO:0098656	6
GO:0007600	GO:0046942	4
GO:0007600	GO:0006954	1
GO:0007600	GO:0015711	4
GO:0007600	GO:0050778	1
GO:0007600	GO:0002684	1
GO:0007600	GO:0098661	3
GO:0050907	GO:0051606	16
GO:0050907	GO:0009593	16
GO:0050907	GO:0050911	11
GO:0050907	GO:0050906	16
GO:0050907	GO:0007606	16
GO:0050907	GO:0007608	11
GO:0051606	GO:0009593	17
GO:0051606	GO:0050911	11
GO:0051606	GO:0050906	18
GO:0051606	GO:0007606	16
GO:0051606	GO:0007608	11
GO:0051606	GO:0007601	4
GO:0051606	GO:0050953	4
GO:0051606	GO:0006954	1
GO:0051606	GO:0050778	1
GO:0051606	GO:0002684	2
GO:0009593	GO:0050911	11
GO:0009593	GO:0050906	16
GO:0009593	GO:0007606	16
GO:0009593	GO:0007608	11
GO:0050911	GO:0050906	11
GO:0050911	GO:0007606	11
GO:0050911	GO:0007608	11
GO:0050906	GO:0007606	16
GO:0050906	GO:0007608	11
GO:0007606	GO:0007608	11
GO:0003341	GO:0001539	11
GO:0006820	GO:0007156	1
GO:0006820	GO:0007601	2
GO:0006820	GO:0050953	2
GO:0006820	GO:0098656	20
GO:0006820	GO:0046942	19
GO:0006820	GO:0006954	1
GO:0006820	GO:0098742	1
GO:0006820	GO:0015711	22
GO:0006820	GO:0050778	3
GO:0006820	GO:0002684	3
GO:0006820	GO:0006959	1
GO:0006820	GO:0015718	9
GO:0006820	GO:0098661	9
GO:0007156	GO:0046942	1
GO:0007156	GO:0098742	13
GO:0007156	GO:0016339	6
GO:0007156	GO:0015711	1
GO:0007156	GO:0050778	1
GO:0007156	GO:0002684	1
GO:0007156	GO:0015718	1
GO:0007601	GO:0050953	16
GO:0007601	GO:0098656	2
GO:0007601	GO:0046942	1
GO:0007601	GO:0015711	1
GO:0007601	GO:0098661	1
GO:0050953	GO:0098656	2
GO:0050953	GO:0046942	1
GO:0050953	GO:0015711	1
GO:0050953	GO:0098661	1
GO:0098656	GO:0046942	11
GO:0098656	GO:0006954	1
GO:0098656	GO:0015711	12
GO:0098656	GO:0050778	1
GO:0098656	GO:0002684	1
GO:0098656	GO:0015718	1
GO:0098656	GO:0098661	9
GO:0046942	GO:0098742	1
GO:0046942	GO:0015711	19
GO:0046942	GO:0050778	2
GO:0046942	GO:0002684	2
GO:0046942	GO:0006959	1
GO:0046942	GO:0015718	9
GO:0046942	GO:0098661	3
GO:0006954	GO:0030239	1
GO:0006954	GO:0050778	9
GO:0006954	GO:0055002	1
GO:0006954	GO:0002684	13
GO:0006954	GO:0045214	1
GO:0006954	GO:0006959	4
GO:0006954	GO:0098661	1
GO:0098742	GO:0016339	6
GO:0098742	GO:0015711	1
GO:0098742	GO:0050778	2
GO:0098742	GO:0002684	2
GO:0098742	GO:0015718	1
GO:0015711	GO:0050778	2
GO:0015711	GO:0002684	2
GO:0015711	GO:0006959	1
GO:0015711	GO:0015718	9
GO:0015711	GO:0098661	3
GO:0030239	GO:0055002	9
GO:0030239	GO:0045214	7
GO:0050778	GO:0002684	28
GO:0050778	GO:0006959	7
GO:0050778	GO:0015718	2
GO:0050778	GO:0098661	1
GO:0055002	GO:0045214	7
GO:0002684	GO:0006959	7
GO:0002684	GO:0015718	2
GO:0002684	GO:0098661	1
GO:0006959	GO:0015718	1
