ID	Description	Type	pvalue	Count	geneID
GO:0007186	G protein-coupled receptor signaling pathway	GPCR	1.32E-14	55	CELSR3/PTGER3/ADCYAP1R1/RGS17/ARRDC3/NPR3/PDE4D/PDC/RGS4/PRLHR/HCRTR1/PHF24/GPR83/RGS13/TAS2R3/TAS2R4/TAS2R5/OPN1SW/PYY/HRH4/MRAP2/OR1L4/LGR5/GPR32/RGS5/GLRA1/HTR2C/GPR61/TSHR/TAC3/OR5AU1/PTAFR/OR1L6/PTGER4/OR2AT4/OR10AD1/GPR151/OR52W1/GPR156/OR11H4/CDK5R1/RRH/OR2B8P/GPR19/CNTN2/PDE6G/TAS2R42/BECN2/HCAR1/RORB/OR1F2P/NPY6R/OR9A1P/TAS2R38/OR9A4
GO:0007600	sensory perception	sensory perception	1.04E-13	45	IMPG2/LRP2/TRPM3/SLC26A4/RPGRIP1/PDE6C/HOXA1/CRYBA1/TECTA/GUCA1B/PDC/PHF24/TAS2R3/TAS2R4/TAS2R5/OPN1SW/SPX/OR1L4/GLRA1/DHRS3/MYO1A/OR5AU1/PTAFR/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/KCNJ10/SLC17A8/RRH/OR2B8P/LRIT3/SLITRK6/PDE6G/LHFPL3/RORB/OR1F2P/COL11A2/PJVK/OR9A1P/CRYBB2/TAS2R38/OR9A4/PKD1L3
GO:0050907	detection of chemical stimulus involved in sensory perception	sensory perception	3.62E-11	16	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3
GO:0051606	detection of stimulus	sensory perception	8.21E-11	28	TRPM3/NLRC4/PDE6C/PDC/PHF24/SOX4/TAS2R3/TAS2R4/TAS2R5/OPN1SW/PKDREJ/OR1L4/PKD1L1/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/RRH/OR2B8P/KCNMB2/OR1F2P/PJVK/OR9A1P/TAS2R38/OR9A4/PKD1L3
GO:0009593	detection of chemical stimulus	sensory perception	4.04E-10	17	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/KCNMB2/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	sensory perception	6.81E-10	11	OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/OR9A4
GO:0050906	detection of stimulus involved in sensory perception	sensory perception	6.93E-10	18	PHF24/TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/PJVK/OR9A1P/TAS2R38/OR9A4/PKD1L3
GO:0007606	sensory perception of chemical stimulus	sensory perception	2.41E-08	16	TAS2R3/TAS2R4/TAS2R5/OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/TAS2R38/OR9A4/PKD1L3
GO:0007608	sensory perception of smell	sensory perception	7.08E-08	11	OR1L4/OR5AU1/OR1L6/OR2AT4/OR10AD1/OR52W1/OR11H4/OR2B8P/OR1F2P/OR9A1P/OR9A4
GO:0003341	cilium movement	cilium movement	1.34E-06	17	DNAH11/RSPH4A/NME5/ATP1A4/ADCY10/DNAI4/CFAP70/DRC1/DNAI3/SLC9B1/ZBBX/CFAP53/CATSPERD/CFAP54/CFAP43/MEIG1/CFAP206
GO:0006820	anion transport	anion transport	2.10E-06	32	SLC6A13/SLC2A3/CEACAM1/LRP2/SLC26A4/SLC26A3/SLC5A5/SLC16A6/SLC6A12/RGS4/SLC25A2/SLC35D2/SLC37A2/PLA2G12B/MTTP/BEST4/GLRA1/SLC26A7/SLC25A31/SLC9C2/SLC16A14/SLC13A4/SLC16A9/PTAFR/KCNJ10/SLC17A8/SLC25A18/PLA2G6/SLC24A5/SLC12A8/SLC10A5/SLC35D2
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	cell adhesion	2.85E-06	13	CELSR3/CEACAM1/PCDHB15/PCDHB10/PCDHB14/PCDHB12/MYOT/DCHS1/CNTN2/ROBO2/PCDHB13/PCDHB11/PCDHB16
