Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSSASG00005000003	ORF1ab	MN908947.3	+	266	13483	73467.625000	19637.490234	33063.445312
ENSSASG00005000002	ORF1ab	MN908947.3	+	266	21555	55053.640625	14715.534180	24776.396484
ENSSASG00005000004	S	MN908947.3	+	21563	25384	107615.851562	28765.123047	48431.546875
ENSSASG00005000006	ORF3a	MN908947.3	+	25393	26220	113016.195312	30208.603516	50861.921875
ENSSASG00005000010	E	MN908947.3	+	26245	26472	138223.156250	36946.285156	62206.089844
ENSSASG00005000007	M	MN908947.3	+	26523	27191	167686.312500	44821.625000	75465.718750
ENSSASG00005000011	ORF6	MN908947.3	+	27202	27387	252209.203125	67414.125000	113504.484375
ENSSASG00005000009	ORF7a	MN908947.3	+	27394	27759	212355.656250	56761.492188	95568.757812
ENSSASG00005000012	ORF7b	MN908947.3	+	27756	27887	209315.437500	55948.859375	94200.531250
ENSSASG00005000008	ORF8	MN908947.3	+	27894	28259	248760.484375	66492.304688	111952.421875
ENSSASG00005000005	N	MN908947.3	+	28274	29533	310189.093750	82911.828125	139597.812500
ENSSASG00005000013	ORF10	MN908947.3	+	29558	29674	334127.031250	89310.312500	150370.875000
